County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,924,2144,1549,22,4639,118,197,447,8,770,5409
Adams,502,1115,805,10,2432,50,76,262,0,388,2820
Allamakee,2016,3950,2269,36,8271,281,409,752,13,1455,9726
Appanoose,1786,3226,2129,50,7191,383,358,776,12,1529,8720
Audubon,913,1847,897,16,3673,95,180,299,3,577,4250
Benton,3909,6036,5860,119,15924,456,456,1475,29,2416,18340
Black Hawk,28793,20722,22392,602,72509,5317,2517,6862,207,14903,87412
Boone,5078,6158,5420,131,16787,597,629,1685,41,2952,19739
Bremer,4110,5402,6076,89,15677,531,437,1278,22,2268,17945
Buchanan,3431,3640,4794,55,11920,354,286,1359,13,2012,13932
Buena Vista,2540,3902,2960,72,9474,752,540,1291,19,2602,12076
Butler,1765,4481,2564,49,8859,182,346,754,11,1293,10152
Calhoun,1167,2702,1901,39,5809,156,224,514,14,908,6717
Carroll,3202,4855,4481,77,12615,423,477,1183,23,2106,14721
Cass,1483,4315,2195,46,8039,212,530,769,19,1530,9569
Cedar,3164,4289,3840,84,11377,317,331,831,29,1508,12885
Cerro Gordo,8262,7984,9746,162,26154,1211,869,2884,43,5007,31161
Cherokee,1264,4011,1754,30,7059,225,335,711,8,1279,8338
Chickasaw,2132,2587,2399,35,7153,251,197,717,12,1177,8330
Clarke,1280,2222,1584,42,5128,233,234,558,13,1038,6166
Clay,1913,5179,2728,72,9892,306,556,963,19,1844,11736
Clayton,2943,3834,3612,71,10460,343,378,823,17,1561,12021
Clinton,8930,8866,9681,188,27665,1563,883,3438,68,5952,33617
Crawford,2033,3444,2622,52,8151,503,388,918,22,1831,9982
Dallas,18355,21688,20238,522,60803,1823,2030,4370,140,8363,69166
Davis,1325,2012,1081,18,4436,155,203,320,10,688,5124
Decatur,1077,1856,1171,22,4126,277,200,321,15,813,4939
Delaware,2365,4585,3929,51,10930,253,288,714,13,1268,12198
Des Moines,8751,6926,6558,171,22406,1766,923,2532,61,5282,27688
Dickinson,2577,6132,3551,81,12341,346,607,947,29,1929,14270
Dubuque,24357,18316,16832,480,59985,3457,2139,4750,151,10497,70482
Emmet,1502,1931,1942,36,5411,263,279,752,7,1301,6712
Fayette,3137,4201,3562,63,10963,416,348,848,23,1635,12598
Floyd,2557,2796,3638,56,9047,532,349,1173,19,2073,11120
Franklin,1151,2866,1596,34,5647,169,247,488,6,910,6557
Fremont,862,2474,851,28,4215,173,299,364,15,851,5066
Greene,1473,2382,1635,41,5531,205,255,527,8,995,6526
Grundy,1547,4097,2220,45,7909,172,317,598,6,1093,9002
Guthrie,1586,2960,2395,54,6995,213,284,679,9,1185,8180
Hamilton,2163,4120,2358,51,8692,287,355,798,14,1454,10146
Hancock,1365,3423,1920,37,6745,182,286,567,13,1048,7793
Hardin,2374,4716,2738,56,9884,399,496,922,19,1836,11720
Harrison,1914,4445,2082,68,8509,171,294,364,15,844,9353
Henry,2548,5033,3428,71,11080,558,664,1687,37,2946,14026
Howard,1492,1713,2209,29,5443,180,134,527,7,848,6291
Humboldt,1088,2784,1917,30,5819,134,232,440,9,815,6634
Ida,698,2248,1310,14,4270,109,185,370,6,670,4940
Iowa,2493,4554,3599,73,10719,301,365,887,24,1577,12296
Jackson,4497,3955,3876,49,12377,544,321,1374,9,2248,14625
Jasper,7285,8052,7054,153,22544,1032,757,2114,26,3929,26473
Jefferson,3978,3294,2268,76,9616,615,311,760,24,1710,11326
Johnson,47314,16388,25239,769,89710,8592,3501,8573,316,20982,110692
Jones,3038,4405,4532,53,12028,326,359,1204,13,1902,13930
Keokuk,1414,2608,1724,32,5778,245,254,500,5,1004,6782
Kossuth,2396,4447,2959,37,9839,232,322,759,14,1327,11166
Lee,7293,5484,5672,137,18586,1324,599,2318,58,4299,22885
Linn,54381,38381,43005,1424,137191,7613,4525,10860,439,23437,160628
Louisa,1473,2588,1879,27,5967,294,249,711,11,1265,7232
Lucas,1096,2410,1527,28,5061,171,252,469,8,900,5961
Lyon,698,5814,976,17,7505,132,502,362,6,1002,8507
Madison,2593,4627,3318,83,10621,304,425,724,19,1472,12093
Mahaska,2310,6735,3400,113,12558,429,643,1170,21,2263,14821
Marion,4846,10006,6046,147,21045,695,955,1594,27,3271,24316
Marshall,6920,7218,5798,142,20078,1187,824,2372,54,4437,24515
Mills,1807,5160,2168,100,9235,336,631,795,39,1801,11036
Mitchell,1566,2575,2159,43,6343,205,245,557,13,1020,7363
Monona,1346,2358,1504,36,5244,235,240,472,17,964,6208
Monroe,1171,1998,1318,25,4512,162,176,316,12,666,5178
Montgomery,1073,3362,1536,39,6010,201,436,661,14,1312,7322
Muscatine,7271,7953,7570,203,22997,1636,1100,3052,78,5866,28863
O'Brien,1101,5434,1697,50,8282,241,568,613,17,1439,9721
Osceola,428,2409,819,17,3673,75,209,293,4,581,4254
Page,1515,4908,2009,64,8496,313,560,854,16,1743,10239
Palo Alto,1653,2222,1606,25,5506,200,168,466,13,847,6353
Plymouth,2775,8478,4134,94,15481,450,821,1194,33,2498,17979
Pocahontas,757,2182,1248,28,4215,151,186,385,10,732,4947
Polk,119055,79744,77989,2860,279648,17403,9014,19282,818,46517,326165
Pottawattamie,14588,21242,14495,572,50897,3321,3267,6053,263,12904,63801
Poweshiek,3578,3768,3886,66,11298,1331,393,1240,19,2983,14281
Ringgold,508,1899,482,11,2900,82,139,154,2,377,3277
Sac,1100,3402,1660,21,6183,144,293,592,7,1036,7219
Scott,35274,30692,35357,918,102241,8247,4817,14464,368,27896,130137
Shelby,1653,3789,2107,32,7581,206,336,473,18,1033,8614
Sioux,1882,15235,3459,77,20653,306,1232,854,26,2418,23071
Story,20706,15408,18060,656,54830,4598,3283,6721,298,14900,69730
Tama,2836,3473,3431,76,9816,391,300,1057,9,1757,11573
Taylor,587,1984,904,28,3503,92,172,289,8,561,4064
Union,1476,3214,2184,42,6916,247,256,881,14,1398,8314
Van Buren,752,2314,1117,30,4213,133,227,401,7,768,4981
Wapello,6304,5692,5267,118,17381,1385,756,1985,43,4169,21550
Warren,10157,12827,10179,265,33428,1096,1146,2219,78,4539,37967
Washington,3246,5618,4193,99,13156,417,600,1205,42,2264,15420
Wayne,756,1593,972,18,3339,110,155,226,4,495,3834
Webster,6453,7264,6341,158,20216,1328,968,2639,62,4997,25213
Winnebago,1574,2842,2234,41,6691,245,269,747,12,1273,7964
Winneshiek,4279,4495,4148,52,12974,703,355,995,26,2079,15053
Woodbury,15739,20599,13939,412,50689,3834,2840,6100,134,12908,63597
Worth,1257,1931,1654,24,4866,145,151,418,3,717,5583
Wright,1587,3287,1982,32,6888,269,317,581,13,1180,8068
Totals,"611,639","662,932","560,099","14,899","1,849,569","101,373","75,037","172,592","4,911","353,913","2,203,482"
