County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,733,2083,24,1233,2,4075,194,377,11,754,3,1339,5414
Adams,390,1075,7,685,2,2159,78,196,0,418,0,692,2851
Allamakee,1461,4128,30,1817,9,7445,462,786,20,1276,3,2547,9992
Appanoose,1289,3254,33,1688,6,6270,505,759,19,1280,8,2571,8841
Audubon,728,1750,17,751,3,3249,168,321,9,427,1,926,4175
Benton,2992,6459,71,5041,13,14576,697,897,44,2424,12,4074,18650
Black Hawk,21495,18962,423,18167,89,59136,9808,4531,240,12336,109,27024,86160
Boone,4011,5911,96,5122,15,15155,991,1229,52,2822,12,5106,20261
Bremer,3311,5254,55,5267,11,13898,865,960,24,2346,6,4201,18099
Buchanan,2786,3734,59,3941,5,10525,627,637,24,2335,3,3626,14151
Buena Vista,1662,3609,31,2110,15,7427,1384,1076,32,2096,13,4601,12028
Butler,1415,4245,33,2130,10,7833,369,738,27,1255,5,2394,10227
Calhoun,856,2786,25,1517,3,5187,249,467,11,776,4,1507,6694
Carroll,2375,5250,96,3809,14,11544,671,900,32,1839,7,3449,14993
Cass,1129,4034,30,1647,11,6851,380,949,21,1335,7,2692,9543
Cedar,2525,4319,67,3264,7,10182,629,698,25,1565,13,2930,13112
Cerro Gordo,6455,8497,137,7328,25,22442,2177,1688,64,4966,37,8932,31374
Cherokee,864,3887,30,1307,4,6092,362,646,12,1064,5,2089,8181
Chickasaw,1596,2649,19,2012,0,6276,378,451,18,1137,6,1990,8266
Clarke,903,2233,33,1122,5,4296,410,448,20,964,10,1852,6148
Clay,1459,4786,53,2116,11,8425,552,1161,37,1503,7,3260,11685
Clayton,2159,4595,47,2711,8,9520,585,815,20,1410,11,2841,12361
Clinton,6513,8649,114,8441,34,23751,2522,1862,81,5645,37,10147,33898
Crawford,1211,3545,36,1586,5,6383,921,839,25,1671,16,3472,9855
Dallas,16884,22230,372,19970,59,59515,4044,4227,205,8996,43,17515,77030
Davis,831,2366,21,719,3,3940,231,395,9,578,4,1217,5157
Decatur,706,1914,20,725,4,3369,386,414,9,653,5,1467,4836
Delaware,1952,4499,37,3353,9,9850,441,673,15,1448,6,2583,12433
Des Moines,6154,6596,116,5887,30,18783,2869,1776,87,4304,22,9058,27841
Dickinson,2047,6173,54,3219,10,11503,587,1173,47,1523,7,3337,14840
Dubuque,18919,17557,318,14405,67,51266,6080,4123,236,8939,69,19447,70713
Emmet,1001,2220,22,1385,8,4636,400,462,19,1107,0,1988,6624
Fayette,2290,4481,42,2919,13,9745,669,696,25,1472,10,2872,12617
Floyd,1936,2746,31,2851,5,7569,721,592,26,1830,12,3181,10750
Franklin,831,2649,17,1209,3,4709,315,524,19,1005,6,1869,6578
Fremont,650,2282,14,741,4,3691,257,627,20,542,9,1455,5146
Greene,1068,2333,35,1417,11,4864,337,480,16,779,3,1615,6479
Grundy,1156,4008,36,1894,6,7100,335,652,16,1001,3,2007,9107
Guthrie,1292,3119,44,1985,3,6443,326,542,16,1083,0,1967,8410
Hamilton,1566,3910,29,2105,4,7614,553,705,20,1269,9,2556,10170
Hancock,1003,3287,26,1422,3,5741,344,654,13,1054,10,2075,7816
Hardin,1816,4393,39,2094,11,8353,620,1027,26,1491,7,3171,11524
Harrison,1388,4262,55,1566,8,7279,383,727,21,774,10,1915,9194
Henry,1830,4692,54,2823,11,9410,673,1069,41,2221,11,4015,13425
Howard,1165,1624,19,1943,2,4753,283,347,13,1015,4,1662,6415
Humboldt,775,2689,22,1553,4,5043,239,516,14,897,3,1669,6712
Ida,511,2061,12,998,1,3583,165,424,5,677,3,1274,4857
