County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,738,2205,1346,23,4312,106,224,433,12,775,5087
Adams,380,1149,731,9,2269,53,110,248,1,412,2681
Allamakee,1498,4239,1942,42,7721,310,562,922,20,1814,9535
Appanoose,1336,3560,1943,49,6888,246,414,680,14,1354,8242
Audubon,736,1844,822,23,3425,89,143,215,11,458,3883
Benton,3051,6695,5485,92,15323,380,556,1348,37,2321,17644
Black Hawk,23345,20894,21312,623,66174,4964,2452,6806,207,14429,80603
Boone,4084,6358,5834,118,16394,525,677,1479,37,2718,19112
Bremer,3407,5804,6068,84,15363,457,505,1215,18,2195,17558
Buchanan,2826,4060,4485,63,11434,356,381,1173,20,1930,13364
Buena Vista,1889,3821,2377,56,8143,693,659,1109,25,2486,10629
Butler,1432,4539,2518,47,8536,193,390,603,18,1204,9740
Calhoun,846,2923,1670,37,5476,152,306,436,5,899,6375
Carroll,2390,5489,4090,109,12078,351,566,997,26,1940,14018
Cass,1185,4356,1973,46,7560,190,460,657,16,1323,8883
Cedar,2665,4669,3784,82,11200,318,376,834,25,1553,12753
Cerro Gordo,6803,9020,8391,185,24399,1133,997,2711,61,4902,29301
Cherokee,904,4054,1480,39,6477,188,353,561,11,1113,7590
Chickasaw,1615,2834,2187,28,6664,184,242,546,9,981,7645
Clarke,959,2397,1323,44,4723,197,243,511,17,968,5691
Clay,1509,5186,2357,79,9131,299,641,788,28,1756,10887
Clayton,2171,4837,2953,53,10014,348,494,743,22,1607,11621
Clinton,6859,9385,9191,169,25604,1196,1068,3342,71,5677,31281
Crawford,1380,3711,1914,43,7048,435,512,855,25,1827,8875
Dallas,18066,24248,23075,564,65953,2418,2646,5551,142,10757,76710
Davis,815,2479,841,23,4158,128,227,311,9,675,4833
Decatur,742,2115,988,26,3871,190,240,334,13,777,4648
Delaware,1996,4856,3823,54,10729,194,364,763,10,1331,12060
Des Moines,6596,7214,6456,193,20459,1272,947,2478,58,4755,25214
Dickinson,2087,6441,3471,84,12083,325,746,891,33,1995,14078
Dubuque,19979,19750,15915,492,56136,3212,2315,5356,187,11070,67206
Emmet,1077,2405,1605,26,5113,194,263,520,12,989,6102
Fayette,2296,4783,3327,59,10465,378,419,826,18,1641,12106
Floyd,1997,2976,3215,38,8226,356,315,930,21,1622,9848
Franklin,884,2841,1448,28,5201,156,245,530,10,941,6142
Fremont,665,2485,861,30,4041,109,335,313,17,774,4815
Greene,1100,2484,1582,43,5209,175,291,392,18,876,6085
Grundy,1227,4225,2156,54,7662,158,342,498,15,1013,8675
Guthrie,1325,3275,2279,45,6924,154,287,546,15,1002,7926
Hamilton,1643,4149,2273,42,8107,289,405,735,14,1443,9550
Hancock,1050,3561,1628,49,6288,180,345,531,12,1068,7356
Hardin,1869,4697,2398,64,9028,318,571,742,21,1652,10680
Harrison,1485,4646,2006,85,8222,237,506,489,23,1255,9477
Henry,1966,4962,3184,67,10179,315,617,1113,36,2081,12260
Howard,1196,1804,2193,24,5217,120,162,524,8,814,6031
Humboldt,780,2792,1695,34,5301,144,335,555,5,1039,6340
Ida,546,2197,1146,10,3899,67,215,341,9,632,4531
Iowa,2075,4637,3406,72,10190,272,422,903,13,1610,11800
Jackson,3141,4805,3538,54,11538,435,412,1119,16,1982,13520
Jasper,5671,8924,6483,141,21219,857,929,2085,43,3914,25133
Jefferson,3086,3349,2230,83,8748,558,383,810,30,1781,10529
Johnson,42423,17387,29250,770,89830,8874,2920,9611,273,21678,111508
Jones,2482,4744,4321,57,11604,288,444,1055,23,1810,13414
Keokuk,1017,2922,1412,32,5383,170,310,422,12,914,6297
Kossuth,1725,4641,2445,58,8869,242,460,778,20,1500,10369
Lee,5483,6198,5403,123,17207,966,787,1966,50,3769,20976
Linn,46273,38670,43412,1320,129675,7828,4746,12612,463,25649,155324
Louisa,1084,2591,1788,35,5498,252,336,657,14,1259,6757
Lucas,828,2712,1319,29,4888,128,305,414,5,852,5740
