County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,984,"1,983",19,"1,965",5,"4,956",69,67,3,163,0,302,"5,258"
Adams,568,"1,002",6,"1,094",1,"2,671",45,54,1,130,0,230,"2,901"
Allamakee,"2,111","4,091",23,"2,985",7,"9,217",161,163,4,369,0,697,"9,914"
Appanoose,"2,192","2,955",27,"2,814",9,"7,997",191,186,3,408,1,789,"8,786"
Audubon,971,"1,932",16,"1,198",2,"4,119",40,64,0,99,0,203,"4,322"
Benton,"4,034","5,715",69,"7,222",13,"17,053",208,222,6,490,2,928,"17,981"
Black Hawk,"29,348","20,631",462,"29,399",160,"80,000","2,542","1,502",45,"3,220",22,"7,331","87,331"
Boone,"5,255","5,742",103,"6,887",19,"18,006",291,351,14,678,0,"1,334","19,340"
Bremer,"3,965","5,099",63,"7,203",7,"16,337",259,250,4,595,3,"1,111","17,448"
Buchanan,"3,558","3,182",38,"6,314",4,"13,096",159,116,4,514,1,794,"13,890"
Buena Vista,"2,882","4,070",42,"4,277",22,"11,293",323,242,3,516,0,"1,084","12,377"
Butler,"1,714","4,512",36,"3,341",6,"9,609",86,127,0,232,0,445,"10,054"
Calhoun,"1,287","2,509",23,"2,497",7,"6,323",65,84,2,151,2,304,"6,627"
Carroll,"3,648","4,247",62,"5,825",15,"13,797",139,134,7,285,0,565,"14,362"
Cass,"1,478","4,650",29,"2,834",7,"8,998",110,227,0,342,0,679,"9,677"
Cedar,"3,196","3,779",51,"4,614",10,"11,650",128,149,5,262,2,546,"12,196"
Cerro Gordo,"8,676","8,070",81,"12,471",17,"29,315",488,394,4,994,4,"1,884","31,199"
Cherokee,"1,494","3,716",26,"2,642",5,"7,883",73,107,1,237,0,418,"8,301"
Chickasaw,"2,432","2,384",17,"3,265",8,"8,106",107,121,2,298,0,528,"8,634"
Clarke,"1,467","1,986",21,"2,109",3,"5,586",66,82,3,218,0,369,"5,955"
Clay,"1,988","5,467",45,"3,406",5,"10,911",158,267,3,421,1,850,"11,761"
Clayton,"3,227","3,636",47,"4,526",4,"11,440",178,155,0,300,2,635,"12,075"
Clinton,"9,496","7,772",99,"13,452",32,"30,851",696,363,8,"1,173",8,"2,248","33,099"
Crawford,"2,465","3,281",27,"3,684",9,"9,466",151,157,2,293,0,603,"10,069"
Dallas,"13,659","19,285",344,"21,251",50,"54,589",969,"1,542",34,"2,256",6,"4,807","59,396"
Davis,"1,723","1,700",12,"1,385",3,"4,823",87,89,1,147,2,326,"5,149"
Decatur,"1,297","1,740",30,"1,321",7,"4,395",162,115,3,189,1,470,"4,865"
Delaware,"2,340","4,338",35,"4,621",9,"11,343",103,111,2,237,1,454,"11,797"
Des Moines,"10,111","6,569",125,"9,000",34,"25,839",835,410,12,"1,065",5,"2,327","28,166"
Dickinson,"2,390","5,812",60,"4,395",7,"12,664",161,251,3,389,2,806,"13,470"
Dubuque,"25,916","15,859",337,"21,755",86,"63,953","1,672",983,33,"1,998",19,"4,705","68,658"
Emmet,"1,702","1,837",17,"2,690",2,"6,248",114,120,1,307,1,543,"6,791"
Fayette,"3,378","3,986",43,"4,182",13,"11,602",172,110,2,269,2,555,"12,157"
Floyd,"2,853","2,672",32,"4,733",10,"10,300",237,135,6,407,1,786,"11,086"
Franklin,"1,208","3,001",18,"2,054",3,"6,284",75,103,0,179,1,358,"6,642"
Fremont,"1,009","2,316",11,"1,339",6,"4,681",90,118,0,176,0,384,"5,065"
Greene,"1,651","2,378",36,"2,169",5,"6,239",67,94,5,183,1,350,"6,589"
Grundy,"1,366","3,978",26,"3,162",7,"8,539",59,145,3,216,2,425,"8,964"
Guthrie,"1,607","2,819",40,"3,043",3,"7,512",63,99,1,188,0,351,"7,863"
Hamilton,"2,338","3,930",38,"3,394",9,"9,709",122,136,2,300,0,560,"10,269"
Hancock,"1,404","3,319",16,"2,691",8,"7,438",76,97,3,242,0,418,"7,856"
Hardin,"2,527","4,653",61,"3,716",9,"10,966",141,217,3,305,1,667,"11,633"
Harrison,"2,025","3,749",47,"2,529",10,"8,360",40,86,1,102,2,231,"8,591"
Henry,"2,657","5,056",53,"4,718",7,"12,491",287,295,3,649,1,"1,235","13,726"
Howard,"1,656","1,482",18,"2,613",1,"5,770",93,68,0,223,0,384,"6,154"
Humboldt,"1,213","2,690",22,"2,309",3,"6,237",66,104,2,196,0,368,"6,605"
Ida,781,"2,186",16,"1,674",3,"4,660",37,73,0,118,0,228,"4,888"
Iowa,"2,551","4,055",57,"4,713",9,"11,385",123,177,0,319,0,619,"12,004"
Jackson,"4,886","3,071",31,"5,742",7,"13,737",238,146,3,464,1,852,"14,589"
Jasper,"8,152","7,418",91,"8,740",19,"24,420",380,301,2,640,1,"1,324","25,744"
Jefferson,"4,188","3,166",53,"2,765",31,"10,203",331,158,8,396,10,903,"11,106"
Johnson,"43,417","17,809",652,"28,189",175,"90,242","6,848","3,172",131,"7,366",60,"17,577","107,819"
Jones,"3,059","3,975",33,"5,842",5,"12,914",125,126,5,398,1,655,"13,569"
Keokuk,"1,778","2,388",18,"2,200",5,"6,389",120,97,0,194,0,411,"6,800"
Kossuth,"3,030","3,465",32,"4,220",9,"10,756",139,155,1,337,0,632,"11,388"
Lee,"8,849","4,457",113,"7,973",23,"21,415",607,311,12,"1,033",3,"1,966","23,381"
Linn,"51,519","37,811","1,256","50,630",290,"141,506","3,462","2,102",101,"4,278",33,"9,976","151,482"
Louisa,"1,666","2,391",19,"2,643",5,"6,724",102,104,1,238,1,446,"7,170"
Lucas,"1,233","2,290",16,"1,943",3,"5,485",74,114,1,199,1,389,"5,874"
Lyon,764,"5,680",18,"1,525",1,"7,988",92,210,2,188,1,493,"8,481"
Madison,"2,675","4,233",47,"3,780",9,"10,744",146,254,4,361,0,765,"11,509"
Mahaska,"2,374","6,975",85,"4,162",13,"13,609",294,313,6,530,1,"1,144","14,753"
Marion,"5,114","9,686",97,"7,373",17,"22,287",327,509,6,714,1,"1,557","23,844"
Marshall,"7,070","7,190",88,"8,570",27,"22,945",507,369,7,841,0,"1,724","24,669"
Mills,"1,932","4,999",79,"2,898",18,"9,926",88,129,4,148,2,371,"10,297"
Mitchell,"1,580","2,501",11,"2,741",5,"6,838",77,80,1,179,0,337,"7,175"
Monona,"1,629","2,074",21,"2,174",7,"5,905",70,83,2,140,1,296,"6,201"
Monroe,"1,441","1,729",12,"1,527",0,"4,709",77,81,1,129,1,289,"4,998"
Montgomery,"1,080","3,531",19,"2,188",6,"6,824",72,160,4,222,1,459,"7,283"
Muscatine,"7,857","7,889",112,"10,252",43,"26,153",621,458,11,"1,097",3,"2,190","28,343"
O'Brien,"1,133","5,703",29,"2,357",8,"9,230",102,192,5,223,1,523,"9,753"
Osceola,453,"2,487",8,"1,092",5,"4,045",24,71,0,85,1,181,"4,226"
Page,"1,498","4,933",31,"2,835",10,"9,307",137,252,7,363,0,759,"10,066"
Palo Alto,"1,887","1,860",18,"2,274",6,"6,045",84,49,0,141,0,274,"6,319"
Plymouth,"3,036","8,360",67,"5,263",24,"16,750",160,330,5,352,0,847,"17,597"
Pocahontas,939,"1,977",21,"1,822",3,"4,762",72,69,3,183,0,327,"5,089"
Polk,"114,629","81,293","2,301","82,930",468,"281,621","7,888","5,066",222,"7,944",57,"21,177","302,798"
Pottawattamie,"15,126","20,824",451,"19,207",116,"55,724","2,499","2,221",61,"3,841",22,"8,644","64,368"
Poweshiek,"4,078","3,740",49,"4,750",10,"12,627",713,160,9,689,4,"1,575","14,202"
Ringgold,837,"1,458",7,726,0,"3,028",46,67,0,71,0,184,"3,212"
Sac,"1,237","3,230",18,"2,312",7,"6,804",72,99,0,205,0,376,"7,180"
Scott,"35,460","31,111",685,"45,781",167,"113,204","3,921","2,709",94,"5,752",28,"12,504","125,708"
Shelby,"1,735","3,552",22,"2,589",2,"7,900",76,116,5,168,0,365,"8,265"
Sioux,"1,734","15,396",50,"3,995",15,"21,190",127,475,8,334,3,947,"22,137"
Story,"19,323","17,216",589,"21,732",137,"58,997","2,521","1,781",101,"3,638",30,"8,071","67,068"
Tama,"3,009","3,334",37,"4,686",8,"11,074",155,97,1,357,0,610,"11,684"
Taylor,668,"1,846",21,"1,189",0,"3,724",34,63,2,90,0,189,"3,913"
Union,"1,678","2,711",25,"3,132",5,"7,551",104,147,1,345,1,598,"8,149"
Van Buren,958,"2,039",20,"1,618",8,"4,643",54,70,4,130,0,258,"4,901"
Wapello,"8,043","5,251",74,"6,644",31,"20,043",614,342,7,918,0,"1,881","21,924"
Warren,"9,780","11,386",183,"11,387",26,"32,762",584,655,15,"1,028",4,"2,286","35,048"
Washington,"3,098","5,822",87,"5,041",21,"14,069",174,258,6,448,2,888,"14,957"
Wayne,909,"1,420",15,"1,168",1,"3,513",35,66,1,73,1,176,"3,689"
Webster,"7,701","7,071",108,"9,118",43,"24,041",487,298,3,808,3,"1,599","25,640"
Winnebago,"1,487","2,760",29,"2,952",7,"7,235",154,137,1,324,0,616,"7,851"
Winneshiek,"4,100","4,298",35,"5,269",21,"13,723",310,152,4,507,4,977,"14,700"
Woodbury,"17,683","19,857",301,"18,797",67,"56,705","1,644","1,296",30,"2,198",12,"5,180","61,885"
Worth,"1,334","1,894",10,"2,011",1,"5,250",121,99,2,251,0,473,"5,723"
