County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,986,"1,986",18,"1,991",5,"4,986",65,66,3,156,0,290,"5,276"
Adams,570,"1,001",6,"1,106",1,"2,684",46,53,1,126,0,226,"2,910"
Allamakee,"2,107","4,081",25,"3,053",8,"9,274",160,160,4,368,0,692,"9,966"
Appanoose,"2,213","2,955",27,"2,854",8,"8,057",188,179,3,399,0,769,"8,826"
Audubon,964,"1,946",19,"1,215",2,"4,146",38,49,0,82,0,169,"4,315"
Benton,"3,984","5,713",76,"7,298",14,"17,085",203,217,7,474,2,903,"17,988"
Black Hawk,"29,623","20,748",504,"30,223",164,"81,262","2,484","1,464",46,"3,165",19,"7,178","88,440"
Boone,"5,245","5,750",110,"7,039",22,"18,166",279,340,12,663,0,"1,294","19,460"
Bremer,"3,948","5,092",70,"7,280",8,"16,398",254,240,5,579,3,"1,081","17,479"
Buchanan,"3,546","3,190",42,"6,375",4,"13,157",159,113,4,496,0,772,"13,929"
Buena Vista,"2,881","4,096",46,"4,318",22,"11,363",323,240,3,515,0,"1,081","12,444"
Butler,"1,697","4,507",39,"3,375",7,"9,625",83,128,0,231,0,442,"10,067"
Calhoun,"1,279","2,504",24,"2,536",8,"6,351",60,78,2,141,2,283,"6,634"
Carroll,"3,607","4,277",62,"5,873",17,"13,836",135,131,7,275,0,548,"14,384"
Cass,"1,474","4,647",31,"2,864",7,"9,023",107,221,0,330,0,658,"9,681"
Cedar,"3,182","3,798",54,"4,718",12,"11,764",127,141,5,251,2,526,"12,290"
Cerro Gordo,"8,646","8,040",87,"12,651",19,"29,443",478,384,4,987,4,"1,857","31,300"
Cherokee,"1,491","3,703",32,"2,698",5,"7,929",73,103,1,232,0,409,"8,338"
Chickasaw,"2,411","2,381",17,"3,287",9,"8,105",106,118,2,287,0,513,"8,618"
Clarke,"1,463","1,981",22,"2,143",5,"5,614",64,82,3,210,0,359,"5,973"
Clay,"1,973","5,428",45,"3,462",6,"10,914",156,262,2,415,1,836,"11,750"
Clayton,"3,211","3,632",47,"4,564",6,"11,460",171,151,0,295,2,619,"12,079"
Clinton,"9,458","7,753",107,"13,615",32,"30,965",690,355,7,"1,167",7,"2,226","33,191"
Crawford,"2,447","3,261",27,"3,716",12,"9,463",148,154,2,283,0,587,"10,050"
Dallas,"13,953","19,506",391,"22,042",51,"55,943",908,"1,461",29,"2,147",6,"4,551","60,494"
Davis,"1,713","1,703",14,"1,412",3,"4,845",87,86,1,142,2,318,"5,163"
Decatur,"1,289","1,725",27,"1,330",7,"4,378",157,117,3,188,1,466,"4,844"
Delaware,"2,329","4,322",39,"4,658",9,"11,357",101,114,2,236,1,454,"11,811"
