County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,018","1,917","1,969",10,"4,914",80,82,178,0,340,"5,254"
Adams,586,969,"1,153",3,"2,711",38,40,121,0,199,"2,910"
Allamakee,"2,101","4,113","3,109",13,"9,336",138,145,286,0,569,"9,905"
Appanoose,"2,349","2,892","2,891",11,"8,143",226,206,416,1,849,"8,992"
Audubon,"1,142","1,710","1,318",13,"4,183",41,61,118,0,220,"4,403"
Benton,"4,202","5,332","7,219",46,"16,799",294,233,649,3,"1,179","17,978"
Black Hawk,"29,468","21,157","29,331",380,"80,336","2,220","1,220","2,795",45,"6,280","86,616"
Boone,"5,212","5,710","6,654",55,"17,631",297,343,698,3,"1,341","18,972"
Bremer,"3,755","5,144","7,142",37,"16,078",247,252,596,13,"1,108","17,186"
Buchanan,"3,644","3,237","6,254",15,"13,150",174,149,521,1,845,"13,995"
Buena Vista,"2,972","4,078","4,411",24,"11,485",196,214,312,2,724,"12,209"
Butler,"1,726","4,444","3,395",9,"9,574",100,114,225,1,440,"10,014"
Calhoun,"1,305","2,409","2,555",8,"6,277",104,107,243,4,458,"6,735"
Carroll,"3,820","4,041","5,981",44,"13,886",244,214,593,4,"1,055","14,941"
Cass,"1,511","4,669","2,937",17,"9,134",126,269,363,0,758,"9,892"
Cedar,"3,103","3,799","4,444",30,"11,376",179,154,336,3,672,"12,048"
Cerro Gordo,"8,938","8,333","12,041",47,"29,359",678,425,"1,256",5,"2,364","31,723"
Cherokee,"1,701","3,360","2,838",16,"7,915",148,185,403,3,739,"8,654"
Chickasaw,"2,599","2,339","3,445",13,"8,396",138,122,330,1,591,"8,987"
Clarke,"1,505","1,821","2,106",9,"5,441",122,134,300,2,558,"5,999"
Clay,"2,273","4,711","3,933",23,"10,940",264,299,536,0,"1,099","12,039"
Clayton,"3,350","3,470","4,579",30,"11,429",154,139,309,2,604,"12,033"
Clinton,"10,066","7,633","12,884",68,"30,651","1,076",431,"1,470",6,"2,983","33,634"
Crawford,"2,531","3,230","3,477",10,"9,248",150,132,287,1,570,"9,818"
Dallas,"11,402","18,871","18,730",171,"49,174","1,122","1,679","2,658",16,"5,475","54,649"
Davis,"1,718","1,639","1,377",6,"4,740",123,86,193,1,403,"5,143"
Decatur,"1,460","1,658","1,390",11,"4,519",73,55,100,1,229,"4,748"
Delaware,"2,463","3,972","4,777",14,"11,226",89,117,218,0,424,"11,650"
Des Moines,"10,608","6,565","8,465",73,"25,711",852,449,"1,041",7,"2,349","28,060"
Dickinson,"2,431","5,325","4,462",26,"12,244",164,242,337,6,749,"12,993"
Dubuque,"24,926","15,833","21,585",210,"62,554","1,870","1,047","2,248",32,"5,197","67,751"
Emmet,"1,842","1,737","2,720",10,"6,309",244,175,567,0,986,"7,295"
Fayette,"3,483","3,987","4,002",34,"11,506",214,129,330,5,678,"12,184"
Floyd,"3,009","2,704","4,577",12,"10,302",207,141,362,4,714,"11,016"
Franklin,"1,250","3,024","2,192",5,"6,471",66,85,210,2,363,"6,834"
Fremont,"1,067","2,041","1,574",9,"4,691",159,222,324,1,706,"5,397"
Greene,"1,774","2,177","2,235",12,"6,198",115,132,258,3,508,"6,706"
Grundy,"1,402","4,065","3,025",15,"8,507",70,136,250,3,459,"8,966"
Guthrie,"1,681","2,748","2,851",24,"7,304",116,158,324,0,598,"7,902"
Hamilton,"2,477","3,649","3,586",28,"9,740",156,182,321,1,660,"10,400"
Hancock,"1,480","3,277","2,693",7,"7,457",116,135,323,2,576,"8,033"
Hardin,"2,518","4,658","3,775",19,"10,970",253,231,442,3,929,"11,899"
Harrison,"2,066","3,620","2,194",26,"7,906",37,58,70,1,166,"8,072"
Henry,"2,734","5,101","4,728",24,"12,587",418,381,758,2,"1,559","14,146"
Howard,"1,730","1,425","2,619",6,"5,780",114,90,292,0,496,"6,276"
Humboldt,"1,207","2,627","2,321",5,"6,160",106,112,227,0,445,"6,605"
Ida,829,"2,203","1,724",11,"4,767",52,114,207,0,373,"5,140"
Iowa,"2,665","3,974","4,784",36,"11,459",149,222,387,3,761,"12,220"
Jackson,"5,149","3,010","5,522",21,"13,702",297,172,587,5,"1,061","14,763"
Jasper,"8,439","7,272","8,255",44,"24,010",534,432,950,4,"1,920","25,930"
Jefferson,"3,843","3,299","2,966",53,"10,161",316,202,446,14,978,"11,139"
Johnson,"40,426","18,139","24,205",473,"83,243","8,140","3,901","9,501",168,"21,710","104,953"
Jones,"3,208","3,732","5,820",17,"12,777",156,148,415,1,720,"13,497"
Keokuk,"1,954","2,345","2,203",9,"6,511",154,108,278,2,542,"7,053"
Kossuth,"3,086","3,476","4,227",12,"10,801",95,109,239,1,444,"11,245"
Lee,"9,146","4,288","7,809",60,"21,303",849,370,"1,197",5,"2,421","23,724"
Linn,"49,410","38,551","47,836",724,"136,521","5,158","2,980","6,229",97,"14,464","150,985"
Louisa,"1,631","2,453","2,441",8,"6,533",215,152,424,1,792,"7,325"
Lucas,"1,299","2,247","1,914",8,"5,468",85,122,243,2,452,"5,920"
Lyon,857,"5,408","1,648",7,"7,920",98,212,187,0,497,"8,417"
Madison,"2,689","4,122","3,669",21,"10,501",179,247,414,3,843,"11,344"
Mahaska,"2,824","6,131","4,526",52,"13,533",318,314,577,2,"1,211","14,744"
Marion,"5,304","9,449","7,244",46,"22,043",420,620,813,10,"1,863","23,906"
