County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,020","1,885","2,078",9,"4,992",67,67,157,0,291,"5,283"
Adams,599,948,"1,197",4,"2,748",28,31,103,0,162,"2,910"
Allamakee,"2,069","4,092","3,231",14,"9,406",121,126,250,0,497,"9,903"
Appanoose,"2,374","2,768","3,031",11,"8,184",210,179,390,0,779,"8,963"
Audubon,"1,195","1,528","1,459",11,"4,193",41,51,103,0,195,"4,388"
Benton,"4,187","4,974","7,624",47,"16,832",267,180,588,3,"1,038","17,870"
Black Hawk,"28,196","20,215","31,728",433,"80,572","1,916",984,"2,435",35,"5,370","85,942"
Boone,"4,983","5,453","7,221",62,"17,719",257,277,599,3,"1,136","18,855"
Bremer,"3,536","4,926","7,711",44,"16,217",196,176,457,4,833,"17,050"
Buchanan,"3,558","3,064","6,590",17,"13,229",174,127,442,1,744,"13,973"
Buena Vista,"2,873","3,959","4,727",24,"11,583",167,177,248,2,594,"12,177"
Butler,"1,638","4,399","3,618",13,"9,668",85,100,189,0,374,"10,042"
Calhoun,"1,287","2,332","2,674",11,"6,304",94,100,230,4,428,"6,732"
Carroll,"3,791","3,889","6,289",49,"14,018",202,199,526,4,931,"14,949"
Cass,"1,492","4,646","3,096",13,"9,247",108,228,324,0,660,"9,907"
Cedar,"3,013","3,662","4,737",31,"11,443",169,130,293,2,594,"12,037"
Cerro Gordo,"8,754","7,818","12,749",52,"29,373",598,397,"1,147",4,"2,146","31,519"
Cherokee,"1,758","3,120","3,063",17,"7,958",139,170,380,2,691,"8,649"
Chickasaw,"2,609","2,184","3,653",18,"8,464",132,107,289,1,529,"8,993"
Clarke,"1,497","1,749","2,262",11,"5,519",103,116,265,1,485,"6,004"
Clay,"2,297","4,413","4,287",21,"11,018",239,258,477,0,974,"11,992"
Clayton,"3,257","3,297","4,883",30,"11,467",135,113,265,2,515,"11,982"
Clinton,"9,822","7,166","13,563",68,"30,619","1,019",383,"1,399",6,"2,807","33,426"
Crawford,"2,526","3,117","3,591",7,"9,241",140,103,252,0,495,"9,736"
Dallas,"10,468","17,473","20,941",193,"49,075",889,"1,331","2,121",11,"4,352","53,427"
Davis,"1,759","1,503","1,491",4,"4,757",110,70,174,1,355,"5,112"
Decatur,"1,364","1,538","1,487",11,"4,400",64,45,76,0,185,"4,585"
Delaware,"2,461","3,749","5,037",9,"11,256",79,104,195,0,378,"11,634"
Des Moines,"10,667","6,012","9,010",74,"25,763",774,398,936,6,"2,114","27,877"
Dickinson,"2,341","5,146","4,727",31,"12,245",135,204,287,3,629,"12,874"
Dubuque,"24,180","14,997","22,946",225,"62,348","1,660",900,"2,028",23,"4,611","66,959"
Emmet,"1,823","1,619","2,823",8,"6,273",236,168,528,0,932,"7,205"
Fayette,"3,420","3,872","4,236",38,"11,566",189,117,295,5,606,"12,172"
Floyd,"3,029","2,565","4,835",15,"10,444",163,102,320,3,588,"11,032"
Franklin,"1,212","3,005","2,338",7,"6,562",58,64,166,2,290,"6,852"
Fremont,"1,095","1,967","1,643",9,"4,714",153,210,316,1,680,"5,394"
Greene,"1,779","2,072","2,347",12,"6,210",102,122,245,1,470,"6,680"
Grundy,"1,359","3,981","3,170",19,"8,529",66,119,225,3,413,"8,942"
Guthrie,"1,693","2,630","3,030",26,"7,379",103,135,287,0,525,"7,904"
Hamilton,"2,435","3,430","3,885",30,"9,780",136,163,282,1,582,"10,362"
Hancock,"1,460","3,206","2,891",8,"7,565",113,114,284,1,512,"8,077"
Hardin,"2,480","4,544","3,977",20,"11,021",231,215,408,3,857,"11,878"
Harrison,"2,026","3,507","2,364",31,"7,928",35,48,57,1,141,"8,069"
Henry,"2,641","4,980","4,972",25,"12,618",379,317,691,2,"1,389","14,007"
Howard,"1,704","1,368","2,717",4,"5,793",105,81,276,0,462,"6,255"
Humboldt,"1,206","2,573","2,437",5,"6,221",83,86,194,0,363,"6,584"
Ida,816,"2,154","1,812",13,"4,795",51,104,195,0,350,"5,145"
Iowa,"2,575","3,825","5,036",34,"11,470",145,196,362,3,706,"12,176"
Jackson,"5,130","2,781","5,832",21,"13,764",279,154,523,3,959,"14,723"
Jasper,"7,972","7,126","9,006",44,"24,148",463,359,814,3,"1,639","25,787"
Jefferson,"3,375","3,285","3,354",77,"10,091",265,175,422,13,875,"10,966"
Johnson,"37,493","17,546","31,012",646,"86,697","6,093","2,933","6,951",122,"16,099","102,796"
Jones,"3,162","3,621","6,083",19,"12,885",120,115,339,1,575,"13,460"
Keokuk,"1,951","2,236","2,348",9,"6,544",149,99,278,2,528,"7,072"
Kossuth,"3,161","3,322","4,394",15,"10,892",83,90,205,1,379,"11,271"
Lee,"9,143","3,995","8,317",55,"21,510",730,322,"1,083",4,"2,139","23,649"
Linn,"46,397","36,904","51,912",798,"136,011","4,846","2,614","5,894",76,"13,430","149,441"
Louisa,"1,602","2,311","2,599",11,"6,523",200,140,392,1,733,"7,256"
Lucas,"1,290","2,166","2,014",10,"5,480",73,100,203,1,377,"5,857"
Lyon,832,"5,355","1,742",6,"7,935",88,180,164,0,432,"8,367"
Madison,"2,671","3,928","3,944",22,"10,565",149,212,333,1,695,"11,260"
Mahaska,"2,786","5,849","4,933",55,"13,623",288,251,478,2,"1,019","14,642"
Marion,"5,044","9,065","7,849",58,"22,016",393,554,725,5,"1,677","23,693"
Marshall,"6,790","7,213","9,327",45,"23,375",633,496,"1,045",2,"2,176","25,551"
Mills,"1,923","4,878","3,118",32,"9,951",177,275,389,2,843,"10,794"
Mitchell,"1,678","2,403","2,774",9,"6,864",104,106,175,1,386,"7,250"
Monona,"1,849","1,863","2,377",10,"6,099",119,123,223,0,465,"6,564"
Monroe,"1,577","1,495","1,585",5,"4,662",98,70,134,3,305,"4,967"
Montgomery,977,"3,605","2,179",6,"6,767",87,194,248,1,530,"7,297"
Muscatine,"7,435","7,891","10,646",65,"26,037",627,578,"1,199",2,"2,406","28,443"
O'Brien,"1,265","5,281","2,689",18,"9,253",95,213,296,2,606,"9,859"
Osceola,487,"2,469","1,120",5,"4,081",30,98,122,0,250,"4,331"
Page,"1,524","4,254","3,478",15,"9,271",167,248,514,5,934,"10,205"
Palo Alto,"2,155","1,601","2,223",12,"5,991",122,81,212,0,415,"6,406"
Plymouth,"3,071","7,730","5,540",38,"16,379",292,430,592,2,"1,316","17,695"
Pocahontas,"1,036","1,633","2,228",15,"4,912",51,73,170,1,295,"5,207"
Polk,"100,161","81,080","86,840","1,611","269,692","6,683","4,240","7,020",101,"18,044","287,736"
Pottawattamie,"14,873","20,112","19,227",275,"54,487","1,867","1,549","2,811",30,"6,257","60,744"
Poweshiek,"3,733","3,649","5,259",48,"12,689",532,124,461,2,"1,119","13,808"
Ringgold,832,"1,427",789,2,"3,050",45,44,68,0,157,"3,207"
Sac,"1,279","3,032","2,579",6,"6,896",77,118,211,0,406,"7,302"
Scott,"34,457","30,410","46,552",597,"112,016","3,430","2,274","5,211",39,"10,954","122,970"
Shelby,"1,711","3,452","2,548",9,"7,720",56,63,118,1,238,"7,958"
Sioux,"1,612","14,378","3,993",32,"20,015",111,473,398,3,985,"21,000"
Story,"15,727","15,913","22,081",440,"54,161","2,206","1,507","3,337",63,"7,113","61,274"
Tama,"3,066","3,224","4,739",15,"11,044",159,123,373,0,655,"11,699"
Taylor,688,"1,784","1,241",8,"3,721",79,106,236,0,421,"4,142"
Union,"1,627","2,677","3,250",13,"7,567",79,92,239,0,410,"7,977"
Van Buren,978,"2,081","1,600",23,"4,682",67,103,186,0,356,"5,038"
Wapello,"8,446","4,985","7,186",47,"20,664",698,341,851,3,"1,893","22,557"
Warren,"9,203","10,745","11,376",92,"31,416",590,574,"1,022",8,"2,194","33,610"
Washington,"2,860","5,542","5,465",53,"13,920",159,203,412,2,776,"14,696"
Wayne,919,"1,330","1,187",3,"3,439",57,80,87,0,224,"3,663"
Webster,"8,108","6,405","8,640",62,"23,215",664,438,"1,056",6,"2,164","25,379"
Winnebago,"1,440","2,804","2,844",10,"7,098",156,128,284,0,568,"7,666"
Winneshiek,"3,494","4,247","5,361",27,"13,129",203,110,293,0,606,"13,735"
Woodbury,"17,556","18,634","19,515",175,"55,880","1,595","1,126","2,070",19,"4,810","60,690"
Worth,"1,427","1,692","2,082",5,"5,206",119,76,252,2,449,"5,655"
Wright,"1,814","3,383","2,628",13,"7,838",146,217,297,1,661,"8,499"
Totals,"584,111","612,112","726,819","7,555","1,930,597","49,265","35,584","74,172",680,"159,701","2,090,298"
