State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,194","12,130","5,864",26,"21,214",279,563,592,5,"1,439","22,653"
State Representative District 002,"5,069","7,301","7,371",38,"19,779",439,454,871,2,"1,766","21,545"
State Representative District 003,"3,305","10,113","6,082",39,"19,539",285,518,810,6,"1,619","21,158"
State Representative District 004,"1,608","13,589","3,192",19,"18,408",125,558,419,3,"1,105","19,513"
State Representative District 005,"3,853","9,304","6,415",34,"19,606",378,580,760,4,"1,722","21,328"
State Representative District 006,"5,127","7,407","6,133",51,"18,718",480,467,709,4,"1,660","20,378"
State Representative District 007,"5,224","6,550","7,935",25,"19,734",502,437,"1,107",1,"2,047","21,781"
State Representative District 008,"4,547","8,161","6,916",24,"19,648",303,403,704,3,"1,413","21,061"
State Representative District 009,"6,662","5,034","6,393",47,"18,136",690,439,"1,013",7,"2,149","20,285"
State Representative District 010,"4,119","7,604","7,827",30,"19,580",300,330,733,6,"1,369","20,949"
State Representative District 011,"4,244","7,163","6,874",27,"18,308",296,358,551,2,"1,207","19,515"
State Representative District 012,"5,630","6,370","8,294",54,"20,348",325,329,821,5,"1,480","21,828"
State Representative District 013,"5,368","4,902","5,054",59,"15,383",655,455,790,12,"1,912","17,295"
State Representative District 014,"5,938","4,102","4,710",44,"14,794",609,362,670,8,"1,649","16,443"
State Representative District 015,"5,256","4,158","5,673",95,"15,182",895,559,"1,098",17,"2,569","17,751"
State Representative District 016,"4,925","5,488","5,564",96,"16,073",862,673,"1,353",18,"2,906","18,979"
State Representative District 017,"4,594","7,610","6,366",38,"18,608",273,380,620,2,"1,275","19,883"
State Representative District 018,"4,429","7,145","5,657",23,"17,254",219,247,402,1,869,"18,123"
State Representative District 019,"5,118","9,403","8,593",79,"23,193",337,599,923,9,"1,868","25,061"
State Representative District 020,"4,575","6,584","7,312",50,"18,521",380,365,831,0,"1,576","20,097"
State Representative District 021,"3,774","8,317","7,126",26,"19,243",293,479,820,0,"1,592","20,835"
State Representative District 022,"4,615","10,174","6,478",64,"21,331",379,607,702,5,"1,693","23,024"
State Representative District 023,"3,844","9,597","6,036",45,"19,522",467,697,979,5,"2,148","21,670"
State Representative District 024,"3,342","8,593","5,786",27,"17,748",334,532,939,5,"1,810","19,558"
State Representative District 025,"5,672","8,305","7,353",48,"21,378",389,473,744,6,"1,612","22,990"
State Representative District 026,"6,441","7,176","6,652",47,"20,316",491,470,789,6,"1,756","22,072"
State Representative District 027,"4,750","6,322","5,819",28,"16,919",349,401,712,3,"1,465","18,384"
State Representative District 028,"5,191","7,117","6,904",27,"19,239",328,393,671,8,"1,400","20,639"
State Representative District 029,"7,131","5,718","6,961",38,"19,848",528,419,911,3,"1,861","21,709"
State Representative District 030,"6,815","7,576","7,032",116,"21,539",261,254,354,1,870,"22,409"
State Representative District 031,"7,570","4,547","5,517",89,"17,723",286,174,347,3,810,"18,533"
State Representative District 032,"7,681","2,564","4,403",97,"14,745",470,137,380,7,994,"15,739"
State Representative District 033,"7,909","3,081","4,626",77,"15,693",732,252,629,11,"1,624","17,317"
State Representative District 034,"8,564","3,469","4,937",106,"17,076",929,343,744,13,"2,029","19,105"
State Representative District 035,"7,646","2,118","3,814",78,"13,656",605,152,456,5,"1,218","14,874"
State Representative District 036,"9,678","4,960","5,593",116,"20,347",386,211,349,2,948,"21,295"
State Representative District 037,"6,537","9,730","7,746",128,"24,141",259,353,423,11,"1,046","25,187"
State Representative District 038,"6,671","6,826","6,532",109,"20,138",318,317,446,5,"1,086","21,224"
