State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,075","11,946","6,053",28,"21,102",243,476,521,2,"1,242","22,344"
State Representative District 002,"5,077","6,936","7,677",38,"19,728",389,388,793,1,"1,571","21,299"
State Representative District 003,"3,309","9,903","6,341",41,"19,594",249,441,727,4,"1,421","21,015"
State Representative District 004,"1,438","13,013","3,407",23,"17,881",106,461,378,3,948,"18,829"
State Representative District 005,"3,820","8,988","6,659",37,"19,504",330,505,717,4,"1,556","21,060"
State Representative District 006,"5,137","7,173","6,379",52,"18,741",411,367,612,2,"1,392","20,133"
State Representative District 007,"5,306","6,311","8,206",24,"19,847",436,364,989,1,"1,790","21,637"
State Representative District 008,"4,503","8,043","7,119",23,"19,688",314,377,686,2,"1,379","21,067"
State Representative District 009,"6,709","4,771","6,557",47,"18,084",614,371,910,5,"1,900","19,984"
State Representative District 010,"4,092","7,377","8,025",39,"19,533",275,298,705,6,"1,284","20,817"
State Representative District 011,"4,122","6,980","7,184",26,"18,312",251,300,467,2,"1,020","19,332"
State Representative District 012,"5,627","6,105","8,626",62,"20,420",273,268,725,4,"1,270","21,690"
State Representative District 013,"5,180","4,729","5,234",58,"15,201",598,397,721,11,"1,727","16,928"
State Representative District 014,"5,842","3,991","4,897",50,"14,780",556,302,594,6,"1,458","16,238"
State Representative District 015,"5,249","4,053","5,752",82,"15,136",789,466,991,12,"2,258","17,394"
State Representative District 016,"4,780","5,340","5,796",85,"16,001",794,602,"1,250",15,"2,661","18,662"
State Representative District 017,"4,654","7,395","6,644",41,"18,734",239,300,558,1,"1,098","19,832"
State Representative District 018,"4,366","7,009","5,797",29,"17,201",198,167,338,2,705,"17,906"
State Representative District 019,"4,728","8,686","9,205",79,"22,698",262,462,746,7,"1,477","24,175"
State Representative District 020,"4,556","6,402","7,652",55,"18,665",306,295,716,0,"1,317","19,982"
State Representative District 021,"3,716","8,249","7,336",29,"19,330",245,391,715,0,"1,351","20,681"
State Representative District 022,"4,459","9,990","6,644",59,"21,152",331,515,603,4,"1,453","22,605"
State Representative District 023,"3,706","9,402","6,204",36,"19,348",417,641,925,5,"1,988","21,336"
State Representative District 024,"3,274","8,389","5,913",24,"17,600",311,468,900,5,"1,684","19,284"
State Representative District 025,"5,527","7,721","7,691",52,"20,991",358,422,704,5,"1,489","22,480"
State Representative District 026,"6,265","6,682","7,093",50,"20,090",406,388,704,3,"1,501","21,591"
State Representative District 027,"4,650","6,013","6,140",28,"16,831",290,328,601,1,"1,220","18,051"
State Representative District 028,"5,160","6,853","7,132",32,"19,177",302,335,578,4,"1,219","20,396"
State Representative District 029,"7,107","5,463","7,225",35,"19,830",440,323,783,3,"1,549","21,379"
State Representative District 030,"6,496","7,221","7,182",114,"21,013",240,245,326,1,812,"21,825"
State Representative District 031,"7,304","4,419","5,606",87,"17,416",302,180,359,2,843,"18,259"
State Representative District 032,"7,319","2,533","4,472",89,"14,413",495,144,396,7,"1,042","15,455"
State Representative District 033,"7,863","3,042","4,900",84,"15,889",470,192,442,7,"1,111","17,000"
State Representative District 034,"8,228","3,422","5,411",111,"17,172",704,257,574,6,"1,541","18,713"
State Representative District 035,"7,126","2,143","4,149",87,"13,505",500,131,402,6,"1,039","14,544"
State Representative District 036,"8,943","4,923","5,939",128,"19,933",412,227,383,3,"1,025","20,958"
State Representative District 037,"5,815","9,374","7,833",129,"23,151",275,371,446,12,"1,104","24,255"
State Representative District 038,"6,303","6,796","6,681",102,"19,882",270,295,398,4,967,"20,849"
State Representative District 039,"5,742","9,113","7,945",110,"22,910",276,375,430,4,"1,085","23,995"
State Representative District 040,"6,306","7,479","6,249",93,"20,127",287,315,349,4,955,"21,082"
State Representative District 041,"9,667","4,782","5,410",147,"20,006",632,316,629,14,"1,591","21,597"
State Representative District 042,"6,248","7,091","6,529",124,"19,992",461,472,653,9,"1,595","21,587"
State Representative District 043,"6,682","7,493","5,897",85,"20,157",441,393,495,3,"1,332","21,489"
State Representative District 044,"4,695","8,362","9,682",86,"22,825",575,898,"1,316",4,"2,793","25,618"
State Representative District 045,"5,558","4,456","6,933",159,"17,106","1,262",748,"1,809",25,"3,844","20,950"
State Representative District 046,"5,284","4,656","7,072",143,"17,155",765,580,"1,177",31,"2,553","19,708"
State Representative District 047,"5,751","6,243","7,836",54,"19,884",324,357,765,3,"1,449","21,333"
State Representative District 048,"5,364","6,849","7,810",65,"20,088",285,326,583,3,"1,197","21,285"
State Representative District 049,"4,461","7,153","7,872",84,"19,570",240,262,487,9,998,"20,568"
State Representative District 050,"3,753","8,772","7,130",38,"19,693",301,322,633,4,"1,260","20,953"
State Representative District 051,"5,148","6,031","8,039",19,"19,237",351,276,757,3,"1,387","20,624"
State Representative District 052,"6,054","5,070","8,860",28,"20,012",310,224,639,4,"1,177","21,189"
