State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,108","12,870",77,"5,831",10,"21,896",236,458,4,554,4,"1,256","23,152"
State Representative District 002,"4,427","8,535",90,"7,137",15,"20,204",264,341,3,629,1,"1,238","21,442"
State Representative District 003,"2,884","11,062",74,"5,826",19,"19,865",176,303,6,485,1,971,"20,836"
State Representative District 004,"1,608","14,081",45,"3,604",16,"19,354",113,420,6,291,3,833,"20,187"
State Representative District 005,"3,744","9,980",84,"6,581",27,"20,416",173,370,4,413,1,961,"21,377"
State Representative District 006,"5,238","7,793",127,"6,617",27,"19,802",396,417,9,603,2,"1,427","21,229"
State Representative District 007,"4,987","6,642",68,"8,350",13,"20,060",346,350,3,845,1,"1,545","21,605"
State Representative District 008,"4,361","8,247",72,"6,938",19,"19,637",225,276,6,555,1,"1,063","20,700"
State Representative District 009,"6,308","5,436",110,"7,151",45,"19,050",438,234,3,696,3,"1,374","20,424"
State Representative District 010,"3,969","8,122",98,"7,578",12,"19,779",213,265,8,546,2,"1,034","20,813"
State Representative District 011,"4,142","7,341",65,"6,686",31,"18,265",390,329,3,703,0,"1,425","19,690"
State Representative District 012,"5,123","7,041",88,"8,156",22,"20,430",189,195,9,404,0,797,"21,227"
State Representative District 013,"5,452","4,972",106,"5,411",22,"15,963",547,441,14,781,4,"1,787","17,750"
State Representative District 014,"5,835","4,203",101,"4,999",24,"15,162",592,311,7,608,2,"1,520","16,682"
State Representative District 015,"5,339","4,509",169,"6,316",56,"16,389",925,596,24,"1,210",3,"2,758","19,147"
State Representative District 016,"5,076","5,729",181,"6,153",41,"17,180","1,023",821,26,"1,672",16,"3,558","20,738"
State Representative District 017,"4,286","7,992",111,"6,603",24,"19,016",150,232,3,372,4,761,"19,777"
State Representative District 018,"4,364","7,404",63,"6,220",14,"18,065",215,257,4,420,0,896,"18,961"
State Representative District 019,"6,008","10,159",198,"10,037",19,"26,421",215,458,10,683,2,"1,368","27,789"
State Representative District 020,"4,653","6,730",120,"7,616",20,"19,139",239,256,3,579,1,"1,078","20,217"
State Representative District 021,"3,761","8,379",81,"7,159",14,"19,394",267,426,1,818,1,"1,513","20,907"
State Representative District 022,"4,796","10,368",140,"7,050",30,"22,384",429,646,13,770,3,"1,861","24,245"
State Representative District 023,"3,805","10,007",128,"5,985",32,"19,957",224,341,6,460,3,"1,034","20,991"
State Representative District 024,"3,350","9,260",84,"5,532",13,"18,239",200,387,8,551,0,"1,146","19,385"
State Representative District 025,"5,919","8,677",147,"8,116",24,"22,883",306,459,10,651,2,"1,428","24,311"
State Representative District 026,"6,612","7,119",140,"7,514",14,"21,399",333,367,6,644,2,"1,352","22,751"
State Representative District 027,"4,518","6,715",81,"6,065",15,"17,394",303,334,8,592,2,"1,239","18,633"
State Representative District 028,"4,969","7,428",74,"7,110",18,"19,599",229,280,4,526,1,"1,040","20,639"
State Representative District 029,"7,252","5,827",92,"7,568",20,"20,759",316,239,2,524,1,"1,082","21,841"
State Representative District 030,"7,380","8,199",223,"7,939",33,"23,774",257,286,11,435,0,989,"24,763"
State Representative District 031,"7,747","4,635",146,"5,637",32,"18,197",355,208,6,399,3,971,"19,168"
State Representative District 032,"8,031","2,560",150,"4,727",38,"15,506",522,131,13,401,3,"1,070","16,576"
State Representative District 033,"8,476","3,183",158,"5,241",43,"17,101",578,210,11,456,2,"1,257","18,358"
State Representative District 034,"9,542","3,464",183,"5,501",39,"18,729",880,307,17,707,5,"1,916","20,645"
State Representative District 035,"7,602","2,032",141,"4,055",48,"13,878",659,165,9,527,6,"1,366","15,244"
State Representative District 036,"10,061","4,342",192,"5,842",45,"20,482",543,264,7,413,2,"1,229","21,711"
State Representative District 037,"7,721","10,574",263,"9,431",28,"28,017",322,527,21,534,3,"1,407","29,424"
State Representative District 038,"7,224","7,492",199,"7,475",29,"22,419",353,373,19,445,7,"1,197","23,616"
State Representative District 039,"7,428","9,761",221,"8,940",25,"26,375",376,548,18,581,6,"1,529","27,904"
State Representative District 040,"7,361","7,102",183,"6,127",25,"20,798",364,327,11,405,2,"1,109","21,907"
State Representative District 041,"11,978","4,088",185,"4,639",37,"20,927",950,373,27,769,11,"2,130","23,057"
State Representative District 042,"7,610","6,818",209,"6,240",43,"20,920",511,478,13,619,0,"1,621","22,541"
State Representative District 043,"7,970","6,857",146,"5,739",35,"20,747",493,413,7,549,3,"1,465","22,212"
State Representative District 044,"7,643","10,072",270,"11,296",28,"29,309",545,890,22,"1,205",4,"2,666","31,975"
State Representative District 045,"7,806","4,903",272,"7,525",61,"20,567","1,003",634,38,"1,378",12,"3,065","23,632"
State Representative District 046,"7,360","5,391",228,"7,806",58,"20,843","1,120",772,48,"1,641",17,"3,598","24,441"
State Representative District 047,"5,834","6,954",151,"7,684",17,"20,640",283,337,11,705,0,"1,336","21,976"
State Representative District 048,"5,388","7,623",113,"7,710",31,"20,865",219,283,6,522,1,"1,031","21,896"
State Representative District 049,"4,920","7,631",189,"7,851",37,"20,628",270,312,13,501,0,"1,096","21,724"
State Representative District 050,"3,927","8,954",88,"6,972",13,"19,954",165,327,4,474,2,972,"20,926"
State Representative District 051,"4,930","6,514",62,"8,185",9,"19,700",292,248,2,663,0,"1,205","20,905"
State Representative District 052,"5,610","5,434",56,"8,695",23,"19,818",329,242,8,685,1,"1,265","21,083"
State Representative District 053,"6,412","4,560",64,"8,683",18,"19,737",367,247,3,740,4,"1,361","21,098"
State Representative District 054,"3,986","8,369",77,"7,392",11,"19,835",194,284,0,476,1,955,"20,790"
State Representative District 055,"5,881","6,520",63,"7,143",29,"19,636",396,212,6,620,5,"1,239","20,875"
State Representative District 056,"4,799","7,251",74,"7,147",17,"19,288",310,283,4,603,2,"1,202","20,490"
State Representative District 057,"7,950","6,708",114,"8,382",18,"23,172",196,204,1,378,1,780,"23,952"
State Representative District 058,"6,704","5,288",46,"9,324",11,"21,373",257,200,5,584,1,"1,047","22,420"
State Representative District 059,"6,471","5,346",199,"7,763",37,"19,816",636,459,17,"1,111",6,"2,229","22,045"
State Representative District 060,"6,773","7,163",147,"7,716",33,"21,832",491,505,10,709,6,"1,721","23,553"
State Representative District 061,"7,008","3,941",148,"6,391",38,"17,526",582,227,11,583,5,"1,408","18,934"
State Representative District 062,"8,282","2,509",150,"5,736",46,"16,723",673,166,6,572,1,"1,418","18,141"
