State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 063,"5,067","6,579",115,"9,000",12,"20,773",285,269,6,639,3,"1,202","21,975"
State Representative District 064,"5,224","4,673",71,"8,391",13,"18,372",219,133,5,592,1,950,"19,322"
State Representative District 065,"9,057","4,005",202,"6,115",58,"19,437",677,260,23,662,7,"1,629","21,066"
State Representative District 066,"7,472","5,574",182,"7,105",47,"20,380",481,293,13,547,5,"1,339","21,719"
State Representative District 067,"6,621","7,252",195,"8,382",33,"22,483",347,413,11,625,2,"1,398","23,881"
State Representative District 068,"7,106","6,233",214,"8,418",45,"22,016",365,316,16,583,4,"1,284","23,300"
State Representative District 069,"7,650","4,230",206,"7,703",59,"19,848",574,245,18,672,4,"1,513","21,361"
State Representative District 070,"8,287","4,737",211,"7,378",38,"20,651",526,271,13,579,7,"1,396","22,047"
State Representative District 071,"5,577","4,809",103,"5,986",27,"16,502",389,257,6,643,0,"1,295","17,797"
State Representative District 072,"5,087","6,507",91,"8,202",18,"19,905",237,199,3,535,0,974,"20,879"
State Representative District 073,"6,537","6,248",107,"7,941",25,"20,858",252,208,7,438,5,910,"21,768"
State Representative District 074,"10,023","3,819",158,"6,193",39,"20,232","1,218",465,24,"1,024",10,"2,741","22,973"
State Representative District 075,"4,668","6,762",98,"8,687",18,"20,233",229,245,7,542,2,"1,025","21,258"
State Representative District 076,"6,091","6,801",104,"8,583",22,"21,601",770,276,7,873,4,"1,930","23,531"
State Representative District 077,"8,697","5,801",169,"8,636",30,"23,333",743,600,18,968,4,"2,333","25,666"
State Representative District 078,"4,667","7,558",104,"6,981",27,"19,337",255,292,5,574,1,"1,127","20,464"
State Representative District 079,"3,344","10,205",114,"6,047",15,"19,725",364,529,10,721,1,"1,625","21,350"
State Representative District 080,"5,182","7,216",79,"6,512",16,"19,005",349,330,7,712,2,"1,400","20,405"
State Representative District 081,"6,979","4,372",55,"5,581",27,"17,014",522,282,3,757,1,"1,565","18,579"
State Representative District 082,"6,603","6,412",100,"5,704",38,"18,857",433,286,13,629,12,"1,373","20,230"
State Representative District 083,"7,586","3,588",109,"6,689",18,"17,990",559,266,10,920,2,"1,757","19,747"
State Representative District 084,"4,308","7,210",92,"7,090",15,"18,715",328,357,6,773,2,"1,466","20,181"
State Representative District 085,"12,719","3,754",201,"7,098",59,"23,831","2,452","1,161",53,"2,873",18,"6,557","30,388"
State Representative District 086,"10,422","3,008",194,"6,292",55,"19,971","2,127",827,39,"2,286",19,"5,298","25,269"
State Representative District 087,"8,078","4,297",122,"6,551",31,"19,079",710,302,10,868,5,"1,895","20,974"
State Representative District 088,"5,526","6,340",69,"7,450",19,"19,404",261,260,4,554,3,"1,082","20,486"
State Representative District 089,"7,175","4,499",128,"8,600",40,"20,442",688,349,10,864,4,"1,915","22,357"
State Representative District 090,"7,172","2,805",150,"7,520",44,"17,691","1,156",366,27,"1,337",8,"2,894","20,585"
State Representative District 091,"5,756","5,819",82,"7,432",37,"19,126",493,363,8,824,0,"1,688","20,814"
State Representative District 092,"5,808","5,956",118,"8,854",31,"20,767",509,388,6,841,7,"1,751","22,518"
State Representative District 093,"7,101","6,052",145,"8,363",35,"21,696",762,571,26,"1,175",6,"2,540","24,236"
State Representative District 094,"6,374","8,759",143,"9,974",22,"25,272",595,776,20,"1,076",3,"2,470","27,742"
State Representative District 095,"6,404","6,452",140,"8,447",24,"21,467",289,220,6,459,1,975,"22,442"
State Representative District 096,"4,204","6,565",64,"8,154",14,"19,001",180,180,4,493,2,859,"19,860"
State Representative District 097,"5,518","6,951",100,"9,495",21,"22,085",281,334,3,620,1,"1,239","23,324"
State Representative District 098,"6,180","4,116",64,"8,121",22,"18,503",512,197,6,820,7,"1,542","20,045"
State Representative District 099,"9,407","5,081",151,"6,879",31,"21,549",660,371,13,719,7,"1,770","23,319"
State Representative District 100,"8,044","4,033",144,"6,488",43,"18,752",753,361,15,830,11,"1,970","20,722"
Totals,"627,430","649,944","13,018","719,885","2,859","2,013,136","47,713","36,069","1,099","71,622",369,"156,872","2,170,008"
