State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,074","11,978","6,189",30,"21,271",236,460,509,2,"1,207","22,478"
State Representative District 002,"5,049","6,960","7,815",42,"19,866",386,379,773,1,"1,539","21,405"
State Representative District 003,"3,293","9,918","6,429",42,"19,682",244,425,706,4,"1,379","21,061"
State Representative District 004,"1,446","13,070","3,484",26,"18,026",103,450,367,3,923,"18,949"
State Representative District 005,"3,843","9,048","6,749",40,"19,680",327,492,696,3,"1,518","21,198"
State Representative District 006,"5,128","7,191","6,519",53,"18,891",399,352,598,2,"1,351","20,242"
State Representative District 007,"5,269","6,323","8,307",26,"19,925",425,355,948,1,"1,729","21,654"
State Representative District 008,"4,483","8,007","7,194",28,"19,712",303,362,670,2,"1,337","21,049"
State Representative District 009,"6,696","4,788","6,634",48,"18,166",606,367,898,5,"1,876","20,042"
State Representative District 010,"4,059","7,364","8,117",38,"19,578",267,292,687,6,"1,252","20,830"
State Representative District 011,"4,140","6,969","7,272",28,"18,409",246,299,463,2,"1,010","19,419"
State Representative District 012,"5,583","6,144","8,716",61,"20,504",264,264,701,4,"1,233","21,737"
State Representative District 013,"5,171","4,733","5,329",62,"15,295",585,378,710,10,"1,683","16,978"
State Representative District 014,"5,837","4,000","4,977",49,"14,863",546,296,579,6,"1,427","16,290"
State Representative District 015,"5,281","4,099","5,902",95,"15,377",773,453,967,10,"2,203","17,580"
State Representative District 016,"4,834","5,357","5,898",98,"16,187",772,588,"1,230",15,"2,605","18,792"
State Representative District 017,"4,638","7,387","6,733",43,"18,801",227,294,544,1,"1,066","19,867"
State Representative District 018,"4,342","6,988","5,888",28,"17,246",191,166,336,2,695,"17,941"
State Representative District 019,"4,784","8,789","9,492",86,"23,151",258,454,724,8,"1,444","24,595"
State Representative District 020,"4,531","6,377","7,779",54,"18,741",294,283,699,0,"1,276","20,017"
State Representative District 021,"3,708","8,230","7,449",29,"19,416",237,379,698,0,"1,314","20,730"
State Representative District 022,"4,466","10,031","6,802",61,"21,360",324,492,586,4,"1,406","22,766"
State Representative District 023,"3,722","9,437","6,294",40,"19,493",408,634,910,4,"1,956","21,449"
State Representative District 024,"3,281","8,427","6,050",27,"17,785",307,460,877,5,"1,649","19,434"
State Representative District 025,"5,523","7,766","7,811",54,"21,154",345,414,680,5,"1,444","22,598"
State Representative District 026,"6,253","6,698","7,188",54,"20,193",396,380,686,3,"1,465","21,658"
State Representative District 027,"4,635","6,005","6,229",31,"16,900",281,321,586,1,"1,189","18,089"
State Representative District 028,"5,154","6,886","7,262",36,"19,338",293,332,567,4,"1,196","20,534"
State Representative District 029,"7,095","5,479","7,411",42,"20,027",429,311,749,3,"1,492","21,519"
State Representative District 030,"6,504","7,225","7,273",117,"21,119",271,273,372,1,917,"22,036"
State Representative District 031,"7,289","4,442","5,694",89,"17,514",295,179,354,2,830,"18,344"
State Representative District 032,"7,354","2,547","4,573",95,"14,569",483,139,391,7,"1,020","15,589"
State Representative District 033,"7,570","2,947","4,783",83,"15,383",775,282,680,11,"1,748","17,131"
State Representative District 034,"7,945","3,331","5,246",110,"16,632",984,371,803,13,"2,171","18,803"
State Representative District 035,"7,025","2,121","4,124",91,"13,361",619,155,483,6,"1,263","14,624"
State Representative District 036,"8,946","4,900","6,027",133,"20,006",401,221,374,2,998,"21,004"
State Representative District 037,"5,903","9,495","8,055",130,"23,583",269,369,439,12,"1,089","24,672"
State Representative District 038,"6,230","6,770","6,741",109,"19,850",337,333,472,4,"1,146","20,996"
State Representative District 039,"5,782","9,167","8,123",119,"23,191",270,364,423,4,"1,061","24,252"
State Representative District 040,"6,236","7,411","6,294",92,"20,033",355,379,414,5,"1,153","21,186"
State Representative District 041,"9,650","4,762","5,410",148,"19,970",736,326,707,17,"1,786","21,756"
State Representative District 042,"6,242","7,097","6,676",130,"20,145",449,472,634,9,"1,564","21,709"
State Representative District 043,"6,673","7,416","5,981",86,"20,156",479,422,532,4,"1,437","21,593"
State Representative District 044,"4,817","8,569","10,084",97,"23,567",555,872,"1,275",4,"2,706","26,273"
State Representative District 045,"5,691","4,476","7,019",172,"17,358","1,240",733,"1,772",26,"3,771","21,129"
State Representative District 046,"5,429","4,644","7,126",146,"17,345",753,560,"1,158",31,"2,502","19,847"
State Representative District 047,"5,732","6,272","7,960",58,"20,022",311,350,751,3,"1,415","21,437"
State Representative District 048,"5,356","6,881","7,890",73,"20,200",274,319,567,3,"1,163","21,363"
State Representative District 049,"4,447","7,198","7,945",101,"19,691",238,255,474,9,976,"20,667"
State Representative District 050,"3,732","8,779","7,229",40,"19,780",299,332,643,4,"1,278","21,058"
State Representative District 051,"5,137","6,025","8,164",19,"19,345",342,272,744,3,"1,361","20,706"
State Representative District 052,"6,064","5,076","8,979",29,"20,148",306,220,629,4,"1,159","21,307"
State Representative District 053,"6,558","4,372","8,586",39,"19,555",463,259,838,3,"1,563","21,118"
State Representative District 054,"3,932","8,290","7,734",25,"19,981",225,246,525,2,998,"20,979"
State Representative District 055,"5,033","6,327","7,090",46,"18,496",321,191,440,4,956,"19,452"
State Representative District 056,"4,813","6,919","7,476",38,"19,246",246,234,481,2,963,"20,209"
State Representative District 057,"7,354","6,074","8,496",51,"21,975",217,197,384,2,800,"22,775"
State Representative District 058,"6,997","4,701","9,054",29,"20,781",350,211,688,4,"1,253","22,034"
State Representative District 059,"5,323","5,056","7,931",140,"18,450",529,341,805,18,"1,693","20,143"
State Representative District 060,"5,824","6,939","7,887",90,"20,740",393,314,573,10,"1,290","22,030"
State Representative District 061,"7,036","3,861","6,794",80,"17,771",396,185,484,4,"1,069","18,840"
State Representative District 062,"8,366","2,350","6,289",82,"17,087",582,124,470,4,"1,180","18,267"
State Representative District 063,"4,630","6,291","9,439",54,"20,414",253,217,559,4,"1,033","21,447"
State Representative District 064,"5,342","4,449","8,448",36,"18,275",244,153,583,3,983,"19,258"
State Representative District 065,"7,805","4,032","6,029",137,"18,003","1,032",358,966,13,"2,369","20,372"
State Representative District 066,"6,499","5,732","7,034",108,"19,373",722,383,849,12,"1,966","21,339"
State Representative District 067,"5,580","6,885","8,122",107,"20,694",489,489,811,6,"1,795","22,489"
State Representative District 068,"6,290","6,013","8,056",115,"20,474",538,458,820,18,"1,834","22,308"
State Representative District 069,"6,872","3,668","7,120",113,"17,773",924,360,"1,047",12,"2,343","20,116"
State Representative District 070,"7,605","4,651","7,298",95,"19,649",754,338,788,4,"1,884","21,533"
State Representative District 071,"5,210","4,910","6,534",31,"16,685",512,382,820,2,"1,716","18,401"
State Representative District 072,"5,178","6,143","8,272",36,"19,629",300,255,648,0,"1,203","20,832"
State Representative District 073,"6,129","5,879","7,780",60,"19,848",308,240,506,6,"1,060","20,908"
State Representative District 074,"8,284","3,993","6,030",115,"18,422","1,182",498,"1,147",15,"2,842","21,264"
State Representative District 075,"4,882","5,909","8,992",48,"19,831",311,218,700,3,"1,232","21,063"
State Representative District 076,"5,546","6,511","8,844",75,"20,976",644,288,731,5,"1,668","22,644"
State Representative District 077,"7,029","5,136","7,695",104,"19,964",996,650,"1,200",8,"2,854","22,818"
State Representative District 078,"4,626","7,158","7,249",57,"19,090",293,285,651,4,"1,233","20,323"
State Representative District 079,"3,486","9,090","6,582",69,"19,227",432,536,718,4,"1,690","20,917"
State Representative District 080,"5,646","6,386","6,813",39,"18,884",406,338,712,3,"1,459","20,343"
State Representative District 081,"7,316","4,099","5,867",35,"17,317",633,297,745,3,"1,678","18,995"
State Representative District 082,"5,845","6,341","6,030",100,"18,316",434,335,771,14,"1,554","19,870"
State Representative District 083,"8,009","3,155","6,715",47,"17,926",682,286,962,3,"1,933","19,859"
State Representative District 084,"4,256","7,004","7,303",36,"18,599",460,390,883,3,"1,736","20,335"
State Representative District 085,"10,571","3,809","8,501",239,"23,120","1,907",825,"2,111",41,"4,884","28,004"
State Representative District 086,"8,907","2,893","6,649",166,"18,615","1,694",769,"2,120",44,"4,627","23,242"
State Representative District 087,"8,332","3,897","6,517",59,"18,805",709,303,808,5,"1,825","20,630"
State Representative District 088,"5,557","5,937","7,130",40,"18,664",358,309,693,2,"1,362","20,026"
State Representative District 089,"6,979","4,436","8,539",86,"20,040",642,312,875,3,"1,832","21,872"
State Representative District 090,"7,488","2,663","7,247",122,"17,520",898,302,"1,070",8,"2,278","19,798"
State Representative District 091,"5,424","5,801","7,497",37,"18,759",538,492,"1,001",2,"2,033","20,792"
State Representative District 092,"5,693","5,743","8,720",91,"20,247",531,355,897,4,"1,787","22,034"
State Representative District 093,"6,603","6,082","8,155",111,"20,951",753,551,"1,102",12,"2,418","23,369"
State Representative District 094,"5,528","8,414","9,624",128,"23,694",531,622,986,9,"2,148","25,842"
State Representative District 095,"5,917","6,088","8,262",98,"20,365",495,296,731,11,"1,533","21,898"
State Representative District 096,"4,386","5,761","8,483",19,"18,649",161,183,429,1,774,"19,423"
State Representative District 097,"5,572","6,321","9,276",65,"21,234",326,264,661,5,"1,256","22,490"
State Representative District 098,"6,332","3,837","8,043",42,"18,254",818,272,"1,059",5,"2,154","20,408"
State Representative District 099,"8,560","4,924","7,181",90,"20,755",645,379,804,10,"1,838","22,593"
State Representative District 100,"7,691","3,600","6,308",82,"17,681",805,325,838,10,"1,978","19,659"
Totals,"583,913","610,530","721,036","7,330","1,922,809","49,595","35,945","74,725",670,"160,935","2,083,744"
