State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,086","12,339",43,"6,058",14,"21,540",234,462,4,536,3,"1,239","22,779"
State Representative District 002,"4,390","8,516",68,"7,048",11,"20,033",253,281,0,561,1,"1,096","21,129"
State Representative District 003,"2,939","11,029",51,"5,778",17,"19,814",158,260,3,424,1,846,"20,660"
State Representative District 004,"1,515","14,056",40,"3,538",15,"19,164",104,391,7,253,2,757,"19,921"
State Representative District 005,"3,730","9,857",60,"6,499",28,"20,174",175,338,2,395,1,911,"21,085"
State Representative District 006,"5,018","7,763",71,"6,478",26,"19,356",364,347,4,545,2,"1,262","20,618"
State Representative District 007,"5,049","6,621",51,"8,284",14,"20,019",330,308,1,797,1,"1,437","21,456"
State Representative District 008,"4,376","8,211",39,"7,066",18,"19,710",198,234,5,510,1,948,"20,658"
State Representative District 009,"6,271","5,107",69,"6,590",41,"18,078",466,261,3,735,1,"1,466","19,544"
State Representative District 010,"3,898","8,138",53,"7,818",11,"19,918",182,220,4,465,2,873,"20,791"
State Representative District 011,"4,121","7,205",46,"6,824",26,"18,222",350,313,3,672,0,"1,338","19,560"
State Representative District 012,"5,108","7,030",66,"8,164",21,"20,389",179,192,8,387,0,766,"21,155"
State Representative District 013,"5,309","5,091",70,"5,277",27,"15,774",527,395,10,705,3,"1,640","17,414"
State Representative District 014,"5,817","4,313",56,"4,878",20,"15,084",531,291,7,558,2,"1,389","16,473"
State Representative District 015,"5,321","4,399",131,"6,180",51,"16,082",853,519,16,"1,099",2,"2,489","18,571"
State Representative District 016,"5,071","5,791",146,"6,229",39,"17,276",809,655,13,"1,305",9,"2,791","20,067"
State Representative District 017,"4,388","7,963",60,"6,623",25,"19,059",136,178,2,333,1,650,"19,709"
State Representative District 018,"4,335","7,368",49,"6,245",11,"18,008",193,232,2,371,1,799,"18,807"
State Representative District 019,"5,370","9,935",123,"9,507",21,"24,956",194,370,6,583,1,"1,154","26,110"
State Representative District 020,"4,550","6,635",74,"7,523",19,"18,801",219,231,3,542,0,995,"19,796"
State Representative District 021,"3,698","8,394",55,"7,330",14,"19,491",230,355,2,721,0,"1,308","20,799"
State Representative District 022,"4,661","10,432",104,"6,958",25,"22,180",366,549,6,660,3,"1,584","23,764"
State Representative District 023,"3,691","9,842",82,"6,073",30,"19,718",147,208,2,336,1,694,"20,412"
State Representative District 024,"3,201","9,522",54,"5,402",13,"18,192",169,295,6,454,0,924,"19,116"
State Representative District 025,"5,640","8,573",89,"7,930",16,"22,248",282,342,6,548,2,"1,180","23,428"
State Representative District 026,"6,382","7,256",90,"7,396",16,"21,140",275,289,3,536,2,"1,105","22,245"
State Representative District 027,"4,598","6,571",58,"6,182",13,"17,422",284,278,6,527,1,"1,096","18,518"
State Representative District 028,"5,040","7,136",51,"7,222",18,"19,467",212,239,5,478,1,935,"20,402"
State Representative District 029,"7,345","5,667",58,"7,273",17,"20,360",280,205,2,480,1,968,"21,328"
State Representative District 030,"6,875","8,082",164,"7,626",34,"22,781",247,229,4,347,0,827,"23,608"
State Representative District 031,"7,632","4,771",127,"5,630",35,"18,195",297,173,5,330,2,807,"19,002"
State Representative District 032,"7,896","2,621",105,"4,606",37,"15,265",518,118,12,358,4,"1,010","16,275"
State Representative District 033,"8,119","3,185",100,"5,095",39,"16,538",559,198,9,424,2,"1,192","17,730"
State Representative District 034,"8,658","3,648",127,"5,314",44,"17,791",850,262,13,655,2,"1,782","19,573"
State Representative District 035,"7,516","2,170",95,"3,962",48,"13,791",650,167,8,520,3,"1,348","15,139"
State Representative District 036,"9,528","4,822",154,"5,884",53,"20,441",456,219,6,377,1,"1,059","21,500"
State Representative District 037,"6,913","10,720",220,"8,720",35,"26,608",258,409,14,434,2,"1,117","27,725"
State Representative District 038,"6,704","7,414",155,"6,994",29,"21,296",269,292,15,365,1,942,"22,238"
State Representative District 039,"6,755","9,959",169,"8,361",33,"25,277",275,382,9,438,1,"1,105","26,382"
State Representative District 040,"6,912","7,562",152,"6,060",24,"20,710",307,274,6,357,1,945,"21,655"
State Representative District 041,"11,080","4,609",152,"4,874",45,"20,760",852,307,13,701,11,"1,884","22,644"
State Representative District 042,"7,136","7,256",166,"6,348",40,"20,946",412,376,6,471,0,"1,265","22,211"
State Representative District 043,"7,259","7,289",103,"5,815",40,"20,506",441,345,6,470,2,"1,264","21,770"
State Representative District 044,"6,397","9,994",159,"10,675",25,"27,250",444,658,5,956,3,"2,066","29,316"
State Representative District 045,"7,226","5,179",217,"7,550",64,"20,236",809,506,28,"1,200",7,"2,550","22,786"
State Representative District 046,"6,758","5,626",189,"7,652",59,"20,284","1,113",793,38,"1,629",14,"3,587","23,871"
State Representative District 047,"5,668","6,906",87,"7,676",19,"20,356",265,284,6,639,0,"1,194","21,550"
State Representative District 048,"5,277","7,651",75,"7,423",29,"20,455",218,250,5,481,1,955,"21,410"
State Representative District 049,"4,694","7,581",132,"7,799",35,"20,241",236,284,10,441,0,971,"21,212"
State Representative District 050,"3,769","8,951",56,"7,054",13,"19,843",151,273,4,452,3,883,"20,726"
State Representative District 051,"4,952","6,521",26,"8,105",8,"19,612",261,214,3,579,0,"1,057","20,669"
State Representative District 052,"5,709","5,471",43,"8,615",17,"19,855",321,228,7,613,2,"1,171","21,026"
State Representative District 053,"6,409","4,665",39,"8,505",16,"19,634",334,189,2,636,3,"1,164","20,798"
State Representative District 054,"3,912","8,590",43,"7,327",11,"19,883",185,249,0,427,1,862,"20,745"
State Representative District 055,"5,519","6,608",50,"6,901",25,"19,103",365,181,4,563,4,"1,117","20,220"
State Representative District 056,"4,788","7,223",53,"7,029",12,"19,105",306,266,2,583,1,"1,158","20,263"
State Representative District 057,"7,780","6,619",75,"8,171",14,"22,659",169,165,0,325,1,660,"23,319"
State Representative District 058,"6,720","5,278",36,"8,990",13,"21,037",250,168,2,533,1,954,"21,991"
State Representative District 059,"6,112","5,570",127,"7,732",31,"19,572",562,370,20,980,5,"1,937","21,509"
State Representative District 060,"6,367","7,237",85,"7,622",37,"21,348",414,405,9,615,4,"1,447","22,795"
State Representative District 061,"6,991","3,995",78,"6,372",44,"17,480",510,201,13,500,5,"1,229","18,709"
State Representative District 062,"8,354","2,526",100,"5,832",49,"16,861",620,154,4,526,2,"1,306","18,167"
State Representative District 063,"4,918","6,719",68,"8,997",13,"20,715",251,227,6,569,1,"1,054","21,769"
State Representative District 064,"5,208","4,782",49,"8,348",14,"18,401",195,104,2,493,2,796,"19,197"
State Representative District 065,"8,636","4,103",142,"5,832",71,"18,784",607,222,12,607,3,"1,451","20,235"
State Representative District 066,"7,222","5,749",137,"6,867",51,"20,026",414,241,11,486,4,"1,156","21,182"
State Representative District 067,"6,177","7,295",135,"7,971",31,"21,609",314,333,6,546,1,"1,200","22,809"
State Representative District 068,"6,783","6,294",159,"8,041",44,"21,321",326,252,11,517,5,"1,111","22,432"
State Representative District 069,"7,319","4,178",156,"7,407",56,"19,116",512,189,12,578,3,"1,294","20,410"
State Representative District 070,"7,977","4,837",167,"7,283",41,"20,305",475,220,8,543,3,"1,249","21,554"
State Representative District 071,"5,432","4,930",45,"6,227",18,"16,652",309,206,4,526,0,"1,045","17,697"
State Representative District 072,"5,052","6,529",56,"8,138",16,"19,791",243,177,2,507,0,929,"20,720"
State Representative District 073,"6,251","6,323",82,"7,784",23,"20,463",243,186,8,407,5,849,"21,312"
State Representative District 074,"9,051","3,964",125,"5,740",40,"18,920","1,206",478,19,979,10,"2,692","21,612"
State Representative District 075,"4,630","6,888",66,"8,578",19,"20,181",209,220,4,525,0,958,"21,139"
State Representative District 076,"5,856","6,642",77,"8,298",16,"20,889",785,242,8,831,4,"1,870","22,759"
State Representative District 077,"8,132","5,911",142,"8,151",32,"22,368",694,507,9,888,3,"2,101","24,469"
State Representative District 078,"4,550","7,833",76,"6,776",29,"19,264",245,251,4,507,1,"1,008","20,272"
State Representative District 079,"3,359","10,119",77,"6,070",13,"19,638",363,487,7,667,0,"1,524","21,162"
