State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,089","12,835","5,895",83,"21,902",228,460,546,13,"1,247","23,149"
State Representative District 002,"4,292","8,369","7,249",109,"20,019",252,366,648,9,"1,275","21,294"
State Representative District 003,"2,788","10,806","5,935",97,"19,626",185,327,478,6,996,"20,622"
State Representative District 004,"1,648","14,018","3,830",61,"19,557",100,442,257,14,813,"20,370"
State Representative District 005,"3,632","9,914","6,749",118,"20,413",191,377,412,10,990,"21,403"
State Representative District 006,"5,122","7,689","6,953",142,"19,906",386,453,641,12,"1,492","21,398"
State Representative District 007,"4,780","6,578","8,418",89,"19,865",277,343,800,5,"1,425","21,290"
State Representative District 008,"4,196","8,053","6,989",91,"19,329",201,280,496,8,985,"20,314"
State Representative District 009,"5,982","5,278","7,127",154,"18,541",517,321,853,7,"1,698","20,239"
State Representative District 010,"3,779","8,033","7,682",117,"19,611",202,269,489,8,968,"20,579"
State Representative District 011,"4,088","7,213","6,807",110,"18,218",390,334,691,5,"1,420","19,638"
State Representative District 012,"4,896","7,040","8,299",117,"20,352",171,203,402,8,784,"21,136"
State Representative District 013,"5,292","4,814","5,675",134,"15,915",584,448,820,23,"1,875","17,790"
State Representative District 014,"5,685","4,111","5,257",123,"15,176",571,317,594,10,"1,492","16,668"
State Representative District 015,"5,253","4,471","6,422",244,"16,390",628,408,797,38,"1,871","18,261"
State Representative District 016,"5,108","5,740","6,453",263,"17,564",666,566,"1,084",47,"2,363","19,927"
State Representative District 017,"4,040","7,853","6,608",138,"18,639",187,301,461,11,960,"19,599"
State Representative District 018,"4,260","7,287","6,199",84,"17,830",188,250,417,5,860,"18,690"
State Representative District 019,"6,048","10,287","10,675",226,"27,236",186,401,604,8,"1,199","28,435"
State Representative District 020,"4,498","6,667","7,859",145,"19,169",194,274,529,9,"1,006","20,175"
State Representative District 021,"3,628","8,247","7,338",108,"19,321",256,405,787,6,"1,454","20,775"
State Representative District 022,"4,752","10,358","7,331",174,"22,615",296,457,544,16,"1,313","23,928"
State Representative District 023,"3,735","9,993","6,143",171,"20,042",207,318,458,12,995,"21,037"
State Representative District 024,"3,219","9,125","5,645",95,"18,084",212,397,568,8,"1,185","19,269"
State Representative District 025,"5,838","8,734","8,549",191,"23,312",292,439,634,16,"1,381","24,693"
State Representative District 026,"6,399","7,044","7,740",151,"21,334",361,345,620,16,"1,342","22,676"
State Representative District 027,"4,339","6,662","6,172",111,"17,284",314,305,567,13,"1,199","18,483"
State Representative District 028,"4,820","7,427","7,390",103,"19,740",211,263,464,5,943,"20,683"
State Representative District 029,"7,059","5,881","8,042",118,"21,100",247,194,428,2,871,"21,971"
