State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,096","12,383",48,"6,118",14,"21,659",227,431,3,520,3,"1,184","22,843"
State Representative District 002,"4,381","8,486",67,"7,172",10,"20,116",248,274,0,544,1,"1,067","21,183"
State Representative District 003,"2,918","11,005",52,"5,834",16,"19,825",167,272,3,430,1,873,"20,698"
State Representative District 004,"1,526","14,079",41,"3,599",15,"19,260",103,381,6,251,2,743,"20,003"
State Representative District 005,"3,718","9,877",63,"6,553",28,"20,239",174,330,2,392,1,899,"21,138"
State Representative District 006,"5,011","7,781",74,"6,564",26,"19,456",351,330,4,529,2,"1,216","20,672"
State Representative District 007,"5,024","6,632",48,"8,402",14,"20,120",328,299,1,781,1,"1,410","21,530"
State Representative District 008,"4,344","8,195",41,"7,122",19,"19,721",197,239,5,500,1,942,"20,663"
State Representative District 009,"6,255","5,125",72,"6,681",42,"18,175",457,255,3,728,1,"1,444","19,619"
State Representative District 010,"3,878","8,102",54,"7,880",13,"19,927",181,225,5,477,2,890,"20,817"
State Representative District 011,"4,130","7,211",49,"6,869",26,"18,285",341,306,3,663,0,"1,313","19,598"
State Representative District 012,"5,116","7,049",66,"8,237",22,"20,490",173,189,7,378,0,747,"21,237"
State Representative District 013,"5,326","5,063",71,"5,349",28,"15,837",511,387,10,694,3,"1,605","17,442"
State Representative District 014,"5,794","4,287",56,"4,955",19,"15,111",524,283,7,544,2,"1,360","16,471"
State Representative District 015,"5,340","4,419",138,"6,297",54,"16,248",842,516,15,"1,092",2,"2,467","18,715"
State Representative District 016,"4,974","5,757",151,"6,233",38,"17,153",854,715,14,"1,389",10,"2,982","20,135"
State Representative District 017,"4,366","7,949",62,"6,666",25,"19,068",130,167,2,324,1,624,"19,692"
State Representative District 018,"4,310","7,353",50,"6,329",11,"18,053",189,227,2,358,1,777,"18,830"
State Representative District 019,"5,401","9,989",127,"9,755",20,"25,292",190,355,6,561,1,"1,113","26,405"
State Representative District 020,"4,471","6,593",79,"7,652",22,"18,817",217,231,3,546,0,997,"19,814"
State Representative District 021,"3,637","8,350",56,"7,417",14,"19,474",242,379,2,767,0,"1,390","20,864"
State Representative District 022,"4,583","10,270",103,"6,880",23,"21,859",434,658,12,789,4,"1,897","23,756"
State Representative District 023,"3,682","9,859",86,"6,180",30,"19,837",146,192,2,325,1,666,"20,503"
State Representative District 024,"3,173","9,489",54,"5,474",13,"18,203",182,317,6,470,0,975,"19,178"
State Representative District 025,"5,584","8,546",90,"7,997",19,"22,236",287,373,6,573,2,"1,241","23,477"
State Representative District 026,"6,332","7,187",94,"7,467",17,"21,097",294,329,3,560,2,"1,188","22,285"
State Representative District 027,"4,560","6,574",59,"6,216",13,"17,422",283,272,6,533,1,"1,095","18,517"
State Representative District 028,"5,028","7,143",54,"7,339",17,"19,581",205,236,5,466,1,913,"20,494"
State Representative District 029,"7,316","5,691",61,"7,405",18,"20,491",266,202,2,466,1,937,"21,428"
State Representative District 030,"6,827","8,104",167,"7,768",34,"22,900",239,223,4,335,0,801,"23,701"
State Representative District 031,"7,581","4,754",121,"5,669",33,"18,158",287,170,5,324,2,788,"18,946"
State Representative District 032,"7,824","2,604",106,"4,674",37,"15,245",498,115,12,352,4,981,"16,226"
State Representative District 033,"8,076","3,178",100,"5,188",37,"16,579",537,191,9,414,2,"1,153","17,732"
State Representative District 034,"8,647","3,619",127,"5,418",45,"17,856",818,254,12,647,2,"1,733","19,589"
State Representative District 035,"7,462","2,149",94,"3,993",48,"13,746",629,162,8,498,3,"1,300","15,046"
State Representative District 036,"9,469","4,777",157,"5,982",55,"20,440",445,215,6,371,1,"1,038","21,478"
State Representative District 037,"6,925","10,715",226,"8,964",38,"26,868",251,397,14,421,1,"1,084","27,952"
State Representative District 038,"6,667","7,412",156,"7,121",31,"21,387",277,291,16,370,1,955,"22,342"
State Representative District 039,"6,617","9,773",168,"8,407",29,"24,994",392,570,17,605,4,"1,588","26,582"
State Representative District 040,"6,864","7,468",156,"6,142",25,"20,655",329,294,7,379,2,"1,011","21,666"
State Representative District 041,"11,076","4,555",152,"4,981",47,"20,811",835,302,13,686,11,"1,847","22,658"
State Representative District 042,"7,098","7,215",182,"6,453",38,"20,986",399,366,6,456,0,"1,227","22,213"
State Representative District 043,"7,244","7,265",102,"5,931",40,"20,582",433,337,6,461,2,"1,239","21,821"
State Representative District 044,"6,424","10,055",170,"11,031",26,"27,706",436,639,5,942,3,"2,025","29,731"
State Representative District 045,"7,254","5,150",219,"7,655",66,"20,344",811,506,26,"1,189",7,"2,539","22,883"
State Representative District 046,"6,791","5,619",192,"7,721",61,"20,384","1,103",787,37,"1,612",14,"3,553","23,937"
State Representative District 047,"5,652","6,954",87,"7,805",19,"20,517",264,282,6,631,0,"1,183","21,700"
State Representative District 048,"5,225","7,652",76,"7,537",30,"20,520",212,245,5,472,1,935,"21,455"
State Representative District 049,"4,681","7,598",140,"7,926",36,"20,381",231,273,10,434,0,948,"21,329"
State Representative District 050,"3,775","8,970",57,"7,197",13,"20,012",148,260,3,436,3,850,"20,862"
State Representative District 051,"4,944","6,522",27,"8,192",8,"19,693",257,212,3,570,0,"1,042","20,735"
State Representative District 052,"5,677","5,459",45,"8,673",19,"19,873",320,218,7,620,1,"1,166","21,039"
State Representative District 053,"6,391","4,645",39,"8,594",15,"19,684",327,183,2,624,3,"1,139","20,823"
State Representative District 054,"3,895","8,574",44,"7,390",10,"19,913",183,241,0,421,1,846,"20,759"
State Representative District 055,"5,502","6,594",49,"6,953",25,"19,123",364,183,4,557,4,"1,112","20,235"
State Representative District 056,"4,760","7,229",53,"7,095",12,"19,149",300,258,2,572,1,"1,133","20,282"
State Representative District 057,"7,730","6,621",79,"8,308",14,"22,752",166,160,0,308,1,635,"23,387"
State Representative District 058,"6,661","5,257",37,"9,091",13,"21,059",259,174,2,542,1,978,"22,037"
State Representative District 059,"6,072","5,511",126,"7,792",31,"19,532",559,359,19,970,5,"1,912","21,444"
State Representative District 060,"6,368","7,233",89,"7,745",38,"21,473",407,396,9,603,4,"1,419","22,892"
State Representative District 061,"6,952","4,012",80,"6,434",44,"17,522",498,196,13,496,5,"1,208","18,730"
State Representative District 062,"8,319","2,524",100,"5,880",47,"16,870",609,148,4,519,2,"1,282","18,152"
State Representative District 063,"4,893","6,701",68,"9,108",15,"20,785",247,223,6,562,1,"1,039","21,824"
State Representative District 064,"5,177","4,747",49,"8,420",13,"18,406",191,104,2,493,2,792,"19,198"
State Representative District 065,"8,653","4,083",149,"5,926",72,"18,883",598,218,12,590,3,"1,421","20,304"
State Representative District 066,"7,186","5,735",143,"6,980",52,"20,096",396,234,11,481,4,"1,126","21,222"
State Representative District 067,"6,205","7,346",142,"8,141",34,"21,868",311,327,6,533,1,"1,178","23,046"
State Representative District 068,"6,780","6,324",168,"8,182",44,"21,498",321,247,11,504,5,"1,088","22,586"
State Representative District 069,"7,344","4,184",162,"7,524",58,"19,272",505,184,12,561,3,"1,265","20,537"
State Representative District 070,"7,968","4,827",178,"7,380",41,"20,394",467,210,8,529,5,"1,219","21,613"
State Representative District 071,"5,390","4,915",47,"6,309",20,"16,681",304,199,4,512,0,"1,019","17,700"
State Representative District 072,"5,014","6,510",57,"8,276",17,"19,874",234,174,2,490,0,900,"20,774"
State Representative District 073,"6,243","6,312",86,"7,920",22,"20,583",239,183,7,398,5,832,"21,415"
State Representative District 074,"9,100","3,970",126,"5,939",44,"19,179","1,157",443,21,930,10,"2,561","21,740"
State Representative District 075,"4,606","6,868",71,"8,710",18,"20,273",199,214,4,510,0,927,"21,200"
State Representative District 076,"5,852","6,670",77,"8,429",16,"21,044",766,231,8,808,4,"1,817","22,861"
State Representative District 077,"8,146","5,916",147,"8,333",34,"22,576",676,489,9,861,3,"2,038","24,614"
State Representative District 078,"4,532","7,801",78,"6,904",28,"19,343",240,245,4,497,1,987,"20,330"
State Representative District 079,"3,346","10,115",77,"6,152",15,"19,705",352,467,6,649,0,"1,474","21,179"
State Representative District 080,"5,193","7,078",55,"6,660",16,"19,002",336,260,4,637,1,"1,238","20,240"
State Representative District 081,"6,959","4,422",49,"5,648",34,"17,112",492,234,1,675,0,"1,402","18,514"
State Representative District 082,"6,246","6,556",67,"5,785",58,"18,712",383,244,11,561,10,"1,209","19,921"
State Representative District 083,"7,705","3,518",75,"6,623",21,"17,942",528,247,9,838,1,"1,623","19,565"
State Representative District 084,"4,256","7,142",65,"7,137",14,"18,614",334,318,4,726,2,"1,384","19,998"
State Representative District 085,"12,317","3,915",185,"7,104",68,"23,589","2,130","1,065",42,"2,692",20,"5,949","29,538"
State Representative District 086,"9,884","3,114",153,"6,250",68,"19,469","1,877",740,28,"2,028",17,"4,690","24,159"
State Representative District 087,"8,093","4,276",87,"6,515",37,"19,008",654,264,6,752,4,"1,680","20,688"
State Representative District 088,"5,451","6,389",57,"7,315",16,"19,228",242,230,3,486,1,962,"20,190"
State Representative District 089,"7,061","4,571",103,"8,515",33,"20,283",591,289,6,752,4,"1,642","21,925"
State Representative District 090,"7,317","2,834",129,"7,553",46,"17,879",966,302,21,"1,131",4,"2,424","20,303"
State Representative District 091,"5,695","5,913",57,"7,342",33,"19,040",445,317,4,752,0,"1,518","20,558"
State Representative District 092,"5,790","6,053",105,"8,781",33,"20,762",398,303,4,686,4,"1,395","22,157"
State Representative District 093,"7,012","6,263",119,"8,317",38,"21,749",613,447,13,957,6,"2,036","23,785"
State Representative District 094,"6,036","8,888",132,"9,720",34,"24,810",512,608,18,912,1,"2,051","26,861"
State Representative District 095,"6,086","6,422",101,"8,287",23,"20,919",261,189,5,410,2,867,"21,786"
