State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,3106,13053,4328,96,20583,486,1208,1309,31,3034,23617
State Representative District 002,4163,8703,5352,116,18334,573,834,1722,40,3169,21503
State Representative District 003,2577,11149,4003,92,17821,501,998,1438,27,2964,20785
State Representative District 004,1740,13851,3077,66,18734,282,1161,783,24,2250,20984
State Representative District 005,3412,10171,4990,109,18682,556,982,1481,35,3054,21736
State Representative District 006,4871,8231,4918,142,18162,948,1015,1800,45,3808,21970
State Representative District 007,4564,7302,5974,100,17940,662,753,1980,27,3422,21362
State Representative District 008,3860,8628,5063,83,17634,529,720,1426,32,2707,20341
State Representative District 009,5300,5351,4832,131,15614,1170,796,2250,58,4274,19888
State Representative District 010,3466,8614,5727,107,17914,498,722,1515,34,2769,20683
State Representative District 011,3640,7304,4620,93,15657,896,833,1883,26,3638,19295
State Representative District 012,4548,7578,6198,100,18424,588,739,1680,31,3038,21462
State Representative District 013,4680,4921,3817,119,13537,1309,812,1886,51,4058,17595
State Representative District 014,5023,4166,3440,119,12748,1380,703,1879,31,3993,16741
State Representative District 015,4504,4257,4209,219,13189,1543,1121,2408,118,5190,18379
State Representative District 016,4924,5637,4485,198,15244,1129,1075,2084,94,4382,19626
State Representative District 017,3758,8760,4895,121,17534,547,744,1289,37,2617,20151
State Representative District 018,3911,7916,4648,90,16565,687,742,1315,41,2785,19350
State Representative District 019,7242,11044,9423,241,27950,539,853,1679,43,3114,31064
State Representative District 020,4388,6922,5881,115,17306,649,714,1802,38,3203,20509
State Representative District 021,3487,8659,5140,99,17385,503,858,1928,36,3325,20710
State Representative District 022,4918,10815,5494,149,21376,623,1013,1457,48,3141,24517
State Representative District 023,3497,10026,4132,160,17815,667,1264,1663,64,3658,21473
State Representative District 024,2855,9761,3818,110,16544,530,973,1454,30,2987,19531
State Representative District 025,6223,9620,7340,191,23374,629,846,1442,56,2973,26347
State Representative District 026,6400,7627,5987,153,20167,762,718,1491,41,3012,23179
State Representative District 027,3856,7209,4763,106,15934,735,773,1432,35,2975,18909
State Representative District 028,4515,8029,5606,125,18275,622,729,1477,21,2849,21124
State Representative District 029,6522,6255,5849,130,18756,928,614,1837,26,3405,22161
State Representative District 030,7694,8658,7396,230,23978,737,719,1358,55,2869,26847
State Representative District 031,7054,4661,4684,187,16586,1210,534,1446,38,3228,19814
State Representative District 032,7223,2381,3625,182,13411,1718,502,1575,55,3850,17261
State Representative District 033,8026,3158,4313,156,15653,1616,463,1482,64,3625,19278
State Representative District 034,8881,3336,4566,214,16997,1909,557,1708,84,4258,21255
State Representative District 035,6398,1773,3052,158,11381,2048,470,1467,78,4063,15444
State Representative District 036,10286,3827,4772,192,19077,1203,526,1176,53,2958,22035
State Representative District 037,9382,10937,9516,294,30129,817,1051,1472,61,3401,33530
State Representative District 038,7812,7826,6873,232,22743,846,762,1387,52,3047,25790
State Representative District 039,9245,9658,8595,247,27745,844,895,1427,46,3212,30957
State Representative District 040,7861,6470,5103,185,19619,781,588,1084,39,2492,22111
State Representative District 041,11735,3416,3812,177,19140,1799,542,1197,61,3599,22739
State Representative District 042,8091,6215,5607,192,20105,897,677,1226,73,2873,22978
State Representative District 043,8409,5968,4789,173,19339,909,610,1115,52,2686,22025
State Representative District 044,10536,11011,10684,292,32523,1076,1131,2275,83,4565,37088
State Representative District 045,8284,4367,6196,279,19126,2029,1105,2425,141,5700,24826
State Representative District 046,6885,3739,5140,159,15923,2031,1514,2908,111,6564,22487
State Representative District 047,5452,7180,5859,138,18629,693,746,1864,39,3342,21971
State Representative District 048,5244,8092,5800,148,19284,607,720,1608,35,2970,22254
State Representative District 049,5074,7691,6416,192,19373,569,724,1465,44,2802,22175
State Representative District 050,4013,9071,5150,107,18341,521,800,1550,24,2895,21236
State Representative District 051,4652,6885,6597,99,18233,562,577,1609,24,2772,21005
State Representative District 052,5021,5761,6494,96,17372,814,572,1972,32,3390,20762
State Representative District 053,6078,4469,6502,112,17161,926,520,2124,27,3597,20758
State Representative District 054,3857,8190,5665,102,17814,514,733,1564,27,2838,20652
State Representative District 055,5694,6655,5536,88,17973,892,547,1324,36,2799,20772
State Representative District 056,4464,7293,5458,98,17313,576,742,1484,30,2832,20145
State Representative District 057,7632,8117,6508,122,22379,644,623,1178,31,2476,24855
