State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,246","12,439","6,126",51,"21,862",240,493,536,4,"1,273","23,135"
State Representative District 002,"4,634","8,672","7,011",62,"20,379",377,385,779,3,"1,544","21,923"
State Representative District 003,"3,079","11,145","5,787",65,"20,076",245,439,690,4,"1,378","21,454"
State Representative District 004,"1,547","13,949","3,352",47,"18,895",106,460,352,2,920,"19,815"
State Representative District 005,"3,827","9,892","6,505",79,"20,303",321,494,677,4,"1,496","21,799"
State Representative District 006,"5,224","7,904","6,263",86,"19,477",427,382,633,4,"1,446","20,923"
State Representative District 007,"5,260","6,718","8,327",51,"20,356",455,362,957,1,"1,775","22,131"
State Representative District 008,"4,531","8,290","7,047",51,"19,919",280,361,652,7,"1,300","21,219"
State Representative District 009,"6,722","5,188","6,724",83,"18,717",599,382,907,6,"1,894","20,611"
State Representative District 010,"4,026","8,206","7,679",58,"19,969",265,302,670,6,"1,243","21,212"
State Representative District 011,"4,339","7,354","7,044",60,"18,797",257,320,504,2,"1,083","19,880"
State Representative District 012,"5,354","7,068","8,240",83,"20,745",281,286,744,5,"1,316","22,061"
State Representative District 013,"5,557","5,282","5,261",93,"16,193",607,403,737,10,"1,757","17,950"
State Representative District 014,"6,061","4,440","4,875",73,"15,449",560,317,623,9,"1,509","16,958"
State Representative District 015,"5,475","4,430","6,102",158,"16,165",820,501,993,14,"2,328","18,493"
State Representative District 016,"5,170","5,851","6,062",173,"17,256",813,620,"1,274",13,"2,720","19,976"
State Representative District 017,"4,555","8,063","6,498",73,"19,189",183,263,455,2,903,"20,092"
State Representative District 018,"4,447","7,414","5,953",54,"17,868",222,217,391,1,831,"18,699"
State Representative District 019,"5,446","9,836","9,067",112,"24,461",273,486,738,7,"1,504","25,965"
State Representative District 020,"4,711","6,699","7,535",84,"19,029",310,296,720,0,"1,326","20,355"
State Representative District 021,"3,852","8,596","7,330",54,"19,832",239,397,707,1,"1,344","21,176"
State Representative District 022,"4,753","10,447","6,836",112,"22,148",339,520,606,5,"1,470","23,618"
