State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,218","12,318","6,017",38,"21,591",254,513,558,4,"1,329","22,920"
State Representative District 002,"4,608","8,604","6,871",48,"20,131",394,407,811,3,"1,615","21,746"
State Representative District 003,"3,036","11,085","5,693",49,"19,863",256,455,728,6,"1,445","21,308"
State Representative District 004,"1,531","13,883","3,263",32,"18,709",110,481,374,2,967,"19,676"
State Representative District 005,"3,795","9,787","6,434",61,"20,077",329,513,707,4,"1,553","21,630"
State Representative District 006,"5,129","7,800","6,114",68,"19,111",440,395,651,3,"1,489","20,600"
State Representative District 007,"5,232","6,627","8,202",39,"20,100",458,374,990,1,"1,823","21,923"
State Representative District 008,"4,527","8,227","6,948",37,"19,739",294,379,686,5,"1,364","21,103"
State Representative District 009,"6,671","5,128","6,601",72,"18,472",625,395,936,6,"1,962","20,434"
State Representative District 010,"4,008","8,106","7,580",49,"19,743",281,316,704,6,"1,307","21,050"
State Representative District 011,"4,302","7,292","6,925",52,"18,571",270,339,520,2,"1,131","19,702"
State Representative District 012,"5,325","7,028","8,122",70,"20,545",301,299,774,6,"1,380","21,925"
State Representative District 013,"5,438","5,187","5,105",80,"15,810",626,418,759,12,"1,815","17,625"
State Representative District 014,"5,972","4,340","4,765",58,"15,135",576,323,637,7,"1,543","16,678"
State Representative District 015,"5,406","4,348","5,962",131,"15,847",837,518,"1,026",15,"2,396","18,243"
State Representative District 016,"5,033","5,688","5,805",139,"16,665",853,632,"1,318",14,"2,817","19,482"
State Representative District 017,"4,541","7,939","6,372",48,"18,900",192,277,475,2,946,"19,846"
State Representative District 018,"4,410","7,312","5,768",39,"17,529",233,234,419,1,887,"18,416"
State Representative District 019,"5,273","9,674","8,984",97,"24,028",294,523,797,8,"1,622","25,650"
State Representative District 020,"4,627","6,625","7,510",71,"18,833",334,321,766,0,"1,421","20,254"
State Representative District 021,"3,833","8,507","7,188",42,"19,570",257,421,737,0,"1,415","20,985"
State Representative District 022,"4,707","10,345","6,702",94,"21,848",353,536,632,5,"1,526","23,374"
State Representative District 023,"3,827","9,915","6,052",79,"19,873",425,651,947,5,"2,028","21,901"
State Representative District 024,"3,255","9,548","5,300",45,"18,148",306,481,868,6,"1,661","19,809"
State Representative District 025,"5,730","8,419","7,528",70,"21,747",378,465,748,6,"1,597","23,344"
State Representative District 026,"6,544","7,254","6,913",79,"20,790",416,405,697,4,"1,522","22,312"
State Representative District 027,"4,777","6,492","5,914",48,"17,231",294,348,634,2,"1,278","18,509"
State Representative District 028,"5,265","7,138","7,126",42,"19,571",296,346,590,3,"1,235","20,806"
State Representative District 029,"7,628","5,690","7,018",53,"20,389",458,348,793,4,"1,603","21,992"
State Representative District 030,"6,896","7,900","7,139",141,"22,076",286,316,412,3,"1,017","23,093"
State Representative District 031,"7,675","4,694","5,270",117,"17,756",386,221,444,3,"1,054","18,810"
State Representative District 032,"7,830","2,612","4,314",129,"14,885",573,169,456,12,"1,210","16,095"
State Representative District 033,"7,996","3,121","4,731",104,"15,952",721,276,627,11,"1,635","17,587"
State Representative District 034,"8,774","3,638","4,942",136,"17,490",937,350,774,16,"2,077","19,567"
State Representative District 035,"7,650","2,189","3,874",106,"13,819",634,169,466,6,"1,275","15,094"
State Representative District 036,"9,751","4,913","5,527",152,"20,343",490,272,426,6,"1,194","21,537"
State Representative District 037,"6,738","10,320","7,904",181,"25,143",326,510,530,15,"1,381","26,524"
State Representative District 038,"6,681","7,241","6,496",126,"20,544",364,420,523,11,"1,318","21,862"
State Representative District 039,"6,522","9,858","7,703",146,"24,229",354,481,520,5,"1,360","25,589"
State Representative District 040,"6,905","7,731","5,812",108,"20,556",379,418,426,6,"1,229","21,785"
State Representative District 041,"11,353","4,677","4,514",143,"20,687",954,429,854,25,"2,262","22,949"
State Representative District 042,"7,110","7,356","5,912",168,"20,546",540,607,704,8,"1,859","22,405"
State Representative District 043,"7,358","7,467","5,452",108,"20,385",509,478,597,5,"1,589","21,974"
State Representative District 044,"5,945","9,693","9,637",126,"25,401",623,"1,008","1,475",9,"3,115","28,516"
State Representative District 045,"7,334","5,212","6,706",230,"19,482","1,288",786,"1,847",33,"3,954","23,436"
State Representative District 046,"7,109","5,802","7,022",216,"20,149",972,763,"1,404",39,"3,178","23,327"
State Representative District 047,"5,817","6,941","7,580",84,"20,422",318,378,777,2,"1,475","21,897"
State Representative District 048,"5,428","7,637","7,297",83,"20,445",292,341,585,5,"1,223","21,668"
State Representative District 049,"4,725","7,577","7,453",138,"19,893",289,319,593,8,"1,209","21,102"
State Representative District 050,"3,866","8,973","6,951",44,"19,834",303,346,665,5,"1,319","21,153"
State Representative District 051,"5,167","6,467","7,905",23,"19,562",344,285,769,3,"1,401","20,963"
State Representative District 052,"6,003","5,507","8,600",42,"20,152",325,257,679,7,"1,268","21,420"
State Representative District 053,"6,638","4,727","8,285",40,"19,690",508,260,893,4,"1,665","21,355"
State Representative District 054,"4,048","8,681","7,214",29,"19,972",233,266,578,2,"1,079","21,051"
State Representative District 055,"5,767","6,604","6,504",47,"18,922",323,199,493,2,"1,017","19,939"
State Representative District 056,"4,981","7,249","7,000",46,"19,276",296,284,586,3,"1,169","20,445"
State Representative District 057,"7,874","6,406","8,125",65,"22,470",252,241,415,2,910,"23,380"
State Representative District 058,"7,019","5,282","8,751",39,"21,091",344,223,726,6,"1,299","22,390"
State Representative District 059,"6,361","5,543","7,619",158,"19,681",547,392,867,23,"1,829","21,510"
State Representative District 060,"6,356","7,349","7,460",110,"21,275",438,377,646,10,"1,471","22,746"
State Representative District 061,"7,227","3,968","6,479",97,"17,771",463,204,512,7,"1,186","18,957"
State Representative District 062,"8,561","2,498","5,984",119,"17,162",611,151,518,6,"1,286","18,448"
State Representative District 063,"5,050","6,696","8,839",58,"20,643",278,266,644,11,"1,199","21,842"
State Representative District 064,"5,436","4,709","8,179",50,"18,374",239,159,642,4,"1,044","19,418"
