State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 083,6045,7665,7172,161,21043,781,670,1466,43,2960,24003
State Representative District 084,4322,8025,6897,129,19373,502,651,1629,49,2831,22204
State Representative District 085,8533,4645,6999,174,20351,1154,552,1740,52,3498,23849
State Representative District 086,8901,2961,6024,136,18022,2025,556,2078,61,4720,22742
State Representative District 087,4380,7192,4274,125,15971,842,881,1731,61,3515,19486
State Representative District 088,2876,9091,4420,132,16519,533,1027,1424,55,3039,19558
State Representative District 089,8636,2117,5213,170,16136,2684,689,2598,79,6050,22186
State Representative District 090,10799,2725,5731,162,19417,2355,628,1948,54,4985,24402
State Representative District 091,5739,8220,7221,166,21346,668,754,1689,27,3138,24484
State Representative District 092,4563,7286,5122,121,17092,645,809,1559,45,3058,20150
State Representative District 093,5316,8112,7414,152,20994,904,925,1911,41,3781,24775
State Representative District 094,5252,7022,6767,159,19200,983,797,1915,49,3744,22944
State Representative District 095,3735,8392,5753,129,18009,605,927,1698,41,3271,21280
State Representative District 096,4101,5866,5364,153,15484,981,834,1953,67,3835,19319
State Representative District 097,5809,3609,5067,160,14645,1502,666,2604,79,4851,19496
State Representative District 098,5021,4184,5473,172,14850,1397,747,2588,76,4808,19658
State Representative District 099,5650,5317,5195,173,16335,1131,769,2154,55,4109,20444
State Representative District 100,5191,5739,5093,109,16132,935,752,1906,50,3643,19775
Totals,"503,120","693,475","546,834","14,477","1,757,906","94,289","81,849","172,539","5,107","353,784","2,111,690"
