State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,119","12,919","5,891",89,"22,018",153,297,389,7,846,"22,864"
State Representative District 002,"4,410","8,544","7,220",108,"20,282",185,238,445,4,872,"21,154"
State Representative District 003,"2,892","11,059","5,922",98,"19,971",131,211,335,5,682,"20,653"
State Representative District 004,"1,627","14,128","3,711",65,"19,531",64,227,142,8,441,"19,972"
State Representative District 005,"3,746","10,012","6,665",118,"20,541",117,259,281,3,660,"21,201"
State Representative District 006,"5,271","7,817","6,828",155,"20,071",264,336,432,8,"1,040","21,111"
State Representative District 007,"4,966","6,666","8,435",89,"20,156",197,245,517,3,962,"21,118"
State Representative District 008,"4,351","8,227","6,997",91,"19,666",143,188,340,4,675,"20,341"
State Representative District 009,"6,268","5,428","7,168",157,"19,021",329,176,531,4,"1,040","20,061"
State Representative District 010,"3,955","8,156","7,647",119,"19,877",138,194,336,6,674,"20,551"
State Representative District 011,"4,162","7,349","6,751",98,"18,360",298,235,513,2,"1,048","19,408"
State Representative District 012,"5,099","7,068","8,218",112,"20,497",122,126,263,5,516,"21,013"
State Representative District 013,"5,464","4,986","5,539",125,"16,114",428,326,566,17,"1,337","17,451"
State Representative District 014,"5,871","4,211","5,150",128,"15,360",446,249,430,7,"1,132","16,492"
State Representative District 015,"5,374","4,555","6,407",227,"16,563",488,306,599,21,"1,414","17,977"
State Representative District 016,"5,144","5,827","6,389",244,"17,604",565,471,907,37,"1,980","19,584"
State Representative District 017,"4,257","8,020","6,642",142,"19,061",124,175,297,5,601,"19,662"
State Representative District 018,"4,385","7,421","6,271",76,"18,153",105,131,217,3,456,"18,609"
State Representative District 019,"6,040","10,321","10,354",222,"26,937",116,261,417,7,801,"27,738"
State Representative District 020,"4,638","6,758","7,718",141,"19,255",142,167,351,5,665,"19,920"
State Representative District 021,"3,742","8,384","7,261",103,"19,490",198,319,591,2,"1,110","20,600"
State Representative District 022,"4,804","10,436","7,157",170,"22,567",220,334,415,13,982,"23,549"
State Representative District 023,"3,826","10,056","6,100",168,"20,150",165,264,344,7,780,"20,930"
State Representative District 024,"3,334","9,288","5,604",101,"18,327",150,277,404,4,835,"19,162"
State Representative District 025,"5,927","8,753","8,384",179,"23,243",203,309,465,11,988,"24,231"
State Representative District 026,"6,592","7,164","7,671",155,"21,582",223,250,419,5,897,"22,479"
