State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,096","12,405",51,"6,148",12,"21,712",224,429,3,515,3,"1,174","22,886"
State Representative District 002,"4,358","8,461",70,"7,261",10,"20,160",247,267,0,534,1,"1,049","21,209"
State Representative District 003,"2,911","11,005",52,"5,911",16,"19,895",163,270,3,423,1,860,"20,755"
State Representative District 004,"1,525","14,096",41,"3,618",15,"19,295",99,378,6,247,2,732,"20,027"
State Representative District 005,"3,719","9,891",68,"6,591",27,"20,296",171,324,2,387,1,885,"21,181"
State Representative District 006,"5,013","7,778",74,"6,617",27,"19,509",350,330,4,526,2,"1,212","20,721"
State Representative District 007,"5,000","6,633",47,"8,456",14,"20,150",325,297,1,773,1,"1,397","21,547"
State Representative District 008,"4,337","8,181",41,"7,174",19,"19,752",196,238,5,494,1,934,"20,686"
State Representative District 009,"6,231","5,125",75,"6,756",43,"18,230",454,257,3,720,1,"1,435","19,665"
State Representative District 010,"3,855","8,093",54,"7,919",13,"19,934",180,224,5,474,2,885,"20,819"
State Representative District 011,"4,127","7,213",53,"6,907",27,"18,327",337,301,3,653,0,"1,294","19,621"
State Representative District 012,"5,083","7,052",67,"8,260",22,"20,484",170,183,7,370,0,730,"21,214"
State Representative District 013,"5,314","5,048",71,"5,397",28,"15,858",507,385,10,689,2,"1,593","17,451"
State Representative District 014,"5,782","4,290",56,"5,011",19,"15,158",523,282,7,547,2,"1,361","16,519"
State Representative District 015,"5,326","4,428",141,"6,351",54,"16,300",838,511,15,"1,087",2,"2,453","18,753"
State Representative District 016,"4,973","5,764",160,"6,296",40,"17,233",848,702,12,"1,380",10,"2,952","20,185"
State Representative District 017,"4,339","7,922",64,"6,738",25,"19,088",129,161,2,323,1,616,"19,704"
State Representative District 018,"4,303","7,351",50,"6,362",11,"18,077",186,227,2,357,1,773,"18,850"
State Representative District 019,"5,394","10,010",131,"9,921",19,"25,475",189,348,6,563,1,"1,107","26,582"
State Representative District 020,"4,475","6,592",80,"7,749",21,"18,917",213,225,3,538,0,979,"19,896"
State Representative District 021,"3,623","8,340",57,"7,490",14,"19,524",241,379,2,759,0,"1,381","20,905"
State Representative District 022,"4,600","10,264",107,"6,930",24,"21,925",429,646,12,775,3,"1,865","23,790"
State Representative District 023,"3,679","9,871",86,"6,214",32,"19,882",146,190,2,321,1,660,"20,542"
State Representative District 024,"3,171","9,489",53,"5,526",13,"18,252",179,312,6,466,0,963,"19,215"
State Representative District 025,"5,581","8,567",92,"8,063",20,"22,323",282,367,6,563,1,"1,219","23,542"
State Representative District 026,"6,305","7,185",96,"7,568",17,"21,171",294,323,3,556,2,"1,178","22,349"
State Representative District 027,"4,535","6,564",61,"6,255",14,"17,429",279,270,6,532,1,"1,088","18,517"
State Representative District 028,"5,013","7,138",56,"7,346",18,"19,571",200,232,5,463,1,901,"20,472"
State Representative District 029,"7,296","5,686",61,"7,494",18,"20,555",261,200,1,465,1,928,"21,483"
State Representative District 030,"6,805","8,082",171,"7,887",34,"22,979",233,222,4,334,0,793,"23,772"
State Representative District 031,"7,556","4,744",124,"5,702",32,"18,158",286,170,5,317,2,780,"18,938"
State Representative District 032,"7,809","2,601",107,"4,711",36,"15,264",493,115,12,348,4,972,"16,236"
State Representative District 033,"8,052","3,186",102,"5,234",38,"16,612",530,189,9,409,2,"1,139","17,751"
State Representative District 034,"8,633","3,607",128,"5,479",46,"17,893",812,251,12,639,2,"1,716","19,609"
State Representative District 035,"7,426","2,144",96,"4,020",51,"13,737",622,160,8,492,3,"1,285","15,022"
State Representative District 036,"9,428","4,737",159,"6,047",56,"20,427",438,213,6,365,1,"1,023","21,450"
State Representative District 037,"6,921","10,694",227,"9,096",37,"26,975",248,393,14,413,1,"1,069","28,044"
State Representative District 038,"6,660","7,400",158,"7,220",31,"21,469",277,284,16,367,1,945,"22,414"
State Representative District 039,"6,629","9,768",168,"8,508",30,"25,103",380,554,17,597,4,"1,552","26,655"
State Representative District 040,"6,853","7,420",161,"6,194",25,"20,653",331,288,7,375,2,"1,003","21,656"
State Representative District 041,"11,075","4,514",154,"5,068",50,"20,861",828,302,13,682,11,"1,836","22,697"
State Representative District 042,"7,086","7,188",183,"6,531",37,"21,025",395,363,6,451,0,"1,215","22,240"
State Representative District 043,"7,235","7,240",106,"6,009",41,"20,631",427,331,5,453,2,"1,218","21,849"
State Representative District 044,"6,429","10,112",173,"11,246",26,"27,986",431,635,5,930,3,"2,004","29,990"
State Representative District 045,"7,257","5,141",220,"7,714",66,"20,398",766,486,26,"1,147",8,"2,433","22,831"
State Representative District 046,"6,793","5,594",196,"7,806",60,"20,449","1,054",745,34,"1,543",14,"3,390","23,839"
State Representative District 047,"5,619","6,939",90,"7,867",18,"20,533",260,279,5,622,1,"1,167","21,700"
State Representative District 048,"5,210","7,608",78,"7,656",30,"20,582",198,236,5,463,1,903,"21,485"
State Representative District 049,"4,654","7,616",142,"8,044",37,"20,493",228,264,9,419,0,920,"21,413"
State Representative District 050,"3,773","8,953",59,"7,244",13,"20,042",142,255,3,429,3,832,"20,874"
State Representative District 051,"4,929","6,507",27,"8,221",8,"19,692",258,211,3,562,0,"1,034","20,726"
