State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 047,"5,967","6,466","7,977",45,"20,455",327,346,778,2,"1,453","21,908"
State Representative District 048,"5,536","7,010","7,900",52,"20,498",350,379,785,2,"1,516","22,014"
State Representative District 049,"4,573","7,293","7,964",69,"19,899",297,331,672,3,"1,303","21,202"
State Representative District 050,"3,863","8,956","7,183",35,"20,037",374,354,788,3,"1,519","21,556"
State Representative District 051,"5,339","6,187","8,096",19,"19,641",357,253,747,1,"1,358","20,999"
State Representative District 052,"6,224","5,190","8,959",22,"20,395",311,233,649,2,"1,195","21,590"
State Representative District 053,"6,816","4,487","8,618",34,"19,955",525,297,926,1,"1,749","21,704"
State Representative District 054,"4,113","8,487","7,618",22,"20,240",268,322,702,1,"1,293","21,533"
State Representative District 055,"5,204","6,489","7,152",47,"18,892",939,371,"1,033",7,"2,350","21,242"
State Representative District 056,"4,978","7,081","7,435",32,"19,526",321,289,717,1,"1,328","20,854"
State Representative District 057,"7,497","6,082","8,457",38,"22,074",267,234,480,3,984,"23,058"
State Representative District 058,"7,271","4,800","8,927",29,"21,027",450,235,850,3,"1,538","22,565"
State Representative District 059,"5,585","5,250","8,193",121,"19,149",668,420,"1,091",21,"2,200","21,349"
State Representative District 060,"5,927","7,019","7,906",65,"20,917",564,394,808,9,"1,775","22,692"
State Representative District 061,"7,273","3,949","6,911",62,"18,195",548,242,712,0,"1,502","19,697"
State Representative District 062,"8,823","2,438","6,469",63,"17,793",691,166,673,2,"1,532","19,325"
State Representative District 063,"4,769","6,429","9,391",46,"20,635",420,317,870,4,"1,611","22,246"
State Representative District 064,"5,533","4,518","8,402",29,"18,482",294,173,631,2,"1,100","19,582"
State Representative District 065,"7,879","4,073","5,862",104,"17,918","1,767",574,"1,512",15,"3,868","21,786"
State Representative District 066,"6,549","5,796","6,839",85,"19,269","1,079",591,"1,284",14,"2,968","22,237"
State Representative District 067,"5,497","6,795","7,759",87,"20,138",765,709,"1,188",6,"2,668","22,806"
State Representative District 068,"6,306","6,021","7,779",97,"20,203",763,662,"1,121",16,"2,562","22,765"
State Representative District 069,"6,867","3,586","6,950",88,"17,491","1,417",568,"1,662",17,"3,664","21,155"
State Representative District 070,"7,722","4,618","7,145",69,"19,554","1,012",526,"1,118",9,"2,665","22,219"
State Representative District 071,"5,444","5,101","6,513",23,"17,081",566,429,894,2,"1,891","18,972"
State Representative District 072,"5,395","6,310","8,272",33,"20,010",378,287,852,0,"1,517","21,527"
State Representative District 073,"6,279","5,883","7,671",58,"19,891",414,315,768,4,"1,501","21,392"
State Representative District 074,"8,510","4,132","6,201",103,"18,946","1,517",593,"1,365",13,"3,488","22,434"
State Representative District 075,"5,093","5,973","9,021",37,"20,124",332,243,715,2,"1,292","21,416"
State Representative District 076,"5,666","6,601","8,884",63,"21,214","1,295",300,940,5,"2,540","23,754"
State Representative District 077,"7,633","5,436","8,081",78,"21,228",744,491,943,2,"2,180","23,408"
State Representative District 078,"4,783","7,295","7,116",46,"19,240",345,315,727,5,"1,392","20,632"
State Representative District 079,"3,702","9,297","6,609",54,"19,662",571,677,"1,039",4,"2,291","21,953"
State Representative District 080,"5,892","6,530","6,855",33,"19,310",462,382,795,2,"1,641","20,951"
State Representative District 081,"7,696","4,192","5,863",30,"17,781",650,311,722,4,"1,687","19,468"
State Representative District 082,"6,053","6,548","6,120",92,"18,813",594,449,"1,079",9,"2,131","20,944"
State Representative District 083,"8,404","3,222","6,691",42,"18,359",629,276,853,1,"1,759","20,118"
State Representative District 084,"4,429","7,213","7,340",32,"19,014",418,353,795,2,"1,568","20,582"
State Representative District 085,"10,890","4,017","9,028",233,"24,168","2,798","1,203","3,171",45,"7,217","31,385"
State Representative District 086,"9,449","3,217","7,497",148,"20,311","2,585","1,167","3,085",48,"6,885","27,196"
State Representative District 087,"8,661","3,988","6,506",41,"19,196",806,310,889,2,"2,007","21,203"
State Representative District 088,"5,702","6,058","7,011",32,"18,803",496,358,891,1,"1,746","20,549"
State Representative District 089,"7,131","4,503","8,538",62,"20,234",883,392,"1,221",4,"2,500","22,734"
State Representative District 090,"7,781","2,787","7,398",94,"18,060","1,376",444,"1,723",7,"3,550","21,610"
State Representative District 091,"5,541","5,918","7,525",34,"19,018",613,579,"1,048",0,"2,240","21,258"
State Representative District 092,"5,762","5,758","8,702",61,"20,283",831,490,"1,327",5,"2,653","22,936"
State Representative District 093,"6,834","6,270","8,261",85,"21,450",961,681,"1,516",10,"3,168","24,618"
State Representative District 094,"5,604","8,592","9,546",101,"23,843",664,651,"1,203",0,"2,518","26,361"
State Representative District 095,"6,006","6,114","8,063",82,"20,265",821,462,"1,131",13,"2,427","22,692"
State Representative District 096,"4,529","5,904","8,483",14,"18,930",259,235,662,0,"1,156","20,086"
State Representative District 097,"5,730","6,327","9,161",51,"21,269",428,355,834,2,"1,619","22,888"
State Representative District 098,"6,633","3,945","7,977",31,"18,586",929,329,"1,248",5,"2,511","21,097"
State Representative District 099,"8,889","5,070","7,256",76,"21,291",644,388,775,5,"1,812","23,103"
State Representative District 100,"8,149","3,753","6,514",69,"18,485",760,332,807,7,"1,906","20,391"
Totals,"603,469","623,465","720,277","6,036","1,953,247","61,800","41,829","93,299",588,"197,516","2,150,763"
