State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,153","12,155","6,057",21,"21,386",280,494,695,2,"1,471","22,857"
State Representative District 002,"5,231","7,071","7,725",31,"20,058",451,413,904,1,"1,769","21,827"
State Representative District 003,"3,424","10,084","6,486",33,"20,027",290,456,832,2,"1,580","21,607"
State Representative District 004,"1,498","13,301","3,562",22,"18,383",113,431,354,2,900,"19,283"
State Representative District 005,"3,923","9,153","6,751",32,"19,859",323,464,723,3,"1,513","21,372"
State Representative District 006,"5,340","7,350","6,361",49,"19,100",448,418,688,2,"1,556","20,656"
State Representative District 007,"5,512","6,499","8,354",21,"20,386",486,387,"1,175",2,"2,050","22,436"
State Representative District 008,"4,607","8,157","7,199",22,"19,985",289,358,677,1,"1,325","21,310"
State Representative District 009,"6,920","4,846","6,627",37,"18,430",658,416,989,4,"2,067","20,497"
State Representative District 010,"4,268","7,542","8,192",42,"20,044",371,395,"1,087",4,"1,857","21,901"
State Representative District 011,"4,216","7,140","7,315",23,"18,694",341,340,719,2,"1,402","20,096"
State Representative District 012,"5,772","6,241","8,666",59,"20,738",343,304,857,1,"1,505","22,243"
State Representative District 013,"5,397","4,874","5,291",50,"15,612",729,423,835,6,"1,993","17,605"
State Representative District 014,"6,065","4,141","4,951",42,"15,199",642,347,736,6,"1,731","16,930"
State Representative District 015,"5,518","4,252","5,950",70,"15,790",921,451,"1,058",7,"2,437","18,227"
State Representative District 016,"5,141","5,684","6,338",78,"17,241",707,503,957,6,"2,173","19,414"
State Representative District 017,"4,802","7,528","6,730",34,"19,094",246,304,512,1,"1,063","20,157"
State Representative District 018,"4,521","7,205","5,939",28,"17,693",437,357,900,1,"1,695","19,388"
State Representative District 019,"4,854","8,794","9,104",66,"22,818",441,579,"1,148",5,"2,173","24,991"
State Representative District 020,"4,706","6,541","7,641",48,"18,936",433,407,"1,093",2,"1,935","20,871"
State Representative District 021,"3,854","8,492","7,442",25,"19,813",289,436,841,1,"1,567","21,380"
State Representative District 022,"4,628","10,287","6,734",48,"21,697",341,484,637,4,"1,466","23,163"
State Representative District 023,"3,803","9,586","6,286",36,"19,711",490,770,"1,180",2,"2,442","22,153"
State Representative District 024,"3,375","8,604","5,968",22,"17,969",372,542,"1,107",5,"2,026","19,995"
State Representative District 025,"5,707","7,890","7,669",44,"21,310",405,440,803,4,"1,652","22,962"
State Representative District 026,"6,470","6,877","7,207",40,"20,594",427,372,700,3,"1,502","22,096"
State Representative District 027,"4,895","6,235","6,373",26,"17,529",623,541,"1,230",4,"2,398","19,927"
State Representative District 028,"5,322","6,975","7,239",32,"19,568",558,471,972,1,"2,002","21,570"
State Representative District 029,"7,328","5,561","7,025",33,"19,947",804,512,"1,307",2,"2,625","22,572"
State Representative District 030,"6,637","7,269","7,096",81,"21,083",189,193,292,1,675,"21,758"
State Representative District 031,"7,437","4,499","5,614",73,"17,623",264,165,305,1,735,"18,358"
State Representative District 032,"7,607","2,602","4,547",80,"14,836",495,151,439,3,"1,088","15,924"
State Representative District 033,"8,093","3,113","4,937",80,"16,223",473,192,456,7,"1,128","17,351"
State Representative District 034,"8,596","3,540","5,500",92,"17,728",651,219,557,9,"1,436","19,164"
State Representative District 035,"7,421","2,193","4,303",83,"14,000",540,138,483,6,"1,167","15,167"
State Representative District 036,"9,166","5,089","6,018",116,"20,389",347,195,364,2,908,"21,297"
State Representative District 037,"5,843","9,411","7,700",110,"23,064",251,332,378,6,967,"24,031"
State Representative District 038,"6,384","6,900","6,638",83,"20,005",244,240,355,0,839,"20,844"
State Representative District 039,"5,831","9,246","7,732",92,"22,901",204,280,346,4,834,"23,735"
State Representative District 040,"6,473","7,618","6,191",75,"20,357",283,273,302,3,861,"21,218"
State Representative District 041,"9,854","4,974","5,541",127,"20,496",631,279,590,13,"1,513","22,009"
State Representative District 042,"6,373","7,292","6,461",105,"20,231",450,428,612,7,"1,497","21,728"
State Representative District 043,"6,885","7,747","5,901",77,"20,610",383,329,444,2,"1,158","21,768"
State Representative District 044,"4,812","8,501","9,578",76,"22,967",673,981,"1,538",1,"3,193","26,160"
State Representative District 045,"5,799","4,590","7,286",128,"17,803","1,540",896,"2,177",39,"4,652","22,455"
State Representative District 046,"5,627","4,842","7,457",146,"18,072","1,381",940,"2,130",45,"4,496","22,568"
