State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,066","12,786","5,802",86,"21,740",209,437,501,12,"1,159","22,899"
State Representative District 002,"4,360","8,448","7,103",104,"20,015",231,328,571,9,"1,139","21,154"
State Representative District 003,"2,850","10,901","5,841",97,"19,689",163,307,419,6,895,"20,584"
State Representative District 004,"1,600","14,029","3,643",63,"19,335",92,352,226,11,681,"20,016"
State Representative District 005,"3,685","9,881","6,599",114,"20,279",172,386,378,8,944,"21,223"
State Representative District 006,"5,196","7,713","6,711",155,"19,775",340,437,556,9,"1,342","21,117"
State Representative District 007,"4,923","6,583","8,292",87,"19,885",235,315,670,5,"1,225","21,110"
State Representative District 008,"4,292","8,144","6,897",88,"19,421",196,267,443,7,913,"20,334"
State Representative District 009,"6,144","5,304","6,999",153,"18,600",432,293,711,7,"1,443","20,043"
State Representative District 010,"3,892","8,069","7,516",115,"19,592",201,284,469,9,963,"20,555"
State Representative District 011,"4,105","7,278","6,675",101,"18,159",358,312,590,3,"1,263","19,422"
State Representative District 012,"5,026","6,973","8,108",107,"20,214",180,223,392,9,804,"21,018"
State Representative District 013,"5,384","4,907","5,472",122,"15,885",501,396,676,19,"1,592","17,477"
State Representative District 014,"5,794","4,155","5,073",129,"15,151",511,298,525,8,"1,342","16,493"
State Representative District 015,"5,248","4,424","6,255",214,"16,141",600,419,734,37,"1,790","17,931"
State Representative District 016,"5,059","5,730","6,273",240,"17,302",652,578,"1,045",41,"2,316","19,618"
State Representative District 017,"4,184","7,917","6,509",140,"18,750",177,266,419,6,868,"19,618"
State Representative District 018,"4,332","7,333","6,173",76,"17,914",153,226,329,4,712,"18,626"
State Representative District 019,"5,950","10,181","10,203",220,"26,554",215,433,620,8,"1,276","27,830"
State Representative District 020,"4,567","6,671","7,584",137,"18,959",191,261,514,12,978,"19,937"
State Representative District 021,"3,671","8,304","7,124",99,"19,198",258,411,757,6,"1,432","20,630"
State Representative District 022,"4,744","10,340","7,082",170,"22,336",288,449,514,15,"1,266","23,602"
State Representative District 023,"3,792","9,992","6,037",166,"19,987",181,304,409,10,904,"20,891"
State Representative District 024,"3,274","9,170","5,512",98,"18,054",210,382,508,8,"1,108","19,162"
State Representative District 025,"5,829","8,646","8,245",176,"22,896",281,431,621,16,"1,349","24,245"
State Representative District 026,"6,491","7,045","7,550",151,"21,237",316,359,549,9,"1,233","22,470"
State Representative District 027,"4,448","6,671","6,048",94,"17,261",283,311,518,15,"1,127","18,388"
State Representative District 028,"4,916","7,417","7,121",95,"19,549",206,260,455,4,925,"20,474"
State Representative District 029,"7,132","5,805","7,617",116,"20,670",283,216,466,2,967,"21,637"
State Representative District 030,"7,353","8,177","8,100",252,"23,882",177,235,324,10,746,"24,628"
State Representative District 031,"7,705","4,539","5,750",192,"18,186",254,170,267,10,701,"18,887"
State Representative District 032,"8,038","2,553","4,720",206,"15,517",345,98,271,7,721,"16,238"
State Representative District 033,"8,459","3,156","5,254",193,"17,062",351,128,257,12,748,"17,810"
State Representative District 034,"9,535","3,443","5,700",234,"18,912",586,220,463,15,"1,284","20,196"
State Representative District 035,"7,546","2,000","4,061",201,"13,808",416,126,335,13,890,"14,698"
State Representative District 036,"9,950","4,233","5,874",250,"20,307",420,216,312,9,957,"21,264"
State Representative District 037,"7,756","10,471","9,690",295,"28,212",270,513,488,19,"1,290","29,502"
State Representative District 038,"7,215","7,512","7,626",237,"22,590",298,302,340,16,956,"23,546"
State Representative District 039,"7,463","9,627","9,050",254,"26,394",357,480,499,33,"1,369","27,763"
State Representative District 040,"7,218","6,983","6,185",207,"20,593",321,283,299,9,912,"21,505"
State Representative District 041,"11,894","4,038","4,743",240,"20,915",762,269,536,25,"1,592","22,507"
State Representative District 042,"7,510","6,751","6,302",251,"20,814",476,386,521,14,"1,397","22,211"
State Representative District 043,"7,860","6,737","5,776",189,"20,562",415,314,381,14,"1,124","21,686"
State Representative District 044,"7,551","9,954","11,421",287,"29,213",610,840,"1,227",38,"2,715","31,928"
State Representative District 045,"7,827","4,893","7,890",354,"20,964",944,589,"1,187",53,"2,773","23,737"
State Representative District 046,"7,386","5,298","8,328",293,"21,305",858,597,"1,216",48,"2,719","24,024"
State Representative District 047,"5,720","6,816","7,671",169,"20,376",259,314,624,11,"1,208","21,584"
State Representative District 048,"5,284","7,565","7,758",138,"20,745",214,268,480,13,975,"21,720"
State Representative District 049,"4,843","7,546","7,851",212,"20,452",216,292,402,12,922,"21,374"
State Representative District 050,"3,852","8,884","6,982",101,"19,819",157,322,395,4,878,"20,697"
State Representative District 051,"4,838","6,487","8,181",74,"19,580",208,189,470,4,871,"20,451"
State Representative District 052,"5,496","5,389","8,617",78,"19,580",305,247,648,9,"1,209","20,789"
State Representative District 053,"6,266","4,441","8,556",80,"19,343",319,248,655,9,"1,231","20,574"
State Representative District 054,"3,931","8,282","7,354",96,"19,663",169,280,441,1,891,"20,554"
State Representative District 055,"5,811","6,459","7,177",87,"19,534",379,233,580,13,"1,205","20,739"
State Representative District 056,"4,714","7,205","7,138",89,"19,146",260,256,478,7,"1,001","20,147"
State Representative District 057,"7,871","6,672","8,396",125,"23,064",180,216,350,1,747,"23,811"
State Representative District 058,"6,605","5,247","9,311",55,"21,218",244,195,500,7,946,"22,164"
State Representative District 059,"6,389","5,200","7,855",224,"19,668",595,466,975,21,"2,057","21,725"
State Representative District 060,"6,720","7,097","7,834",185,"21,836",444,480,665,18,"1,607","23,443"
State Representative District 061,"6,956","3,863","6,349",184,"17,352",534,234,562,20,"1,350","18,702"
State Representative District 062,"8,151","2,460","5,721",188,"16,520",537,154,451,7,"1,149","17,669"
State Representative District 063,"5,029","6,536","9,101",133,"20,799",253,266,593,11,"1,123","21,922"
State Representative District 064,"5,123","4,629","8,357",82,"18,191",212,124,534,9,879,"19,070"
State Representative District 065,"8,977","3,907","6,154",269,"19,307",440,191,378,21,"1,030","20,337"
State Representative District 066,"7,401","5,474","7,095",217,"20,187",371,240,399,18,"1,028","21,215"
State Representative District 067,"6,610","7,111","8,368",232,"22,321",272,346,437,12,"1,067","23,388"
State Representative District 068,"7,076","6,106","8,442",251,"21,875",261,296,394,21,972,"22,847"
State Representative District 069,"7,593","4,187","7,699",268,"19,747",371,207,450,16,"1,044","20,791"
State Representative District 070,"8,199","4,655","7,406",237,"20,497",366,204,386,22,978,"21,475"
State Representative District 071,"5,548","4,744","5,966",131,"16,389",336,268,594,6,"1,204","17,593"
State Representative District 072,"5,037","6,430","8,172",105,"19,744",198,205,448,6,857,"20,601"
State Representative District 073,"6,461","6,186","7,973",135,"20,755",224,206,422,12,864,"21,619"
State Representative District 074,"9,981","3,732","6,277",194,"20,184",933,356,723,23,"2,035","22,219"
State Representative District 075,"4,614","6,711","8,666",118,"20,109",207,238,467,12,924,"21,033"
State Representative District 076,"5,986","6,743","8,532",129,"21,390",350,254,577,10,"1,191","22,581"
State Representative District 077,"8,638","5,770","8,847",199,"23,454",459,417,638,27,"1,541","24,995"
State Representative District 078,"4,605","7,498","7,010",133,"19,246",232,304,474,11,"1,021","20,267"
State Representative District 079,"3,294","10,086","6,010",133,"19,523",312,485,658,11,"1,466","20,989"
State Representative District 080,"5,095","7,170","6,505",100,"18,870",275,301,625,8,"1,209","20,079"
State Representative District 081,"6,865","4,357","5,550",81,"16,853",437,260,602,6,"1,305","18,158"
State Representative District 082,"6,470","6,336","5,710",138,"18,654",410,269,546,16,"1,241","19,895"
State Representative District 083,"7,465","3,566","6,621",122,"17,774",455,237,747,16,"1,455","19,229"
State Representative District 084,"4,222","7,128","7,102",104,"18,556",281,335,657,10,"1,283","19,839"
State Representative District 085,"12,481","3,762","7,371",263,"23,877","1,463",577,"1,284",38,"3,362","27,239"
State Representative District 086,"10,488","2,979","6,734",236,"20,437","1,337",429,"1,171",48,"2,985","23,422"
State Representative District 087,"7,968","4,244","6,527",151,"18,890",550,244,674,18,"1,486","20,376"
State Representative District 088,"5,473","6,331","7,432",94,"19,330",221,213,436,10,880,"20,210"
State Representative District 089,"7,065","4,378","8,490",168,"20,101",615,299,811,17,"1,742","21,843"
State Representative District 090,"7,107","2,760","7,477",190,"17,534",998,322,"1,179",33,"2,532","20,066"
State Representative District 091,"5,651","5,715","7,419",114,"18,899",371,345,626,9,"1,351","20,250"
State Representative District 092,"5,719","5,879","8,924",152,"20,674",497,370,764,12,"1,643","22,317"
State Representative District 093,"7,012","5,938","8,330",181,"21,461",636,479,"1,002",29,"2,146","23,607"
State Representative District 094,"6,281","8,636","10,049",167,"25,133",527,716,"1,002",27,"2,272","27,405"
State Representative District 095,"6,341","6,463","8,596",170,"21,570",212,187,311,8,718,"22,288"
State Representative District 096,"4,114","6,507","8,117",75,"18,813",170,192,452,10,824,"19,637"
State Representative District 097,"5,409","6,889","9,438",121,"21,857",265,337,638,1,"1,241","23,098"
State Representative District 098,"6,049","4,068","8,099",94,"18,310",471,200,720,13,"1,404","19,714"
State Representative District 099,"9,273","5,000","6,892",193,"21,358",602,331,660,20,"1,613","22,971"
State Representative District 100,"7,918","3,960","6,509",177,"18,564",589,341,688,17,"1,635","20,199"
