State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,071","11,963","6,146",29,"21,209",239,464,509,2,"1,214","22,423"
State Representative District 002,"5,058","6,941","7,770",41,"19,810",386,384,781,1,"1,552","21,362"
State Representative District 003,"3,296","9,902","6,403",39,"19,640",246,431,713,4,"1,394","21,034"
State Representative District 004,"1,439","13,042","3,454",24,"17,959",103,452,372,3,930,"18,889"
State Representative District 005,"3,831","9,034","6,727",40,"19,632",328,495,701,3,"1,527","21,159"
State Representative District 006,"5,123","7,191","6,485",52,"18,851",401,354,603,2,"1,360","20,211"
State Representative District 007,"5,286","6,327","8,271",24,"19,908",432,362,968,1,"1,763","21,671"
State Representative District 008,"4,472","8,012","7,166",27,"19,677",307,368,678,2,"1,355","21,032"
State Representative District 009,"6,703","4,794","6,589",47,"18,133",606,371,901,5,"1,883","20,016"
State Representative District 010,"4,084","7,373","8,064",38,"19,559",266,292,688,6,"1,252","20,811"
State Representative District 011,"4,129","6,975","7,219",27,"18,350",246,299,465,2,"1,012","19,362"
State Representative District 012,"5,595","6,138","8,694",62,"20,489",267,265,709,4,"1,245","21,734"
State Representative District 013,"5,176","4,718","5,290",60,"15,244",588,384,711,10,"1,693","16,937"
State Representative District 014,"5,836","3,991","4,943",49,"14,819",550,295,582,6,"1,433","16,252"
State Representative District 015,"5,265","4,078","5,834",89,"15,266",780,459,977,11,"2,227","17,493"
State Representative District 016,"4,821","5,365","5,843",92,"16,121",788,593,"1,240",15,"2,636","18,757"
State Representative District 017,"4,646","7,382","6,702",43,"18,773",232,296,548,1,"1,077","19,850"
State Representative District 018,"4,339","6,976","5,829",28,"17,172",192,168,340,2,702,"17,874"
State Representative District 019,"4,773","8,764","9,386",84,"23,007",260,455,733,8,"1,456","24,463"
State Representative District 020,"4,539","6,370","7,745",54,"18,708",298,286,704,0,"1,288","19,996"
State Representative District 021,"3,720","8,256","7,401",29,"19,406",242,383,705,0,"1,330","20,736"
State Representative District 022,"4,450","10,021","6,729",62,"21,262",329,507,594,4,"1,434","22,696"
State Representative District 023,"3,716","9,428","6,273",38,"19,455",408,639,915,4,"1,966","21,421"
State Representative District 024,"3,274","8,398","5,986",25,"17,683",309,463,886,5,"1,663","19,346"
State Representative District 025,"5,520","7,749","7,774",54,"21,097",349,418,691,5,"1,463","22,560"
State Representative District 026,"6,263","6,680","7,167",53,"20,163",402,384,695,3,"1,484","21,647"
State Representative District 027,"4,643","6,004","6,197",31,"16,875",285,323,592,1,"1,201","18,076"
State Representative District 028,"5,154","6,872","7,212",32,"19,270",298,332,571,4,"1,205","20,475"
State Representative District 029,"7,089","5,463","7,326",39,"19,917",434,315,760,3,"1,512","21,429"
State Representative District 030,"6,496","7,204","7,223",117,"21,040",272,277,377,1,927,"21,967"
State Representative District 031,"7,301","4,439","5,640",90,"17,470",293,179,358,2,832,"18,302"
State Representative District 032,"7,335","2,540","4,521",95,"14,491",490,141,392,7,"1,030","15,521"
State Representative District 033,"7,581","2,961","4,753",84,"15,379",759,278,671,10,"1,718","17,097"
State Representative District 034,"7,950","3,315","5,218",109,"16,592",978,373,793,12,"2,156","18,748"
State Representative District 035,"7,145","2,158","4,178",87,"13,568",488,126,402,6,"1,022","14,590"
