State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,212","12,488","6,209",52,"21,961",194,441,418,5,"1,058","23,019"
State Representative District 002,"4,542","8,676","7,150",71,"20,439",188,243,399,2,832,"21,271"
State Representative District 003,"3,017","11,116","5,891",68,"20,092",126,234,295,3,658,"20,750"
State Representative District 004,"1,562","14,156","3,495",61,"19,274",105,448,267,2,822,"20,096"
State Representative District 005,"3,818","10,012","6,653",83,"20,566",119,239,242,3,603,"21,169"
State Representative District 006,"5,181","7,879","6,516",97,"19,673",294,322,407,4,"1,027","20,700"
State Representative District 007,"5,217","6,753","8,447",65,"20,482",286,269,626,2,"1,183","21,665"
State Representative District 008,"4,463","8,273","7,180",59,"19,975",170,205,375,4,754,"20,729"
State Representative District 009,"6,639","5,232","6,915",101,"18,887",228,166,322,5,721,"19,608"
State Representative District 010,"3,974","8,247","7,852",59,"20,132",202,224,476,7,909,"21,041"
State Representative District 011,"4,284","7,323","7,107",64,"18,778",199,232,381,4,816,"19,594"
State Representative District 012,"5,253","7,085","8,359",84,"20,781",147,167,290,7,611,"21,392"
State Representative District 013,"5,550","5,261","5,429",93,"16,333",369,296,463,11,"1,139","17,472"
State Representative District 014,"6,077","4,447","4,979",80,"15,583",337,223,381,6,947,"16,530"
State Representative District 015,"5,463","4,431","6,228",166,"16,288",746,485,952,17,"2,200","18,488"
State Representative District 016,"5,198","5,836","6,272",176,"17,482",743,627,"1,177",16,"2,563","20,045"
State Representative District 017,"4,510","8,113","6,755",85,"19,463",82,151,198,3,434,"19,897"
State Representative District 018,"4,433","7,455","6,270",61,"18,219",169,224,278,2,673,"18,892"
State Representative District 019,"5,433","9,972","9,335",134,"24,874",182,345,461,4,992,"25,866"
State Representative District 020,"4,682","6,762","7,635",91,"19,170",227,239,533,0,999,"20,169"
State Representative District 021,"3,810","8,573","7,441",66,"19,890",176,282,541,3,"1,002","20,892"
State Representative District 022,"4,743","10,472","6,972",117,"22,304",335,525,578,4,"1,442","23,746"
State Representative District 023,"3,838","10,014","6,193",100,"20,145",262,434,584,6,"1,286","21,431"
State Representative District 024,"3,266","9,694","5,519",64,"18,543",165,293,380,5,843,"19,386"
State Representative District 025,"5,802","8,624","7,867",105,"22,398",215,320,408,5,948,"23,346"
State Representative District 026,"6,516","7,364","7,434",101,"21,415",235,263,403,5,906,"22,321"
State Representative District 027,"4,812","6,705","6,365",72,"17,954",194,245,391,2,832,"18,786"
State Representative District 028,"5,194","7,263","7,278",66,"19,801",157,169,309,5,640,"20,441"
State Representative District 029,"7,553","5,707","7,211",68,"20,539",242,182,389,3,816,"21,355"
State Representative District 030,"7,047","8,196","7,581",191,"23,015",191,193,264,3,651,"23,666"
State Representative District 031,"7,760","4,791","5,616",157,"18,324",220,142,249,4,615,"18,939"
State Representative District 032,"8,215","2,700","4,667",140,"15,722",304,82,224,12,622,"16,344"
State Representative District 033,"8,397","3,277","5,148",135,"16,957",382,162,319,8,871,"17,828"
State Representative District 034,"9,014","3,747","5,437",173,"18,371",601,202,460,11,"1,274","19,645"
State Representative District 035,"7,889","2,262","4,210",145,"14,506",384,102,257,6,749,"15,255"
State Representative District 036,"9,801","4,969","5,928",202,"20,900",345,167,269,5,786,"21,686"
State Representative District 037,"6,980","10,761","8,552",252,"26,545",223,383,363,16,985,"27,530"
State Representative District 038,"6,867","7,488","6,889",173,"21,417",189,269,303,12,773,"22,190"
State Representative District 039,"6,861","10,043","8,229",192,"25,325",236,346,358,6,946,"26,271"
State Representative District 040,"7,086","7,720","6,092",170,"21,068",226,250,287,7,770,"21,838"
State Representative District 041,"11,557","4,837","5,023",193,"21,610",588,211,473,18,"1,290","22,900"
State Representative District 042,"7,317","7,445","6,333",208,"21,303",304,326,361,7,998,"22,301"
State Representative District 043,"7,476","7,488","5,787",136,"20,887",313,296,360,6,975,"21,862"
State Representative District 044,"6,435","9,991","10,230",167,"26,823",437,674,895,11,"2,017","28,840"
State Representative District 045,"7,495","5,373","7,942",275,"21,085",655,392,836,22,"1,905","22,990"
State Representative District 046,"7,277","6,060","8,393",268,"21,998",693,480,945,34,"2,152","24,150"
State Representative District 047,"5,790","6,980","7,798",98,"20,666",202,261,489,5,957,"21,623"
State Representative District 048,"5,426","7,717","7,492",99,"20,734",172,220,348,5,745,"21,479"
State Representative District 049,"4,769","7,646","7,835",162,"20,412",197,255,381,8,841,"21,253"
State Representative District 050,"3,881","9,085","7,134",71,"20,171",124,240,342,5,711,"20,882"
State Representative District 051,"5,123","6,623","8,220",35,"20,001",210,193,485,3,891,"20,892"
State Representative District 052,"5,911","5,579","8,739",67,"20,296",226,170,409,6,811,"21,107"
State Representative District 053,"6,653","4,773","8,606",54,"20,086",261,161,459,2,883,"20,969"
State Representative District 054,"4,031","8,753","7,419",52,"20,255",145,194,310,1,650,"20,905"
State Representative District 055,"5,846","6,770","7,234",78,"19,928",144,114,247,2,507,"20,435"
State Representative District 056,"5,019","7,376","7,274",62,"19,731",168,173,318,3,662,"20,393"
State Representative District 057,"7,876","6,623","8,094",86,"22,679",165,161,284,1,611,"23,290"
State Representative District 058,"6,922","5,333","8,988",48,"21,291",156,140,340,3,639,"21,930"
State Representative District 059,"6,442","5,764","8,183",174,"20,563",337,261,529,17,"1,144","21,707"
State Representative District 060,"6,540","7,405","7,697",125,"21,767",332,362,515,15,"1,224","22,991"
State Representative District 061,"7,279","4,093","6,475",126,"17,973",350,167,303,14,834,"18,807"
State Representative District 062,"8,687","2,616","5,996",149,"17,448",410,120,339,5,874,"18,322"
State Representative District 063,"5,093","6,857","9,119",83,"21,152",157,183,360,6,706,"21,858"
State Representative District 064,"5,379","4,848","8,407",62,"18,696",151,91,370,3,615,"19,311"
State Representative District 065,"8,703","4,108","5,803",199,"18,813",618,229,597,16,"1,460","20,273"
State Representative District 066,"7,232","5,775","6,738",181,"19,926",423,286,486,17,"1,212","21,138"
State Representative District 067,"6,199","7,275","7,875",152,"21,501",323,362,524,10,"1,219","22,720"
State Representative District 068,"6,827","6,289","7,897",192,"21,205",324,267,490,14,"1,095","22,300"
State Representative District 069,"7,354","4,138","7,318",201,"19,011",525,202,581,15,"1,323","20,334"
State Representative District 070,"8,009","4,860","7,202",203,"20,274",466,226,531,8,"1,231","21,505"
State Representative District 071,"5,676","5,105","6,371",58,"17,210",190,152,326,3,671,"17,881"
State Representative District 072,"5,245","6,626","8,223",71,"20,165",159,155,358,2,674,"20,839"
State Representative District 073,"6,359","6,388","7,831",106,"20,684",206,158,330,11,705,"21,389"
State Representative District 074,"9,453","4,122","5,766",174,"19,515",962,413,785,22,"2,182","21,697"
State Representative District 075,"4,766","6,976","8,623",84,"20,449",143,168,372,2,685,"21,134"
State Representative District 076,"6,155","6,721","8,418",88,"21,382",612,203,636,8,"1,459","22,841"
State Representative District 077,"8,203","5,939","8,058",165,"22,365",679,517,868,14,"2,078","24,443"
State Representative District 078,"4,713","7,964","6,862",107,"19,646",181,200,336,2,719,"20,365"
State Representative District 079,"3,583","10,316","6,218",89,"20,206",268,395,519,5,"1,187","21,393"
State Representative District 080,"5,471","7,200","6,771",68,"19,510",198,206,375,3,782,"20,292"
State Representative District 081,"7,323","4,533","5,803",82,"17,741",326,170,424,1,921,"18,662"
State Representative District 082,"6,397","6,698","5,857",121,"19,073",319,221,403,19,962,"20,035"
