State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,4861,3512,3755,126,12254,1492,655,1979,38,4164,16418
State Representative District 002,4673,6094,4382,116,15265,1170,865,1796,51,3882,19147
State Representative District 003,2781,11717,4596,123,19217,487,1000,1191,34,2712,21929
State Representative District 004,1413,15003,2723,42,19181,236,1082,735,17,2070,21251
State Representative District 005,2704,11798,4243,93,18838,550,1032,1540,27,3149,21987
State Representative District 006,3769,7827,4907,138,16641,917,904,1856,36,3713,20354
State Representative District 007,3574,10103,5991,122,19790,492,746,1567,26,2831,22621
State Representative District 008,5396,6273,5535,133,17337,1149,796,2236,58,4239,21576
State Representative District 009,4672,8830,6659,118,20279,676,775,2027,26,3504,23783
State Representative District 010,4774,10590,6379,139,21882,602,879,1593,39,3113,24995
State Representative District 011,4583,9019,6663,127,20392,537,730,1502,29,2798,23190
State Representative District 012,3784,8659,5467,97,18007,726,777,1559,40,3102,21109
State Representative District 013,3759,10789,5755,108,20411,556,826,1516,39,2937,23348
State Representative District 014,4639,7999,5087,146,17871,931,980,1719,44,3674,21545
State Representative District 015,4707,11202,5224,179,21312,441,726,919,42,2128,23440
State Representative District 016,3825,11840,5099,207,20971,616,1264,1602,62,3544,24515
State Representative District 017,3398,10057,5174,115,18744,524,830,1731,29,3114,21858
State Representative District 018,3304,11010,5195,126,19635,573,1176,1800,41,3590,23225
State Representative District 019,5213,6389,5025,221,16848,1168,1133,2079,96,4476,21324
State Representative District 020,4797,4866,4671,259,14593,1548,1145,2499,129,5321,19914
State Representative District 021,5648,7940,6151,169,19908,734,742,1529,40,3045,22953
State Representative District 022,6198,8540,6950,178,21866,611,695,1266,55,2627,24493
State Representative District 023,4368,9427,6616,147,20558,505,744,1546,35,2830,23388
State Representative District 024,3890,8675,5225,109,17899,694,760,1406,40,2900,20799
State Representative District 025,5444,5319,4704,109,15576,1200,649,1761,34,3644,19220
State Representative District 026,4321,8539,5347,115,18322,720,783,1465,37,3005,21327
State Representative District 027,6572,7374,7558,163,21667,623,706,1342,40,2711,24378
State Representative District 028,6048,7249,7155,154,20606,756,796,1564,54,3170,23776
State Representative District 029,6940,3041,4262,168,14411,1387,431,1272,56,3146,17557
State Representative District 030,7995,3378,4436,163,15972,1372,410,1311,65,3158,19130
State Representative District 031,8082,6524,6080,168,20854,965,722,1272,83,3042,23896
State Representative District 032,8611,5889,5171,189,19860,951,614,1153,55,2773,22633
State Representative District 033,7208,2532,4070,186,13996,1717,468,1516,50,3751,17747
State Representative District 034,8267,1991,3758,189,14205,2418,554,1594,93,4659,18864
State Representative District 035,10450,3872,4960,206,19488,1167,503,1092,47,2809,22297
State Representative District 036,11887,3245,4576,214,19922,2063,552,1443,65,4123,24045
State Representative District 037,3925,11015,6015,133,21088,535,843,1294,17,2689,23777
State Representative District 038,6155,6938,6106,122,19321,802,572,1633,28,3035,22356
