State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,025","12,231",48,"6,027",10,"21,341",282,595,5,638,5,"1,525","22,866"
State Representative District 002,"4,278","8,297",69,"7,092",11,"19,747",296,405,4,730,1,"1,436","21,183"
State Representative District 003,"2,858","10,867",51,"5,810",16,"19,602",211,404,6,530,1,"1,152","20,754"
State Representative District 004,"1,499","13,951",36,"3,575",14,"19,075",139,492,10,335,3,979,"20,054"
State Representative District 005,"3,664","9,797",66,"6,521",27,"20,075",208,442,6,468,2,"1,126","21,201"
State Representative District 006,"4,937","7,635",77,"6,562",27,"19,238",430,463,9,658,1,"1,561","20,799"
State Representative District 007,"4,907","6,505",48,"8,321",14,"19,795",398,404,3,938,1,"1,744","21,539"
State Representative District 008,"4,237","8,063",43,"7,068",20,"19,431",272,348,6,624,1,"1,251","20,682"
State Representative District 009,"6,255","5,215",85,"7,328",44,"18,927",455,254,3,718,1,"1,431","20,358"
State Representative District 010,"3,771","7,973",53,"7,748",13,"19,558",249,324,7,633,2,"1,215","20,773"
State Representative District 011,"4,033","7,111",54,"6,785",27,"18,010",421,400,4,765,0,"1,590","19,600"
State Representative District 012,"5,018","6,950",67,"8,143",21,"20,199",220,279,10,505,0,"1,014","21,213"
State Representative District 013,"5,192","4,916",67,"5,282",27,"15,484",607,478,12,823,4,"1,924","17,408"
State Representative District 014,"5,638","4,176",55,"4,934",18,"14,821",623,351,9,644,3,"1,630","16,451"
State Representative District 015,"5,150","4,315",137,"6,185",51,"15,838",969,621,25,"1,251",4,"2,870","18,708"
State Representative District 016,"4,891","5,685",157,"6,228",45,"17,006",941,778,21,"1,493",10,"3,243","20,249"
State Representative District 017,"4,260","7,788",63,"6,611",23,"18,745",175,270,3,432,4,884,"19,629"
State Representative District 018,"4,229","7,212",46,"6,241",11,"17,739",245,318,5,468,1,"1,037","18,776"
State Representative District 019,"5,309","9,794",128,"9,817",17,"25,065",301,595,12,823,2,"1,733","26,798"
State Representative District 020,"4,391","6,486",79,"7,721",20,"18,697",273,309,5,650,0,"1,237","19,934"
State Representative District 021,"3,531","8,181",56,"7,360",14,"19,142",305,506,5,900,1,"1,717","20,859"
State Representative District 022,"4,587","10,150",106,"6,936",24,"21,803",475,736,13,832,3,"2,059","23,862"
State Representative District 023,"3,555","9,640",85,"6,070",31,"19,381",262,411,7,530,2,"1,212","20,593"
State Representative District 024,"3,093","9,263",52,"5,406",12,"17,826",238,465,9,613,0,"1,325","19,151"
State Representative District 025,"5,476","8,361",90,"7,894",20,"21,841",379,561,11,796,1,"1,748","23,589"
State Representative District 026,"6,158","7,024",92,"7,414",15,"20,703",409,442,11,729,2,"1,593","22,296"
State Representative District 027,"4,423","6,423",58,"6,120",11,"17,035",352,383,10,677,3,"1,425","18,460"
State Representative District 028,"4,943","7,026",54,"7,294",17,"19,334",251,323,7,578,1,"1,160","20,494"
State Representative District 029,"7,082","5,596",56,"7,382",18,"20,134",424,307,7,629,1,"1,368","21,502"
State Representative District 030,"6,788","7,994",166,"7,839",34,"22,821",305,357,15,509,0,"1,186","24,007"
State Representative District 031,"7,372","4,655",119,"5,644",30,"17,820",395,243,9,404,3,"1,054","18,874"
State Representative District 032,"7,617","2,534",105,"4,623",38,"14,917",574,161,14,430,4,"1,183","16,100"
State Representative District 033,"7,900","3,134",103,"5,180",40,"16,357",663,251,11,533,3,"1,461","17,818"
State Representative District 034,"8,440","3,454",119,"5,341",44,"17,398","1,009",364,22,808,5,"2,208","19,606"
State Representative District 035,"7,222","2,054",92,"3,915",44,"13,327",718,186,12,567,6,"1,489","14,816"
State Representative District 036,"9,143","4,491",151,"5,913",55,"19,753",666,340,10,522,3,"1,541","21,294"
State Representative District 037,"6,788","10,362",221,"8,967",29,"26,367",415,670,22,670,5,"1,782","28,149"
State Representative District 038,"6,552","7,287",164,"7,180",29,"21,212",437,471,24,536,6,"1,474","22,686"
State Representative District 039,"6,593","9,651",170,"8,531",29,"24,974",515,725,24,752,5,"2,021","26,995"
State Representative District 040,"6,688","7,249",153,"6,128",24,"20,242",461,415,18,516,2,"1,412","21,654"
State Representative District 041,"10,711","4,329",141,"4,849",43,"20,073","1,056",424,25,824,13,"2,342","22,415"
State Representative District 042,"6,831","6,960",180,"6,281",44,"20,296",612,572,18,708,0,"1,910","22,206"
State Representative District 043,"7,092","7,004",106,"5,816",34,"20,052",612,515,10,667,3,"1,807","21,859"
State Representative District 044,"6,071","9,538",157,"10,741",27,"26,534",818,"1,195",25,"1,579",4,"3,621","30,155"
State Representative District 045,"6,785","4,824",196,"7,296",63,"19,164","1,187",754,48,"1,546",12,"3,547","22,711"
State Representative District 046,"6,593","5,352",180,"7,503",57,"19,685","1,254",891,56,"1,783",18,"4,002","23,687"
State Representative District 047,"5,516","6,789",80,"7,725",17,"20,127",348,427,15,799,1,"1,590","21,717"
State Representative District 048,"5,107","7,498",72,"7,604",29,"20,310",281,328,11,607,2,"1,229","21,539"
State Representative District 049,"4,559","7,493",144,"7,943",37,"20,176",321,401,13,584,0,"1,319","21,495"
State Representative District 050,"3,699","8,782",56,"7,111",13,"19,661",202,417,7,585,3,"1,214","20,875"
State Representative District 051,"4,833","6,420",28,"8,059",8,"19,348",328,284,3,745,0,"1,360","20,708"
State Representative District 052,"5,565","5,376",44,"8,578",20,"19,583",386,293,10,792,1,"1,482","21,065"
State Representative District 053,"6,257","4,505",41,"8,531",14,"19,348",427,285,4,819,4,"1,539","20,887"
State Representative District 054,"3,795","8,393",46,"7,327",10,"19,571",249,349,1,548,1,"1,148","20,719"
State Representative District 055,"5,378","6,481",46,"6,889",24,"18,818",451,245,7,680,5,"1,388","20,206"
State Representative District 056,"4,674","7,154",52,"7,083",11,"18,974",346,326,5,668,2,"1,347","20,321"
State Representative District 057,"7,639","6,591",81,"8,352",14,"22,677",226,239,2,437,1,905,"23,582"
State Representative District 058,"6,541","5,176",31,"9,132",13,"20,893",327,247,5,677,1,"1,257","22,150"
State Representative District 059,"5,853","5,265",117,"7,469",36,"18,740",722,530,22,"1,234",8,"2,516","21,256"
State Representative District 060,"6,218","7,084",92,"7,682",33,"21,109",555,564,11,807,5,"1,942","23,051"
