State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 061,"6,806","3,878",85,"6,379",43,"17,191",600,270,14,616,6,"1,506","18,697"
State Representative District 062,"8,078","2,461",95,"5,844",48,"16,526",700,190,6,612,2,"1,510","18,036"
State Representative District 063,"4,794","6,557",67,"9,079",12,"20,509",330,346,6,749,3,"1,434","21,943"
State Representative District 064,"5,025","4,615",48,"8,343",12,"18,043",276,171,6,661,3,"1,117","19,160"
State Representative District 065,"8,481","3,980",154,"5,982",67,"18,664",729,299,21,698,5,"1,752","20,416"
State Representative District 066,"6,965","5,562",147,"6,922",53,"19,649",567,346,16,622,5,"1,556","21,205"
State Representative District 067,"6,082","7,193",151,"8,119",36,"21,581",435,485,9,694,2,"1,625","23,206"
State Representative District 068,"6,678","6,187",165,"8,266",43,"21,339",439,365,17,653,6,"1,480","22,819"
State Representative District 069,"7,231","4,096",162,"7,418",57,"18,964",655,276,18,731,6,"1,686","20,650"
State Representative District 070,"7,811","4,670",184,"7,273",43,"19,981",571,303,16,673,7,"1,570","21,551"
State Representative District 071,"5,282","4,831",47,"6,235",21,"16,416",383,272,6,629,1,"1,291","17,707"
State Representative District 072,"4,915","6,389",55,"8,254",15,"19,628",289,255,4,600,0,"1,148","20,776"
State Representative District 073,"6,166","6,178",84,"7,817",19,"20,264",301,270,7,535,6,"1,119","21,383"
State Representative District 074,"8,883","3,832",129,"5,900",43,"18,787","1,422",548,28,"1,124",10,"3,132","21,919"
State Representative District 075,"4,472","6,739",72,"8,636",14,"19,933",284,312,7,681,2,"1,286","21,219"
State Representative District 076,"5,744","6,568",76,"8,389",17,"20,794",839,337,9,972,4,"2,161","22,955"
State Representative District 077,"7,985","5,726",136,"8,284",31,"22,162",893,714,22,"1,119",6,"2,754","24,916"
State Representative District 078,"4,430","7,634",75,"6,880",28,"19,047",300,365,7,641,1,"1,314","20,361"
State Representative District 079,"3,265","9,871",85,"6,052",14,"19,287",414,640,9,796,2,"1,861","21,148"
State Representative District 080,"5,073","6,989",60,"6,570",16,"18,708",413,368,7,765,2,"1,555","20,263"
State Representative District 081,"6,774","4,296",46,"5,551",31,"16,698",598,336,4,833,0,"1,771","18,469"
State Representative District 082,"6,094","6,421",64,"5,771",54,"18,404",481,352,15,684,13,"1,545","19,949"
State Representative District 083,"7,528","3,435",77,"6,591",18,"17,649",613,314,9,965,3,"1,904","19,553"
State Representative District 084,"4,178","7,017",64,"7,095",15,"18,369",377,404,6,847,2,"1,636","20,005"
State Representative District 085,"11,797","3,709",177,"6,907",64,"22,654","2,529","1,188",49,"2,932",22,"6,720","29,374"
State Representative District 086,"9,596","2,981",141,"6,152",63,"18,933","2,155",820,37,"2,216",20,"5,248","24,181"
State Representative District 087,"7,927","4,173",86,"6,445",33,"18,664",783,348,11,921,5,"2,068","20,732"
State Representative District 088,"5,383","6,296",56,"7,298",15,"19,048",283,303,4,613,3,"1,206","20,254"
State Representative District 089,"6,907","4,406",99,"8,472",35,"19,919",725,400,13,957,4,"2,099","22,018"
State Representative District 090,"7,097","2,738",124,"7,557",48,"17,564","1,090",364,24,"1,273",5,"2,756","20,320"
State Representative District 091,"5,556","5,782",58,"7,288",32,"18,716",536,412,8,913,1,"1,870","20,586"
State Representative District 092,"5,651","5,919",103,"8,750",33,"20,456",512,442,7,835,5,"1,801","22,257"
State Representative District 093,"6,758","6,045",127,"8,227",33,"21,190",769,588,23,"1,191",6,"2,577","23,767"
State Representative District 094,"5,908","8,621",124,"9,793",31,"24,477",657,843,20,"1,153",3,"2,676","27,153"
State Representative District 095,"5,992","6,408",109,"8,345",23,"20,877",320,257,6,521,2,"1,106","21,983"
State Representative District 096,"4,075","6,338",39,"8,202",13,"18,667",219,211,5,579,2,"1,016","19,683"
State Representative District 097,"5,352","6,679",83,"9,469",22,"21,605",329,392,7,686,0,"1,414","23,019"
State Representative District 098,"6,135","4,005",43,"8,074",22,"18,279",538,225,7,841,9,"1,620","19,899"
State Representative District 099,"8,664","5,070",91,"6,952",30,"20,807",720,414,14,750,7,"1,905","22,712"
State Representative District 100,"7,763","3,936",112,"6,300",40,"18,151",809,397,15,868,10,"2,099","20,250"
Totals,"590,511","638,741","9,431","712,988","2,848","1,954,519","53,559","42,275","1,243","78,895",387,"176,359","2,130,878"
