State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,099","12,403",49,"6,140",13,"21,704",224,427,3,517,3,"1,174","22,878"
State Representative District 002,"4,366","8,474",69,"7,236",10,"20,155",248,272,0,538,1,"1,059","21,214"
State Representative District 003,"2,908","11,004",52,"5,879",16,"19,859",165,271,3,426,1,866,"20,725"
State Representative District 004,"1,524","14,094",41,"3,612",15,"19,286",100,379,6,250,2,737,"20,023"
State Representative District 005,"3,715","9,890",66,"6,583",27,"20,281",172,325,2,389,1,889,"21,170"
State Representative District 006,"5,004","7,787",75,"6,587",26,"19,479",351,330,4,530,2,"1,217","20,696"
State Representative District 007,"5,016","6,631",47,"8,449",14,"20,157",325,297,1,777,1,"1,401","21,558"
State Representative District 008,"4,350","8,192",41,"7,173",19,"19,775",197,239,5,495,1,937,"20,712"
State Representative District 009,"6,246","5,136",74,"6,733",42,"18,231",456,257,3,724,1,"1,441","19,672"
State Representative District 010,"3,867","8,090",54,"7,909",13,"19,933",179,224,5,475,2,885,"20,818"
State Representative District 011,"4,133","7,219",51,"6,897",27,"18,327",339,302,3,657,0,"1,301","19,628"
State Representative District 012,"5,106","7,057",67,"8,254",22,"20,506",171,186,7,374,0,738,"21,244"
State Representative District 013,"5,322","5,059",71,"5,367",28,"15,847",508,386,10,692,2,"1,598","17,445"
State Representative District 014,"5,784","4,292",56,"4,989",19,"15,140",524,282,7,543,2,"1,358","16,498"
State Representative District 015,"5,339","4,421",141,"6,331",54,"16,286",839,516,15,"1,089",2,"2,461","18,747"
State Representative District 016,"4,974","5,766",155,"6,264",39,"17,198",850,707,13,"1,385",10,"2,965","20,163"
State Representative District 017,"4,349","7,935",63,"6,728",25,"19,100",131,166,2,324,1,624,"19,724"
State Representative District 018,"4,304","7,354",50,"6,347",11,"18,066",188,228,2,356,1,775,"18,841"
State Representative District 019,"5,404","10,003",131,"9,861",20,"25,419",191,349,6,563,1,"1,110","26,529"
State Representative District 020,"4,477","6,602",79,"7,708",21,"18,887",216,230,3,542,0,991,"19,878"
State Representative District 021,"3,630","8,345",56,"7,449",14,"19,494",242,378,2,763,0,"1,385","20,879"
State Representative District 022,"4,601","10,275",104,"6,909",25,"21,914",429,648,12,779,3,"1,871","23,785"
State Representative District 023,"3,678","9,869",88,"6,201",30,"19,866",145,191,2,323,1,662,"20,528"
State Representative District 024,"3,178","9,490",54,"5,510",13,"18,245",181,310,6,468,0,965,"19,210"
State Representative District 025,"5,589","8,552",90,"8,033",20,"22,284",284,368,6,566,2,"1,226","23,510"
State Representative District 026,"6,327","7,185",96,"7,540",17,"21,165",294,329,3,555,2,"1,183","22,348"
State Representative District 027,"4,547","6,577",59,"6,246",14,"17,443",281,272,6,532,1,"1,092","18,535"
State Representative District 028,"5,015","7,138",56,"7,345",18,"19,572",201,235,5,465,1,907,"20,479"
State Representative District 029,"7,306","5,688",61,"7,457",19,"20,531",265,202,2,464,1,934,"21,465"
State Representative District 030,"6,811","8,106",169,"7,778",34,"22,898",237,222,4,334,0,797,"23,695"
