State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 087,"7,807","4,192","6,704",158,"18,861",614,270,777,19,"1,680","20,541"
State Representative District 088,"5,369","6,288","7,662",95,"19,414",244,234,503,11,992,"20,406"
State Representative District 089,"6,922","4,319","8,715",175,"20,131",689,305,913,17,"1,924","22,055"
State Representative District 090,"6,936","2,714","7,605",203,"17,458","1,189",379,"1,398",36,"3,002","20,460"
State Representative District 091,"5,629","5,724","7,668",126,"19,147",394,307,705,10,"1,416","20,563"
State Representative District 092,"5,654","5,895","9,167",147,"20,863",562,375,861,19,"1,817","22,680"
State Representative District 093,"7,065","5,844","8,595",204,"21,708",780,514,"1,150",27,"2,471","24,179"
State Representative District 094,"6,449","8,519","10,613",164,"25,745",573,746,"1,079",30,"2,428","28,173"
State Representative District 095,"6,278","6,425","8,864",162,"21,729",311,213,427,14,965,"22,694"
State Representative District 096,"4,016","6,460","8,374",76,"18,926",167,199,492,8,866,"19,792"
State Representative District 097,"5,327","6,888","9,722",127,"22,064",307,337,703,3,"1,350","23,414"
State Representative District 098,"5,899","4,068","8,326",93,"18,386",550,219,857,12,"1,638","20,024"
State Representative District 099,"9,115","4,949","7,036",185,"21,285",709,383,839,23,"1,954","23,239"
State Representative District 100,"7,720","3,938","6,475",186,"18,319",760,430,912,18,"2,120","20,439"
Totals,"615,515","634,497","740,435","15,919","2,006,366","47,885","38,166","70,921","1,900","158,872","2,165,238"
