State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 068,"7,032","6,182",185,"8,163",41,"21,603",383,328,17,608,5,"1,341","22,944"
State Representative District 069,"7,556","4,158",188,"7,355",56,"19,313",617,250,19,693,5,"1,584","20,897"
State Representative District 070,"8,213","4,701",206,"7,114",37,"20,271",544,275,14,606,7,"1,446","21,717"
State Representative District 071,"5,497","4,744",62,"5,986",24,"16,313",422,282,5,669,0,"1,378","17,691"
State Representative District 072,"5,083","6,436",72,"8,131",16,"19,738",249,208,3,559,0,"1,019","20,757"
State Representative District 073,"6,539","6,177",97,"7,639",18,"20,470",271,221,7,467,6,972,"21,442"
State Representative District 074,"9,673","3,776",144,"5,699",36,"19,328","1,294",497,24,"1,082",10,"2,907","22,235"
State Representative District 075,"4,697","6,744",84,"8,549",16,"20,090",247,264,7,582,2,"1,102","21,192"
State Representative District 076,"5,952","6,770",96,"8,219",17,"21,054",793,294,8,908,4,"2,007","23,061"
State Representative District 077,"8,500","5,716",147,"8,187",26,"22,576",791,637,21,"1,022",5,"2,476","25,052"
State Representative District 078,"4,656","7,545",96,"6,814",24,"19,135",278,322,6,598,1,"1,205","20,340"
State Representative District 079,"3,314","10,187",111,"5,882",13,"19,507",385,562,8,749,1,"1,705","21,212"
State Representative District 080,"5,136","7,168",71,"6,408",18,"18,801",377,341,7,734,3,"1,462","20,263"
State Representative District 081,"6,956","4,307",55,"5,418",25,"16,761",538,301,4,796,0,"1,639","18,400"
State Representative District 082,"6,612","6,338",81,"5,476",41,"18,548",457,303,13,650,12,"1,435","19,983"
State Representative District 083,"7,599","3,518",102,"6,553",20,"17,792",573,275,9,942,2,"1,801","19,593"
State Representative District 084,"4,334","7,197",80,"6,965",14,"18,590",345,368,6,800,2,"1,521","20,111"
State Representative District 085,"12,196","3,573",172,"6,431",56,"22,428","2,592","1,184",52,"2,954",21,"6,803","29,231"
State Representative District 086,"10,138","2,929",164,"5,896",53,"19,180","2,016",777,34,"2,139",20,"4,986","24,166"
State Representative District 087,"8,050","4,247",110,"6,399",28,"18,834",743,311,10,887,5,"1,956","20,790"
State Representative District 088,"5,537","6,298",67,"7,343",15,"19,260",271,274,4,579,3,"1,131","20,391"
State Representative District 089,"7,106","4,463",119,"8,409",33,"20,130",701,357,11,894,4,"1,967","22,097"
State Representative District 090,"7,115","2,759",142,"7,356",39,"17,411","1,178",376,26,"1,355",7,"2,942","20,353"
