State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,3847,3399,3537,125,10908,1104,573,1464,43,3184,14092
State Representative District 002,3993,6011,4250,138,14392,939,714,1410,40,3103,17495
State Representative District 003,2343,11704,4636,117,18800,405,837,940,32,2214,21014
State Representative District 004,1139,15110,2729,37,19015,203,907,622,14,1746,20761
State Representative District 005,2245,11823,4046,113,18227,379,767,886,26,2058,20285
State Representative District 006,3160,7804,4462,132,15558,643,729,1162,32,2566,18124
State Representative District 007,2966,10534,5605,128,19233,306,644,962,24,1936,21169
State Representative District 008,4256,6970,4849,137,16212,723,600,1329,36,2688,18900
State Representative District 009,3820,9180,6003,120,19123,474,673,1357,24,2528,21651
State Representative District 010,4120,11077,6317,153,21667,442,738,963,34,2177,23844
State Representative District 011,3873,9525,6315,170,19883,369,580,975,26,1950,21833
State Representative District 012,2989,9057,4645,96,16787,519,689,1205,36,2449,19236
State Representative District 013,3211,11196,5447,125,19979,384,724,907,25,2040,22019
State Representative District 014,4050,7966,5155,156,17327,734,796,1383,36,2949,20276
State Representative District 015,4274,11475,5330,196,21275,425,770,760,28,1983,23258
State Representative District 016,3403,12082,4875,226,20586,465,1097,1088,58,2708,23294
State Representative District 017,2861,10234,4994,113,18202,342,730,1034,31,2137,20339
State Representative District 018,2874,10978,4648,133,18633,386,916,1254,29,2585,21218
State Representative District 019,4634,6471,4938,236,16279,847,845,1318,69,3079,19358
State Representative District 020,4251,5160,4498,244,14153,849,747,1418,85,3099,17252
State Representative District 021,4975,8423,6349,173,19920,578,634,1187,38,2437,22357
State Representative District 022,5800,9373,7431,183,22787,491,611,952,37,2091,24878
State Representative District 023,3815,9863,6551,162,20391,364,665,1155,27,2211,22602
State Representative District 024,3123,9385,4728,139,17375,450,701,1019,21,2191,19566
State Representative District 025,4461,5431,4631,118,14641,726,582,1154,32,2494,17135
State Representative District 026,3501,9302,5003,120,17926,389,661,989,25,2064,19990
State Representative District 027,6848,8328,8792,209,24177,620,648,1213,32,2513,26690
State Representative District 028,6039,7909,7789,209,21946,636,680,1237,36,2589,24535
State Representative District 029,5960,3094,4335,150,13539,1096,305,1094,47,2542,16081
State Representative District 030,6900,3428,4680,149,15157,979,336,1096,50,2461,17618
State Representative District 031,7575,6738,6426,186,20925,745,454,986,29,2214,23139
State Representative District 032,7825,5832,5516,200,19373,715,409,860,29,2013,21386
State Representative District 033,6132,2592,4262,171,13157,1240,305,1190,47,2782,15939
State Representative District 034,7127,1859,3765,174,12925,1455,360,1145,36,2996,15921
State Representative District 035,9381,3844,5410,222,18857,874,328,836,32,2070,20927
