State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,082","12,806","5,882",84,"21,854",230,461,551,12,"1,254","23,108"
State Representative District 002,"4,291","8,380","7,225",106,"20,002",250,364,652,9,"1,275","21,277"
State Representative District 003,"2,791","10,814","5,924",97,"19,626",187,325,481,6,999,"20,625"
State Representative District 004,"1,635","14,028","3,821",62,"19,546",100,443,257,14,814,"20,360"
State Representative District 005,"3,621","9,905","6,734",118,"20,378",191,379,417,10,997,"21,375"
State Representative District 006,"5,120","7,696","6,933",141,"19,890",387,454,640,12,"1,493","21,383"
State Representative District 007,"4,792","6,574","8,413",90,"19,869",278,345,800,5,"1,428","21,297"
State Representative District 008,"4,196","8,044","6,960",89,"19,289",202,281,501,8,992,"20,281"
State Representative District 009,"5,981","5,257","7,103",154,"18,495",519,323,861,7,"1,710","20,205"
State Representative District 010,"3,778","8,041","7,670",119,"19,608",202,272,494,7,975,"20,583"
State Representative District 011,"4,081","7,231","6,793",109,"18,214",390,337,694,5,"1,426","19,640"
State Representative District 012,"4,914","7,034","8,277",117,"20,342",173,207,405,8,793,"21,135"
State Representative District 013,"5,299","4,822","5,641",133,"15,895",584,446,820,23,"1,873","17,768"
State Representative District 014,"5,683","4,112","5,251",125,"15,171",574,316,595,9,"1,494","16,665"
State Representative District 015,"5,255","4,473","6,396",243,"16,367",625,409,796,39,"1,869","18,236"
State Representative District 016,"5,080","5,756","6,440",265,"17,541",668,565,"1,086",47,"2,366","19,907"
State Representative District 017,"4,056","7,882","6,621",140,"18,699",169,277,429,9,884,"19,583"
State Representative District 018,"4,255","7,283","6,196",84,"17,818",189,248,418,5,860,"18,678"
State Representative District 019,"6,030","10,287","10,630",227,"27,174",188,401,607,8,"1,204","28,378"
State Representative District 020,"4,495","6,660","7,818",148,"19,121",196,275,535,9,"1,015","20,136"
State Representative District 021,"3,622","8,262","7,298",108,"19,290",259,406,788,6,"1,459","20,749"
State Representative District 022,"4,745","10,353","7,314",174,"22,586",295,456,543,16,"1,310","23,896"
State Representative District 023,"3,738","9,979","6,130",172,"20,019",205,319,459,12,995,"21,014"
State Representative District 024,"3,222","9,123","5,626",96,"18,067",216,397,569,9,"1,191","19,258"
State Representative District 025,"5,832","8,723","8,527",189,"23,271",290,440,640,16,"1,386","24,657"
State Representative District 026,"6,401","7,043","7,724",153,"21,321",369,345,627,16,"1,357","22,678"
State Representative District 027,"4,351","6,660","6,162",112,"17,285",316,307,568,13,"1,204","18,489"
State Representative District 028,"4,817","7,419","7,350",102,"19,688",214,264,468,5,951,"20,639"
