State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 029,"7,062","5,885","8,021",119,"21,087",250,194,430,2,876,"21,963"
State Representative District 030,"7,263","8,109","8,563",260,"24,195",202,236,342,8,788,"24,983"
State Representative District 031,"7,629","4,487","6,061",185,"18,362",287,183,301,11,782,"19,144"
State Representative District 032,"7,956","2,515","4,915",211,"15,597",504,120,399,8,"1,031","16,628"
State Representative District 033,"8,453","3,104","5,604",193,"17,354",430,152,359,12,953,"18,307"
State Representative District 034,"9,428","3,368","5,985",224,"19,005",715,257,559,27,"1,558","20,563"
State Representative District 035,"7,444","1,973","4,261",193,"13,871",676,171,465,24,"1,336","15,207"
State Representative District 036,"9,847","4,112","6,107",239,"20,305",496,224,376,13,"1,109","21,414"
State Representative District 037,"7,816","10,352","10,325",284,"28,777",308,528,522,29,"1,387","30,164"
State Representative District 038,"7,218","7,461","8,038",241,"22,958",316,305,358,20,999,"23,957"
State Representative District 039,"7,560","9,514","9,632",267,"26,973",394,518,538,29,"1,479","28,452"
State Representative District 040,"7,196","6,845","6,510",205,"20,756",344,295,346,15,"1,000","21,756"
State Representative District 041,"11,811","3,868","5,010",236,"20,925",974,345,660,31,"2,010","22,935"
State Representative District 042,"7,381","6,537","6,697",245,"20,860",534,417,563,19,"1,533","22,393"
State Representative District 043,"7,804","6,500","6,085",182,"20,571",485,320,428,20,"1,253","21,824"
State Representative District 044,"7,854","10,169","12,274",297,"30,594",526,741,"1,077",35,"2,379","32,973"
State Representative District 045,"7,945","4,866","8,055",345,"21,211","1,073",646,"1,372",66,"3,157","24,368"
State Representative District 046,"7,521","5,259","8,587",279,"21,646","1,001",691,"1,531",66,"3,289","24,935"
State Representative District 047,"5,601","6,820","7,896",177,"20,494",268,309,680,11,"1,268","21,762"
State Representative District 048,"5,230","7,581","7,983",155,"20,949",228,263,525,12,"1,028","21,977"
State Representative District 049,"4,799","7,578","8,068",220,"20,665",230,290,431,10,961,"21,626"
State Representative District 050,"3,799","8,848","7,220",105,"19,972",172,315,418,6,911,"20,883"
State Representative District 051,"4,718","6,383","8,235",84,"19,420",232,211,574,4,"1,021","20,441"
State Representative District 052,"5,349","5,427","8,758",83,"19,617",345,255,705,11,"1,316","20,933"
State Representative District 053,"6,137","4,363","8,662",87,"19,249",361,260,773,8,"1,402","20,651"
State Representative District 054,"3,810","8,150","7,444",100,"19,504",191,290,517,2,"1,000","20,504"
State Representative District 055,"5,604","6,329","7,118",95,"19,146",538,270,738,14,"1,560","20,706"
State Representative District 056,"4,618","7,190","7,170",96,"19,074",282,278,546,9,"1,115","20,189"
State Representative District 057,"7,740","6,711","8,515",124,"23,090",221,230,428,5,884,"23,974"
State Representative District 058,"6,443","5,289","9,587",60,"21,379",248,179,541,5,973,"22,352"
State Representative District 059,"6,476","5,246","7,783",224,"19,729",615,462,"1,078",29,"2,184","21,913"
State Representative District 060,"6,753","7,077","8,025",169,"22,024",446,442,662,17,"1,567","23,591"
State Representative District 061,"6,898","3,831","6,508",180,"17,417",556,231,577,24,"1,388","18,805"
State Representative District 062,"8,021","2,454","5,825",193,"16,493",597,158,519,6,"1,280","17,773"
State Representative District 063,"4,938","6,507","9,285",134,"20,864",290,268,664,12,"1,234","22,098"
State Representative District 064,"5,034","4,607","8,519",82,"18,242",225,127,564,8,924,"19,166"
State Representative District 065,"8,871","3,855","6,265",271,"19,262",565,200,489,23,"1,277","20,539"
State Representative District 066,"7,342","5,440","7,380",233,"20,395",390,250,450,17,"1,107","21,502"
State Representative District 067,"6,704","7,101","8,755",246,"22,806",275,342,437,12,"1,066","23,872"
State Representative District 068,"7,042","6,096","8,806",254,"22,198",299,284,403,20,"1,006","23,204"
State Representative District 069,"7,613","4,220","8,052",270,"20,155",431,230,530,19,"1,210","21,365"
State Representative District 070,"8,131","4,603","7,750",237,"20,721",410,213,400,25,"1,048","21,769"
State Representative District 071,"5,496","4,688","6,116",142,"16,442",357,275,682,9,"1,323","17,765"
State Representative District 072,"4,922","6,409","8,252",109,"19,692",208,209,502,6,925,"20,617"
State Representative District 073,"6,403","6,159","8,198",134,"20,894",234,220,438,17,909,"21,803"
State Representative District 074,"10,186","3,732","6,732",183,"20,833","1,017",359,753,25,"2,154","22,987"
State Representative District 075,"4,533","6,689","8,770",126,"20,118",205,234,486,8,933,"21,051"
State Representative District 076,"5,861","6,660","8,744",128,"21,393",664,273,646,13,"1,596","22,989"
State Representative District 077,"8,687","5,825","9,323",211,"24,046",477,366,614,27,"1,484","25,530"
State Representative District 078,"4,550","7,480","7,244",135,"19,409",248,302,538,15,"1,103","20,512"
State Representative District 079,"3,257","9,980","6,194",126,"19,557",355,498,761,10,"1,624","21,181"
State Representative District 080,"4,939","7,186","6,568",101,"18,794",311,325,731,12,"1,379","20,173"
State Representative District 081,"6,652","4,382","5,676",84,"16,794",496,266,691,7,"1,460","18,254"
State Representative District 082,"6,357","6,301","5,887",139,"18,684",455,280,585,18,"1,338","20,022"
State Representative District 083,"7,266","3,570","6,692",126,"17,654",523,255,876,21,"1,675","19,329"
State Representative District 084,"4,176","7,142","7,311",102,"18,731",305,348,724,10,"1,387","20,118"
State Representative District 085,"12,439","3,527","7,220",234,"23,420","2,036",857,"1,795",74,"4,762","28,182"
State Representative District 086,"10,585","2,910","6,848",237,"20,580","1,636",558,"1,431",50,"3,675","24,255"
State Representative District 087,"7,776","4,200","6,655",165,"18,796",622,273,784,19,"1,698","20,494"
State Representative District 088,"5,372","6,305","7,632",100,"19,409",233,212,462,8,915,"20,324"
State Representative District 089,"6,922","4,313","8,683",172,"20,090",699,307,919,18,"1,943","22,033"
State Representative District 090,"6,922","2,717","7,559",202,"17,400","1,199",377,"1,402",37,"3,015","20,415"
State Representative District 091,"5,589","5,717","7,597",122,"19,025",394,311,707,9,"1,421","20,446"
State Representative District 092,"5,608","5,898","9,129",150,"20,785",571,379,869,18,"1,837","22,622"
State Representative District 093,"6,921","5,841","8,557",204,"21,523",784,513,"1,149",28,"2,474","23,997"
State Representative District 094,"6,316","8,554","10,535",158,"25,563",572,746,"1,085",30,"2,433","27,996"
State Representative District 095,"6,204","6,430","8,821",166,"21,621",309,215,424,13,961,"22,582"
State Representative District 096,"3,997","6,465","8,336",76,"18,874",170,206,499,8,883,"19,757"
State Representative District 097,"5,321","6,867","9,671",127,"21,986",309,339,714,3,"1,365","23,351"
State Representative District 098,"5,872","4,052","8,265",93,"18,282",556,225,868,12,"1,661","19,943"
State Representative District 099,"9,039","4,963","6,996",183,"21,181",710,386,852,23,"1,971","23,152"
State Representative District 100,"7,708","3,941","6,473",186,"18,308",764,430,911,18,"2,123","20,431"
Totals,"613,898","640,180","743,882","16,262","2,014,222","43,815","33,306","64,874","1,655","143,650","2,157,872"
