State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,3114,13026,4289,95,20524,490,1216,1318,32,3056,23580
State Representative District 002,4174,8685,5331,113,18303,580,842,1728,40,3190,21493
State Representative District 003,2577,11149,3979,92,17797,502,1011,1443,27,2983,20780
State Representative District 004,1737,13832,3043,65,18677,283,1166,788,24,2261,20938
State Representative District 005,3413,10167,4938,107,18625,559,993,1492,35,3079,21704
State Representative District 006,4869,8230,4875,139,18113,951,1018,1805,46,3820,21933
State Representative District 007,4581,7301,5906,97,17885,668,759,1994,27,3448,21333
State Representative District 008,3884,8650,5016,80,17630,537,732,1433,33,2735,20365
State Representative District 009,5315,5357,4799,130,15601,1177,807,2266,58,4308,19909
State Representative District 010,3477,8618,5684,107,17886,507,726,1527,34,2794,20680
State Representative District 011,3629,7304,4586,90,15609,903,837,1901,26,3667,19276
State Representative District 012,4555,7561,6147,95,18358,599,744,1707,32,3082,21440
State Representative District 013,4679,4918,3778,119,13494,1315,813,1891,51,4070,17564
State Representative District 014,5035,4164,3406,118,12723,1384,707,1884,31,4006,16729
State Representative District 015,4494,4239,4168,217,13118,1552,1134,2413,118,5217,18335
State Representative District 016,4926,5615,4442,196,15179,1133,1089,2093,94,4409,19588
State Representative District 017,3771,8751,4863,122,17507,552,750,1298,36,2636,20143
State Representative District 018,3906,7903,4628,90,16527,694,755,1322,41,2812,19339
State Representative District 019,7232,11012,9322,240,27806,546,862,1688,43,3139,30945
State Representative District 020,4391,6910,5842,114,17257,656,719,1821,39,3235,20492
State Representative District 021,3486,8655,5093,99,17333,508,870,1942,36,3356,20689
State Representative District 022,4922,10795,5426,148,21291,628,1021,1471,48,3168,24459
State Representative District 023,3493,10021,4092,158,17764,670,1274,1670,64,3678,21442
State Representative District 024,2856,9748,3784,110,16498,539,983,1466,30,3018,19516
State Representative District 025,6229,9599,7272,188,23288,636,857,1449,56,2998,26286
State Representative District 026,6402,7608,5930,151,20091,774,728,1499,41,3042,23133
State Representative District 027,3860,7206,4741,106,15913,736,779,1436,35,2986,18899
State Representative District 028,4533,8008,5580,125,18246,627,733,1481,22,2863,21109
State Representative District 029,6521,6251,5798,125,18695,933,623,1851,26,3433,22128
State Representative District 030,7711,8634,7356,229,23930,756,728,1369,56,2909,26839
State Representative District 031,7076,4671,4629,191,16567,1235,542,1471,38,3286,19853
