State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 032,7237,2390,3594,181,13402,1747,512,1598,57,3914,17316
State Representative District 033,8036,3162,4282,158,15638,1635,471,1487,65,3658,19296
State Representative District 034,8886,3337,4525,217,16965,1934,562,1725,84,4305,21270
State Representative District 035,6399,1781,3017,155,11352,2076,476,1483,78,4113,15465
State Representative District 036,10294,3832,4732,191,19049,1217,538,1184,53,2992,22041
State Representative District 037,9358,10899,9422,290,29969,837,1061,1497,61,3456,33425
State Representative District 038,7779,7817,6814,230,22640,859,777,1406,52,3094,25734
State Representative District 039,9248,9653,8513,246,27660,853,905,1440,48,3246,30906
State Representative District 040,7866,6478,5079,184,19607,792,602,1098,39,2531,22138
State Representative District 041,11750,3418,3776,177,19121,1809,551,1207,61,3628,22749
State Representative District 042,8102,6223,5551,193,20069,907,683,1238,73,2901,22970
State Representative District 043,8429,5975,4745,171,19320,919,623,1139,52,2733,22053
State Representative District 044,10505,10996,10547,293,32341,1086,1143,2280,83,4592,36933
State Representative District 045,8290,4362,6165,277,19094,2037,1111,2430,142,5720,24814
State Representative District 046,6869,3728,5117,160,15874,2033,1526,2920,111,6590,22464
State Representative District 047,5459,7184,5831,137,18611,701,753,1876,39,3369,21980
State Representative District 048,5246,8095,5768,145,19254,612,727,1611,35,2985,22239
State Representative District 049,5074,7671,6375,193,19313,572,734,1469,45,2820,22133
State Representative District 050,4023,9065,5115,108,18311,522,807,1555,23,2907,21218
State Representative District 051,4660,6887,6568,99,18214,571,579,1623,24,2797,21011
State Representative District 052,5031,5757,6436,97,17321,823,579,1994,33,3429,20750
State Representative District 053,6086,4460,6469,111,17126,931,524,2131,27,3613,20739
State Representative District 054,3865,8190,5613,103,17771,519,744,1570,29,2862,20633
State Representative District 055,5704,6647,5508,89,17948,900,554,1331,36,2821,20769
State Representative District 056,4469,7296,5423,97,17285,577,752,1494,31,2854,20139
State Representative District 057,7625,8103,6475,121,22324,652,627,1184,31,2494,24818
State Representative District 058,6334,6465,6406,78,19283,716,505,1991,18,3230,22513
State Representative District 059,6644,4841,5235,150,16870,1035,724,1662,52,3473,20343
State Representative District 060,7180,7050,6320,137,20687,977,698,1397,43,3115,23802
State Representative District 061,6458,3930,4671,138,15197,1384,551,1627,49,3611,18808
State Representative District 062,7039,2606,3960,141,13746,1780,408,1794,54,4036,17782
State Representative District 063,5152,6977,7396,110,19635,649,554,1570,30,2803,22438
State Representative District 064,5038,5146,6355,83,16622,574,414,1796,24,2808,19430
State Representative District 065,8647,3668,4447,211,16973,1649,671,1652,76,4048,21021
State Representative District 066,7871,5280,5663,211,19025,1076,652,1480,62,3270,22295
State Representative District 067,7704,7364,7016,200,22284,829,743,1460,59,3091,25375
State Representative District 068,7747,6273,6865,198,21083,858,688,1427,52,3025,24108
State Representative District 069,7840,4588,6279,243,18950,1319,688,1903,78,3988,22938
State Representative District 070,8260,4558,5850,210,18878,1168,601,1583,80,3432,22310
State Representative District 071,5452,4629,3866,101,14048,1016,589,1859,41,3505,17553
State Representative District 072,4810,6765,6019,131,17725,626,586,1714,24,2950,20675
State Representative District 073,6735,6834,6433,149,20151,670,554,1393,43,2660,22811
State Representative District 074,11324,3613,5660,177,20774,1641,578,1552,55,3826,24600
State Representative District 075,4518,7194,6749,136,18597,567,569,1775,33,2944,21541
State Representative District 076,5475,7168,6521,119,19283,1533,659,1847,39,4078,23361
State Representative District 077,9920,5991,7856,200,23967,1086,696,1704,52,3538,27505
State Representative District 078,4452,7553,5510,124,17639,636,802,1618,40,3096,20735
State Representative District 079,3367,9821,4795,141,18124,601,985,1541,30,3157,21281
State Representative District 080,4173,7855,5068,117,17213,755,734,1530,35,3054,20267
State Representative District 081,5491,4579,4271,95,14436,1252,663,1739,36,3690,18126
State Representative District 082,5859,7055,4135,119,17168,877,707,1422,38,3044,20212
State Representative District 083,6222,4274,4544,114,15154,1234,530,2074,54,3892,19046
State Representative District 084,4069,7436,5160,101,16766,717,854,2114,50,3735,20501
State Representative District 085,12305,2431,4557,164,19457,3107,1233,2610,120,7070,26527
State Representative District 086,10518,2372,4860,164,17914,2521,868,2368,83,5840,23754
State Representative District 087,6881,4298,4634,143,15956,1534,687,2062,50,4333,20289
State Representative District 088,4983,6776,5436,93,17288,869,694,1831,34,3428,20716
State Representative District 089,6615,4296,5845,169,16925,1659,745,2800,54,5258,22183
State Representative District 090,5948,2748,4757,179,13632,2379,770,3383,92,6624,20256
State Representative District 091,5230,5813,5215,153,16411,1238,836,2235,63,4372,20783
State Representative District 092,5709,6143,6965,161,18978,1180,765,2357,60,4362,23340
State Representative District 093,7326,5470,6088,173,19057,1544,984,2628,80,5236,24293
State Representative District 094,7395,8637,8227,156,24415,1187,1214,2529,66,4996,29411
State Representative District 095,6589,6969,6999,148,20705,782,541,1475,38,2836,23541
State Representative District 096,4206,6996,6468,79,17749,457,528,1424,19,2428,20177
State Representative District 097,5616,7584,7330,151,20681,699,677,1908,44,3328,24009
State Representative District 098,5628,4646,5474,109,15857,1203,578,2383,44,4208,20065
State Representative District 099,8853,5354,5086,192,19485,1318,686,1588,60,3652,23137
State Representative District 100,7250,4310,4561,162,16283,1469,790,1900,59,4218,20501
Totals,"611,971","662,350","555,755","14,809","1,844,885","102,122","75,738","173,592","4,944","356,396","2,201,281"
